Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,14250.0,50375.0,93.0,488.0,618.0,3550.0,24.0,20180522
APPLES,1663094.0,26995107.0,18294.0,317677.0,230555.0,3854290.0,141247.0,20180522
ASPARAGUS,45905.0,398132.0,65.0,806.0,296.0,3088.0,59.0,20180522
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180522
AVOCADOS,718264.68,8717900.57,16846.0,177264.0,101035.0,1193345.0,45401.0,20180522
BABY BRINJALS,3969.0,46940.0,79.0,1035.0,316.0,3930.0,77.0,20180522
BABY BUTTERNUT,15006.0,157129.0,137.0,1370.0,606.0,6058.0,203.0,20180522
BABY CABBAGE,26740.0,184778.0,274.0,1874.0,974.0,7049.0,3.0,20180522
BABY CARROTS,36069.0,315485.0,225.0,1636.0,937.0,8545.0,57.0,20180522
BABY ENGLISH CUCUMBER,0.0,25290.0,0.0,484.0,0.0,3872.0,14.0,20180522
BABY GEM SQUASH,22054.0,198678.0,236.0,1876.0,1261.0,9848.0,696.0,20180522
BABY MARROWS,185635.0,1966340.7,3711.0,39571.0,16547.0,179843.0,4105.0,20180522
BABY MIX,3490.0,27614.0,35.0,311.0,192.0,1524.0,21.0,20180522
BABY SWEET CORN,38980.0,511065.0,291.0,2521.0,1343.0,11471.0,636.0,20180522
BANANAS,1956416.0,27824027.0,18842.0,242589.0,328684.0,4199143.0,51014.0,20180522
BASIL,60.0,3440.0,1.0,45.0,1.0,45.0,53.0,20180522
BAY LEAVES,0.0,424.0,0.0,17.0,0.0,3.0,9.0,20180522
BEAN SPROUTS,2092.0,22239.0,36.0,390.0,83.0,902.0,116.0,20180522
BEANS,267701.0,3471829.23,8515.0,87881.0,35124.0,368978.0,9618.0,20180522
BEANS INDIAN,0.0,3050.0,0.0,83.0,0.0,234.0,53.0,20180522
BEETROOT,242951.0,4126172.15,12375.0,188195.0,96706.0,1501363.0,21134.0,20180522
BOK CHOY PAK-CHOI,2000.0,10270.0,20.0,110.0,100.0,550.0,0.0,20180522
BRINJALS,71395.0,702967.0,1527.0,17401.0,6756.0,79896.0,493.0,20180522
BROAD BEANS,100.0,970.0,1.0,11.0,4.0,44.0,0.0,20180522
BROCCOLI,401367.0,4209699.78,3066.0,27359.0,11077.0,95280.0,1605.0,20180522
BROCCOLI LEAVES,1708.0,20698.0,41.0,631.0,321.0,4075.0,112.0,20180522
BUTTER LETTUCE,10190.0,51897.5,127.0,709.0,455.0,2897.0,19.0,20180522
BUTTERNUT,490817.0,5512704.2,25782.0,280766.0,201573.0,2383672.0,8442.0,20180522
CABBAGE,390710.0,5229375.45,13842.0,189582.0,175601.0,2392995.0,5308.0,20180522
CABBAGE RED,51883.0,545017.0,428.0,4741.0,3847.0,23713.0,670.0,20180522
CALABASH,11820.0,52435.0,175.0,850.0,1088.0,5072.0,85.0,20180522
CARROTS,1082339.0,14997200.0,27815.0,449421.0,236243.0,3544699.0,21621.0,20180522
CARROTS PROCESSED,450.0,1500.0,3.0,10.0,9.0,30.0,15.0,20180522
CAULI/BROC,22430.0,226886.0,171.0,1741.0,552.0,6211.0,94.0,20180522
CAULIFLOWER,228192.0,1831371.64,3079.0,25365.0,14350.0,113075.0,918.0,20180522
CELERY,13560.0,111546.0,96.0,1106.0,914.0,11345.0,148.0,20180522
CELERY OFFCUTS,220.0,3000.0,3.0,44.0,3.0,44.0,89.0,20180522
CHESTNUTS RAW,600.0,7444.0,2.0,30.0,20.0,300.0,0.0,20180522
CHILLIES,156405.06,2012018.06,5503.0,77214.0,18783.0,255607.0,13302.0,20180522
CHINESE  VEGETABLES,26965.5,206126.99,2253.0,18409.0,3635.0,31530.0,3144.0,20180522
CHIVES,475.0,5651.0,21.0,232.0,3.0,32.0,51.0,20180522
CHORIE,1100.0,5110.0,43.0,188.0,215.0,940.0,15.0,20180522
CLEMENTINES,263038.0,905836.0,13662.0,45462.0,50747.0,159426.0,25313.0,20180522
COCKTAIL TOMATOES,5092.0,156927.0,64.0,1778.0,226.0,6696.0,206.0,20180522
COCONUTS,6450.0,141048.0,18.0,438.0,875.0,20375.0,536.0,20180522
CORIANDER/DHANYA,25.0,3475.0,1.0,93.0,0.0,13.0,122.0,20180522
COUNTRY MIX,0.0,0.0,0.0,0.0,0.0,0.0,30.0,20180522
CROUTONS,0.0,1668.4,0.0,86.0,0.0,7.0,283.0,20180522
CRUSHED GINGER/GARLIC,806.4,21336.0,4.0,93.0,14.0,427.0,38.0,20180522
CUCUMBER,2550.0,60166.33,44.0,1089.0,204.0,5389.0,103.0,20180522
CURRY LEAVES,2840.0,25798.0,129.0,1167.0,25.0,232.0,153.0,20180522
DATES,21280.0,195099.0,57.0,525.0,299.0,2829.0,501.0,20180522
DHANYA,42720.0,455193.0,637.0,6516.0,1833.0,19591.0,534.0,20180522
DILL,1332.0,5063.0,26.0,128.0,41.0,132.0,24.0,20180522
DRAGON FRUIT,2040.0,32190.0,6.0,835.0,45.0,2208.0,4.0,20180522
DRIED FRUIT,510.0,21810.0,1.0,43.0,10.0,442.0,9.0,20180522
EDIBLE FLOWERS,400.0,1760.0,20.0,85.0,1.0,3.0,0.0,20180522
EMPTY BOXES,2002.5,38993.57,267.0,5199.0,134.0,2600.0,11067.0,20180522
ENDIVE/CHICORY,3170.0,17580.0,37.0,211.0,185.0,1055.0,2.0,20180522
ENGLISH CUCUMBER,407489.0,7054050.5,5984.0,80619.0,46972.0,627222.0,6082.0,20180522
FENNEL/ANISE,8596.0,63436.0,98.0,659.0,1097.0,6110.0,81.0,20180522
FIGS,4766.0,124540.0,60.0,1174.0,128.0,3374.0,44.0,20180522
FIREWOOD,1200.0,1200.0,80.0,80.0,240.0,240.0,20.0,20180522
GARLIC,173186.0,2710679.9,635.0,12325.0,4018.0,75451.0,6420.0,20180522
GARLIC PROCESSED,13611.06,109263.6,72.0,590.0,343.0,2799.0,275.0,20180522
GEELORA,2070.0,26767.0,71.0,894.0,213.0,2682.0,52.0,20180522
