Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,2175.0,6955.0,39.0,104.0,150.0,550.0,93.0,20180504
APPLES,1836780.0,6338618.0,21473.0,75163.0,272021.0,923969.0,118525.0,20180504
ASPARAGUS,27350.0,86497.0,43.0,141.0,206.0,644.0,52.0,20180504
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180504
AVOCADOS,433695.91,1941282.33,8798.0,40448.0,60091.0,280665.0,26761.0,20180504
BABY BRINJALS,3589.0,15716.0,100.0,287.0,399.0,1112.0,329.0,20180504
BABY BUTTERNUT,12156.0,41972.0,89.0,337.0,402.0,1505.0,17.0,20180504
BABY CABBAGE,8056.0,50650.0,98.0,558.0,430.0,2149.0,75.0,20180504
BABY CARROTS,21726.0,68200.0,109.0,339.0,682.0,1752.0,80.0,20180504
BABY ENGLISH CUCUMBER,300.0,300.0,5.0,5.0,30.0,30.0,5.0,20180504
BABY GEM SQUASH,5934.0,57174.0,52.0,420.0,276.0,2509.0,143.0,20180504
BABY LEAF,0.0,13548.0,0.0,99.0,0.0,99.0,1.0,20180504
BABY MARROWS,122712.0,476708.0,2526.0,8644.0,11083.0,40528.0,4644.0,20180504
BABY MIX,1288.0,2338.0,9.0,16.0,30.0,63.0,1.0,20180504
BABY SWEET CORN,19480.0,100966.0,75.0,494.0,408.0,2254.0,28.0,20180504
BANANAS,2134329.0,6364043.82,17584.0,52807.0,299715.0,907853.0,29879.0,20180504
BASIL,140.0,140.0,2.0,2.0,2.0,2.0,52.0,20180504
BAY LEAVES,104.0,104.0,4.0,4.0,1.0,1.0,6.0,20180504
BEAN SPROUTS,1284.0,7784.0,20.0,130.0,48.0,303.0,14.0,20180504
BEANS,264784.0,996803.0,5619.0,19009.0,22972.0,78620.0,4776.0,20180504
BEANS INDIAN,60.0,2545.0,2.0,66.0,4.0,167.0,12.0,20180504
BEETROOT,245156.0,969225.55,9215.0,45221.0,82159.0,379629.0,17082.0,20180504
BOK CHOY PAK-CHOI,540.0,2780.0,6.0,31.0,24.0,133.0,0.0,20180504
BRINJALS,42518.0,206418.0,1176.0,5210.0,5134.0,23928.0,1224.0,20180504
BROCCOLI,227094.0,925052.0,1690.0,6941.0,4913.0,19371.0,129.0,20180504
BROCCOLI FLORETTES,2400.0,2400.0,20.0,20.0,48.0,48.0,0.0,20180504
BROCCOLI LEAVES,1815.0,4945.0,50.0,125.0,400.0,1000.0,6.0,20180504
BUTTER LETTUCE,480.0,15926.0,8.0,243.0,37.0,708.0,67.0,20180504
BUTTERNUT,375746.0,1260587.0,15997.0,59030.0,131842.0,497468.0,32608.0,20180504
CABBAGE,356058.0,1169180.0,12935.0,42965.0,169475.0,552934.0,7458.0,20180504
CABBAGE RED,44689.0,135778.0,458.0,1058.0,1389.0,3136.0,124.0,20180504
CALABASH,2430.0,6060.0,31.0,98.0,218.0,531.0,28.0,20180504
CARROTS,944182.0,3597077.2,30792.0,117502.0,243672.0,909726.0,25150.0,20180504
CAULI/BROC,23084.0,73412.0,145.0,572.0,711.0,2419.0,77.0,20180504
CAULIFLOWER,140108.0,530112.0,1915.0,5946.0,6715.0,25000.0,2230.0,20180504
CAULIFLOWER FLORETS,1200.0,1200.0,21.0,21.0,50.0,50.0,17.0,20180504
CELERY,7420.0,16494.0,73.0,162.0,729.0,1560.0,70.0,20180504
CELERY OFFCUTS,480.0,840.0,6.0,12.0,6.0,12.0,0.0,20180504
CHERRIES,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20180504
CHILLIES,89222.0,365516.5,4260.0,17962.0,14139.0,59093.0,12810.0,20180504
CHINESE  VEGETABLES,11413.0,51262.5,959.0,3864.0,2062.0,7528.0,2974.0,20180504
CHIVES,335.0,555.0,15.0,26.0,2.0,3.0,4.0,20180504
CHORIE,160.0,580.0,8.0,25.0,40.0,125.0,35.0,20180504
CLEMENTINES,46412.0,103631.0,1689.0,4712.0,12852.0,20378.0,15596.0,20180504
COCKTAIL TOMATOES,15995.0,33161.0,138.0,370.0,641.0,1411.0,30.0,20180504
COCONUTS,15270.0,46990.0,42.0,133.0,2000.0,6475.0,289.0,20180504
CORIANDER/DHANYA,215.0,420.0,8.0,15.0,4.0,11.0,43.0,20180504
CROUTONS,97.0,601.4,5.0,31.0,0.0,2.0,338.0,20180504
CRUSHED GINGER/GARLIC,2162.4,9236.4,9.0,38.0,46.0,195.0,93.0,20180504
CUCUMBER,3555.0,13955.0,59.0,259.0,287.0,1287.0,7.0,20180504
CURRY LEAVES,1180.0,5724.0,52.0,223.0,11.0,56.0,15.0,20180504
DATES,4040.0,31360.0,11.0,74.0,61.0,408.0,427.0,20180504
DHANYA,26151.0,110713.0,467.0,1595.0,1454.0,4839.0,623.0,20180504
DRAGON FRUIT,680.0,1320.0,8.0,26.0,38.0,92.0,0.0,20180504
DRIED FRUIT,0.0,485.0,0.0,1.0,0.0,10.0,9.0,20180504
EDIBLE FLOWERS,0.0,280.0,0.0,14.0,0.0,0.0,6.0,20180504
EMPTY BOXES,4432.5,10335.0,591.0,1378.0,296.0,689.0,1888.0,20180504
ENGLISH CUCUMBER,708526.0,2312583.0,6292.0,20052.0,49172.0,155661.0,4285.0,20180504
FENNEL/ANISE,3470.0,12752.0,32.0,132.0,357.0,1094.0,3.0,20180504
FIGS,2070.0,29446.0,74.0,517.0,410.0,1512.0,111.0,20180504
GARLIC,201045.0,624269.0,1328.0,2888.0,7365.0,17820.0,9279.0,20180504
GARLIC PROCESSED,8420.7,23586.5,51.0,137.0,235.0,638.0,420.0,20180504
GEELORA,240.0,4125.0,7.0,158.0,21.0,474.0,89.0,20180504
GEM SQUASHES,266536.0,817532.0,5058.0,14653.0,41522.0,120449.0,5433.0,20180504
GHERKINS,4308.0,19862.0,81.0,438.0,392.0,2177.0,158.0,20180504
GINGER PROCESSED,0.0,0.0,0.0,0.0,0.0,0.0,24.0,20180504
GINGER ROOT,113050.0,466185.0,567.0,2373.0,3289.0,13260.0,1788.0,20180504
GOOSEBERRIES,11512.0,30332.0,69.0,129.0,253.0,507.0,47.0,20180504
GRANADILLA,6226.0,68835.0,179.0,1327.0,358.0,2682.0,1047.0,20180504
GRAPEFRUIT,17825.0,165915.0,219.0,4278.0,2771.0,27872.0,9087.0,20180504
GRAPES,757779.0,2502117.76,18724.0,57069.0,63335.0,214764.0,152138.0,20180504
GREEN MEALIES,2323.0,4903.0,46.0,80.0,690.0,1274.0,86.0,20180504
GREEN PEPPERS,686055.0,2296432.0,25707.0,82129.0,132245.0,414854.0,20520.0,20180504
GUAVA,71217.0,178104.3,2265.0,6325.0,5673.0,14915.0,457.0,20180504
HORSERADISH ROOT,430.0,12430.0,47.0,62.0,282.0,372.0,321.0,20180504
HUBBARD SQUASHES,199125.0,388805.0,3274.0,7515.0,104576.0,240288.0,465.0,20180504
JUICE,12260.37,51259.99,144.0,568.0,689.0,2885.0,3089.0,20180504
KALE,16173.0,55346.0,918.0,3853.0,1389.0,3791.0,1204.0,20180504
KARELA,1428.0,4541.0,56.0,152.0,112.0,309.0,22.0,20180504
KIWIFRUIT,25788.0,148228.0,156.0,600.0,762.0,4578.0,4047.0,20180504
KUMQUAT,960.0,4800.0,32.0,174.0,96.0,522.0,196.0,20180504
LEEKS,7060.0,44474.0,127.0,721.0,958.0,5081.0,504.0,20180504
LEMON GRASS,0.0,360.0,0.0,30.0,0.0,6.0,10.0,20180504
LEMONS,241531.0,785517.1,4509.0,12196.0,45242.0,136452.0,91343.0,20180504
LETTUCE,450443.06,1479315.56,7253.0,23051.0,37334.0,118976.0,1774.0,20180504
LETTUCE LIVING,0.0,3745.0,0.0,87.0,0.0,305.0,818.0,20180504
LIMES,9994.0,57639.0,788.0,2538.0,2369.0,7619.0,1612.0,20180504
LIQUIDS,0.0,0.0,0.0,0.0,0.0,0.0,84.0,20180504
MAIZE MEAL,0.0,300.0,0.0,3.0,0.0,75.0,47.0,20180504
MANGO,25010.0,86304.0,275.0,1286.0,1086.0,4762.0,399.0,20180504
MARROWS,60.0,3365.0,1.0,78.0,6.0,298.0,184.0,20180504
MELONS,37125.0,166900.0,363.0,1846.0,2541.0,12922.0,869.0,20180504
MINT,90.0,1839.0,5.0,52.0,8.0,102.0,0.0,20180504
MITJI BUDGIE,920.0,5355.0,18.0,96.0,61.0,330.0,80.0,20180504
MIXED,0.0,0.0,0.0,0.0,0.0,0.0,3.0,20180504
MUSHROOMS,54115.0,182679.0,201.0,864.0,867.0,2856.0,568.0,20180504
MUSK MELONS,200310.0,850938.0,1485.0,7463.0,10788.0,53588.0,1595.0,20180504
MUSTARD LEAVE,50.0,1832.0,1.0,173.0,10.0,87.0,141.0,20180504
NAARTJIES,208112.0,661041.0,6440.0,22391.0,26604.0,93714.0,35295.0,20180504
