Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,2626.0,26986.0,31.0,422.0,278.0,1942.0,100.0,20180613
APPLES,1500030.0,14841840.0,16094.0,185776.0,210518.0,2142232.0,148837.0,20180613
ASPARAGUS,9270.0,106655.0,90.0,266.0,187.0,790.0,42.0,20180613
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180613
AVOCADOS,332729.4,4697188.4,6251.0,99645.0,47221.0,650443.0,38063.0,20180613
BABY BRINJALS,3096.0,48418.0,42.0,1003.0,161.0,3028.0,192.0,20180613
BABY BUTTERNUT,9014.0,69042.0,77.0,841.0,336.0,3639.0,194.0,20180613
BABY CABBAGE,9150.0,94862.0,77.0,962.0,292.0,3507.0,132.0,20180613
BABY CARROTS,12662.0,167698.0,91.0,995.0,458.0,5028.0,688.0,20180613
BABY ENGLISH CUCUMBER,5980.0,8030.0,113.0,154.0,904.0,1232.0,0.0,20180613
BABY GEM SQUASH,11846.0,103072.0,122.0,1218.0,590.0,6598.0,275.0,20180613
BABY LEAF,1440.0,9876.0,15.0,102.0,15.0,102.0,3.0,20180613
BABY MARROWS,85791.0,1264210.0,1283.0,24781.0,5769.0,109678.0,2184.0,20180613
BABY MIX,952.0,7617.0,8.0,69.0,27.0,260.0,18.0,20180613
BABY SWEET CORN,29840.0,231388.0,80.0,1169.0,424.0,5102.0,70.0,20180613
BANANAS,915456.8,13827417.0,12183.0,144853.0,201755.0,2532923.0,66250.0,20180613
BASIL,0.0,460.0,0.0,9.0,0.0,1.0,2.0,20180613
BAY LEAVES,60.0,265.0,6.0,31.0,1.0,6.0,23.0,20180613
BEAN SPROUTS,588.0,9944.0,11.0,172.0,24.0,393.0,89.0,20180613
BEANS,246129.0,2062881.5,3722.0,43317.0,14902.0,174027.0,1224.0,20180613
BEANS INDIAN,0.0,3725.0,0.0,114.0,0.0,498.0,12.0,20180613
BEETROOT,194781.0,3167466.0,5296.0,99723.0,49698.0,797694.0,21928.0,20180613
BLACKBERRIES,1200.0,31104.0,5.0,137.0,8.0,206.0,7.0,20180613
BRINJALS,61121.0,412418.0,777.0,7278.0,3667.0,33296.0,49.0,20180613
BROCCOLI,83169.0,1483548.0,977.0,10830.0,1970.0,30142.0,368.0,20180613
BROCCOLI LEAVES,180.0,14145.0,6.0,342.0,48.0,2736.0,0.0,20180613
BRUSSELS SPROUTS,9048.0,81967.0,44.0,341.0,156.0,1193.0,9.0,20180613
BUTTER LETTUCE,700.0,15137.0,16.0,210.0,80.0,1050.0,31.0,20180613
BUTTERNUT,320944.0,4439998.0,16656.0,212319.0,133212.0,1769301.0,23235.0,20180613
CABBAGE,177116.0,3550987.0,6641.0,117195.0,72612.0,1338833.0,4655.0,20180613
CABBAGE RED,21127.0,242889.0,177.0,2560.0,757.0,11003.0,198.0,20180613
CALABASH,1285.0,38268.0,28.0,748.0,124.0,3784.0,194.0,20180613
CARROTS,528926.0,8268067.0,19783.0,271075.0,155678.0,2170804.0,46433.0,20180613
CARROTS PROCESSED,0.0,4650.0,0.0,31.0,0.0,93.0,10.0,20180613
CAULIFLOWER,69246.0,1086071.0,790.0,11153.0,2852.0,52681.0,1048.0,20180613
CAULIFLOWER FLORETS,0.0,500.0,0.0,9.0,0.0,22.0,1.0,20180613
CELERY,5460.0,67165.0,28.0,579.0,192.0,5499.0,119.0,20180613
CELERY OFFCUTS,0.0,910.0,0.0,26.0,0.0,26.0,68.0,20180613
CHERRIES,16809.0,431759.0,55.0,812.0,166.0,3485.0,105.0,20180613
CHILLIES,96616.0,1099519.61,4093.0,44093.0,13417.0,148264.0,12539.0,20180613
CHINESE  VEGETABLES,2878.0,78052.8,222.0,6057.0,521.0,19508.0,977.0,20180613
CHIVES,414.0,1969.0,62.0,165.0,9.0,18.0,11.0,20180613
CHORIE,0.0,2580.0,0.0,74.0,0.0,370.0,6.0,20180613
CLEMENTINES,58748.0,428798.0,2460.0,18737.0,8621.0,89176.0,14043.0,20180613
COCKTAIL AVOCADO PEAR,125.0,1965.0,5.0,77.0,10.0,154.0,27.0,20180613
COCKTAIL TOMATOES,5526.0,90112.0,72.0,1438.0,267.0,5441.0,698.0,20180613
COCONUTS,8550.0,52650.0,39.0,233.0,1950.0,10675.0,390.0,20180613
CORIANDER/DHANYA,510.0,1836.0,124.0,209.0,5.0,31.0,881.0,20180613
CROUTONS,0.0,58.2,0.0,3.0,0.0,0.0,280.0,20180613
CRUSHED GINGER/GARLIC,1702.8,14947.2,7.0,65.0,36.0,306.0,78.0,20180613
CUCUMBER,1245.0,39580.0,28.0,572.0,116.0,2742.0,245.0,20180613
CURRY LEAVES,9145.0,23094.0,453.0,1101.0,110.0,232.0,63.0,20180613
DATES,4840.0,64679.0,19.0,290.0,63.0,1565.0,1582.0,20180613
DHANYA,13118.0,180134.0,250.0,3300.0,851.0,10773.0,257.0,20180613
DILL,310.0,4043.0,9.0,104.0,22.0,169.0,24.0,20180613
DRIED FRUIT,2040.0,19300.0,4.0,37.0,40.0,378.0,9.0,20180613
EDIBLE FLOWERS,700.0,1700.0,25.0,75.0,1.0,2.0,0.0,20180613
EMPTY BOXES,1589.85,26324.15,212.0,3510.0,106.0,1755.0,5038.0,20180613
ENGLISH CUCUMBER,334552.0,3486483.36,3615.0,38648.0,28227.0,299922.0,3151.0,20180613
FENNEL/ANISE,660.0,6723.0,8.0,105.0,16.0,144.0,0.0,20180613
FIGS,8360.0,55250.0,38.0,174.0,73.0,660.0,0.0,20180613
FIREWOOD,2268.0,33477.0,189.0,2979.0,1323.0,22778.0,1113.0,20180613
GARLIC,240230.0,1499273.0,820.0,6122.0,5945.0,40021.0,10338.0,20180613
GARLIC PROCESSED,5553.01,57261.03,27.0,305.0,125.0,1464.0,381.0,20180613
GEELORA,315.0,10915.0,11.0,386.0,33.0,1158.0,41.0,20180613
GEM SQUASHES,195440.0,1293223.0,3151.0,27704.0,24603.0,248086.0,734.0,20180613
GHERKINS,4192.0,11414.0,42.0,128.0,202.0,594.0,60.0,20180613
