Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,740.0,15320.0,4.0,56.0,80.0,1120.0,49.0,20180411
APPLES,1466412.0,13514644.6,15407.0,154784.0,197368.0,1876329.0,104516.0,20180411
ARTICHOKES,20.0,380.0,2.0,13.0,10.0,65.0,0.0,20180411
ASPARAGUS,20000.0,42026.0,32.0,94.0,160.0,470.0,38.0,20180411
ATCHARA,26.1,676.5,1.0,26.0,1.0,26.0,42.0,20180411
AVOCADOS,467168.85,3892798.42,6133.0,60071.0,49040.0,457309.0,19502.0,20180411
BABY BRINJALS,935.0,36361.0,19.0,722.0,63.0,2397.0,161.0,20180411
BABY BUTTERNUT,4360.0,92829.0,43.0,864.0,245.0,3748.0,253.0,20180411
BABY CABBAGE,3724.0,139414.0,96.0,1490.0,430.0,5291.0,50.0,20180411
BABY CARROTS,9394.0,182342.0,45.0,880.0,225.0,4287.0,226.0,20180411
BABY ENGLISH CUCUMBER,3830.0,20995.0,117.0,599.0,936.0,4792.0,9.0,20180411
BABY GEM SQUASH,6018.0,131390.0,42.0,710.0,225.0,4377.0,33.0,20180411
BABY LEAF,3072.0,11130.0,32.0,113.0,32.0,113.0,10.0,20180411
BABY MARROWS,85046.0,1742767.0,1052.0,18573.0,5266.0,85639.0,2857.0,20180411
BABY MIX,100.0,11376.0,1.0,70.0,6.0,384.0,1.0,20180411
BABY SWEET CORN,27192.0,318974.0,125.0,1096.0,560.0,4690.0,112.0,20180411
BANANAS,1603712.0,16536129.8,12461.0,126618.0,210645.0,2201610.0,44683.0,20180411
BASIL,200.0,485.0,8.0,20.0,2.0,4.0,0.0,20180411
BAY LEAVES,25.0,25.0,1.0,1.0,0.0,0.0,9.0,20180411
BEAN SPROUTS,228.0,12245.0,4.0,214.0,10.0,495.0,48.0,20180411
BEANS,140814.0,1529193.9,4991.0,47001.0,20812.0,194943.0,5615.0,20180411
