Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,2270.0,29256.0,33.0,455.0,174.0,2116.0,80.0,20180614
APPLES,1392780.4,16276490.4,16236.0,202890.0,194187.0,2345000.0,152775.0,20180614
ASPARAGUS,1980.0,108635.0,22.0,288.0,44.0,834.0,20.0,20180614
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180614
AVOCADOS,483021.0,5072609.4,10119.0,107585.0,62917.0,669780.0,40033.0,20180614
BABY BRINJALS,3702.0,52120.0,74.0,1077.0,290.0,3318.0,184.0,20180614
BABY BUTTERNUT,9702.0,78784.0,111.0,953.0,482.0,4126.0,161.0,20180614
BABY CABBAGE,18608.0,113470.0,249.0,1211.0,893.0,4400.0,103.0,20180614
BABY CARROTS,38792.0,206490.0,261.0,1256.0,1493.0,6521.0,736.0,20180614
BABY GEM SQUASH,20972.0,124044.0,194.0,1412.0,1030.0,7628.0,263.0,20180614
BABY LEAF,288.0,10164.0,3.0,105.0,3.0,105.0,0.0,20180614
BABY MARROWS,237052.0,1501262.0,2964.0,27745.0,13918.0,123597.0,1667.0,20180614
BABY MIX,622.0,8239.0,5.0,74.0,18.0,278.0,14.0,20180614
BABY SWEET CORN,30825.0,262213.0,72.0,1241.0,379.0,5481.0,40.0,20180614
BANANAS,1293346.0,15290259.0,15071.0,161084.0,268111.0,2817274.0,71789.0,20180614
BASIL,140.0,600.0,2.0,11.0,0.0,1.0,0.0,20180614
BAY LEAVES,0.0,265.0,0.0,31.0,0.0,6.0,23.0,20180614
BEAN SPROUTS,1472.0,11416.0,24.0,196.0,56.0,449.0,56.0,20180614
BEANS,377725.0,2443007.5,5447.0,48980.0,21883.0,197206.0,715.0,20180614
BEANS INDIAN,220.0,3945.0,4.0,118.0,16.0,514.0,80.0,20180614
BEETROOT,324743.0,3501216.0,11892.0,112921.0,106070.0,907700.0,20169.0,20180614
BLACKBERRIES,1440.0,32544.0,6.0,143.0,9.0,215.0,1.0,20180614
BOK CHOY PAK-CHOI,2660.0,7300.0,30.0,76.0,150.0,380.0,0.0,20180614
BRINJALS,68280.0,475474.0,941.0,8151.0,4467.0,37406.0,79.0,20180614
BROCCOLI,241417.0,1724225.0,1560.0,12372.0,4397.0,34534.0,472.0,20180614
BROCCOLI LEAVES,2914.0,17059.0,62.0,404.0,496.0,3232.0,4.0,20180614
BRUSSELS SPROUTS,14635.0,120882.0,66.0,487.0,295.0,2128.0,46.0,20180614
BUTTER LETTUCE,6842.0,27235.0,99.0,381.0,359.0,1517.0,116.0,20180614
BUTTERNUT,581213.0,4984718.0,27140.0,236357.0,221206.0,1981201.0,22140.0,20180614
CABBAGE,403651.5,3954638.5,14502.0,131697.0,162902.0,1501734.0,6820.0,20180614
CABBAGE RED,50358.0,326897.0,397.0,3213.0,3580.0,18679.0,124.0,20180614
CALABASH,11231.0,49549.0,181.0,931.0,1138.0,4928.0,314.0,20180614
CARROTS,949816.0,9217883.0,37525.0,308600.0,293172.0,2463976.0,46216.0,20180614
CARROTS PROCESSED,150.0,4800.0,1.0,32.0,3.0,96.0,19.0,20180614
CAULI/BROC,33390.0,78940.0,214.0,528.0,664.0,1721.0,4.0,20180614
CAULIFLOWER,256492.0,1342563.0,2693.0,13846.0,11101.0,63783.0,1030.0,20180614
CAULIFLOWER FLORETS,0.0,500.0,0.0,9.0,0.0,22.0,1.0,20180614
CELERY,10960.0,78125.0,92.0,671.0,819.0,6318.0,99.0,20180614
CELERY OFFCUTS,0.0,910.0,0.0,26.0,0.0,26.0,81.0,20180614
CHERRIES,83420.0,515179.0,180.0,992.0,729.0,4214.0,536.0,20180614
CHILLIES,157995.0,1257706.61,6536.0,50632.0,21906.0,170175.0,11825.0,20180614
CHINESE  VEGETABLES,6593.0,84645.8,255.0,6312.0,1915.0,21422.0,868.0,20180614
CHIVES,283.0,1349.0,16.0,112.0,1.0,4.0,15.0,20180614
CHORIE,530.0,3110.0,12.0,86.0,60.0,430.0,44.0,20180614
CLEMENTINES,78314.0,507112.0,3749.0,22486.0,13555.0,102731.0,13254.0,20180614
COCKTAIL AVOCADO PEAR,240.0,2205.0,12.0,89.0,24.0,178.0,15.0,20180614
COCKTAIL TOMATOES,7908.0,99910.0,105.0,1573.0,327.0,5947.0,900.0,20180614
COCONUTS,5850.0,58500.0,20.0,253.0,1000.0,11675.0,370.0,20180614
CORIANDER/DHANYA,8.0,1844.0,1.0,210.0,0.0,31.0,890.0,20180614
CROUTONS,0.0,58.2,0.0,3.0,0.0,0.0,280.0,20180614
CRUSHED GINGER/GARLIC,2223.6,17170.8,9.0,74.0,47.0,353.0,69.0,20180614
CUCUMBER,5125.0,44705.0,125.0,697.0,541.0,3283.0,215.0,20180614
CURRY LEAVES,2592.0,25686.0,111.0,1212.0,19.0,251.0,129.0,20180614
DATES,960.0,65639.0,3.0,293.0,16.0,1581.0,1579.0,20180614
