Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,160.0,12330.0,2.0,47.0,40.0,940.0,38.0,20180409
APPLES,1351497.0,10055822.6,17880.0,118256.0,190480.0,1404805.0,116923.0,20180409
ARTICHOKES,30.0,360.0,2.0,11.0,10.0,55.0,2.0,20180409
ATCHARA,26.0,572.4,1.0,22.0,1.0,22.0,46.0,20180409
AVOCADOS,189696.0,2805560.57,2564.0,44513.0,24118.0,335503.0,7880.0,20180409
BABY BRINJALS,720.0,23128.0,21.0,487.0,70.0,1650.0,71.0,20180409
BABY BUTTERNUT,2780.0,69179.0,35.0,635.0,149.0,2697.0,415.0,20180409
BABY CABBAGE,1692.0,110126.0,25.0,1098.0,85.0,3892.0,130.0,20180409
BABY CARROTS,17316.0,135676.0,82.0,656.0,422.0,3208.0,118.0,20180409
BABY ENGLISH CUCUMBER,200.0,12695.0,5.0,338.0,40.0,2704.0,35.0,20180409
BABY GEM SQUASH,664.0,96380.0,6.0,475.0,29.0,3105.0,16.0,20180409
BABY MARROWS,57420.0,1341894.0,685.0,13884.0,3334.0,62792.0,2321.0,20180409
BABY SWEET CORN,3012.0,186228.0,16.0,647.0,59.0,2719.0,4.0,20180409
BANANAS,1913430.0,13113602.8,14075.0,101362.0,253152.0,1773883.0,42856.0,20180409
BASIL,185.0,185.0,8.0,8.0,2.0,2.0,12.0,20180409
BEAN SPROUTS,280.0,9493.0,8.0,166.0,19.0,383.0,8.0,20180409
BEANS,50356.0,1146501.9,2244.0,34494.0,9061.0,143039.0,4417.0,20180409
BEANS INDIAN,780.0,3976.0,25.0,166.0,116.0,419.0,62.0,20180409
BEETROOT,156737.0,1345162.0,7023.0,74012.0,59505.0,591731.0,17477.0,20180409
BLACKBERRIES,3000.0,8304.0,16.0,42.0,24.0,63.0,29.0,20180409
BRINJALS,7927.0,301585.0,180.0,5323.0,894.0,25319.0,872.0,20180409
BROCCOLI,108620.0,1282581.0,738.0,7972.0,2210.0,22268.0,331.0,20180409
