Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,5440.0,18010.0,64.0,115.0,218.0,1166.0,33.0,20180410
APPLES,2039610.0,12095432.6,24021.0,142277.0,282857.0,1687661.0,100432.0,20180410
ARTICHOKES,0.0,360.0,0.0,11.0,0.0,55.0,2.0,20180410
ASPARAGUS,40450.0,62001.0,69.0,131.0,215.0,469.0,0.0,20180410
ATCHARA,78.0,650.4,3.0,25.0,3.0,25.0,43.0,20180410
AVOCADOS,611120.0,3416680.57,9262.0,53775.0,71517.0,407020.0,12129.0,20180410
BABY BRINJALS,12298.0,35426.0,216.0,703.0,684.0,2334.0,190.0,20180410
BABY BUTTERNUT,19290.0,88469.0,186.0,821.0,806.0,3503.0,501.0,20180410
BABY CABBAGE,25564.0,135690.0,296.0,1394.0,968.0,4861.0,146.0,20180410
BABY CARROTS,37272.0,172948.0,179.0,835.0,853.0,4062.0,271.0,20180410
BABY ENGLISH CUCUMBER,4470.0,17165.0,144.0,482.0,1152.0,3856.0,24.0,20180410
BABY GEM SQUASH,28992.0,125372.0,193.0,668.0,1047.0,4153.0,16.0,20180410
BABY LEAF,792.0,8058.0,8.0,81.0,8.0,81.0,42.0,20180410
BABY MARROWS,309496.0,1652715.0,3552.0,17451.0,17030.0,80066.0,3314.0,20180410
BABY MIX,2576.0,11276.0,20.0,69.0,112.0,378.0,2.0,20180410
BABY SWEET CORN,106650.0,291782.0,336.0,971.0,1447.0,4130.0,80.0,20180410
BANANAS,1780811.0,14913757.8,12507.0,113977.0,211970.0,1987365.0,40908.0,20180410
BASIL,100.0,285.0,4.0,12.0,1.0,2.0,8.0,20180410
BEAN SPROUTS,2524.0,12017.0,44.0,210.0,102.0,486.0,52.0,20180410
BEANS,241807.0,1402156.9,7543.0,42235.0,31279.0,175383.0,6354.0,20180410
BEANS INDIAN,460.0,4436.0,10.0,176.0,40.0,459.0,52.0,20180410
BEETROOT,266282.0,1611444.0,11970.0,85982.0,98866.0,690597.0,19096.0,20180410
BLACKBERRIES,4320.0,12624.0,20.0,62.0,30.0,93.0,29.0,20180410
BOK CHOY PAK-CHOI,2060.0,6360.0,21.0,71.0,89.0,299.0,12.0,20180410
BRINJALS,99013.0,400598.0,1974.0,7297.0,8513.0,33832.0,2037.0,20180410
BROCCOLI,233420.0,1516041.0,1621.0,9595.0,4755.0,27043.0,590.0,20180410
BROCCOLI FLORETTES,1932.0,14988.0,11.0,87.0,26.0,209.0,22.0,20180410
BROCCOLI LEAVES,1645.0,6390.0,42.0,165.0,336.0,1320.0,0.0,20180410
BUTTER LETTUCE,6840.0,14866.0,93.0,195.0,465.0,975.0,25.0,20180410
BUTTERNUT,284469.0,1950877.5,12915.0,95170.0,110337.0,808416.0,40877.0,20180410
CABBAGE,365976.5,2146224.3,14775.0,90748.0,184196.0,999137.0,11376.0,20180410
CABBAGE  SUGAR,1152.0,1152.0,12.0,12.0,192.0,192.0,0.0,20180410
CABBAGE RED,49372.0,264445.0,523.0,2607.0,3059.0,15099.0,172.0,20180410
CALABASH,6010.0,18998.0,108.0,418.0,519.0,1726.0,19.0,20180410
CARROTS,1161634.0,7275131.79,31095.0,189256.0,255927.0,1448113.0,35142.0,20180410
CAULI/BROC,8772.0,29586.0,65.0,177.0,298.0,780.0,11.0,20180410
CAULIFLOWER,252219.0,1205122.5,2395.0,11871.0,11902.0,63829.0,990.0,20180410
CAULIFLOWER FLORETS,0.0,13224.0,0.0,114.0,0.0,274.0,1.0,20180410
CELERY,15110.0,22325.0,81.0,188.0,726.0,2010.0,14.0,20180410
CHESTNUTS RAW,0.0,630.0,0.0,21.0,0.0,210.0,10.0,20180410
CHILLIES,153906.0,832032.5,6333.0,36075.0,20456.0,113431.0,18472.0,20180410
CHILLIES PROCESSED,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20180410
CHINESE  VEGETABLES,28876.0,83575.5,1302.0,4742.0,3773.0,11061.0,737.0,20180410
CHIVES,570.0,570.0,26.0,26.0,5.0,5.0,14.0,20180410
CHORIE,75.0,1600.0,3.0,51.0,15.0,255.0,11.0,20180410
CLEMENTINES,920.0,4832.0,45.0,239.0,90.0,478.0,121.0,20180410
COCKTAIL AVOCADO PEAR,320.0,3365.0,8.0,104.0,16.0,208.0,9.0,20180410
COCKTAIL TOMATOES,12710.0,29716.0,121.0,273.0,460.0,1101.0,89.0,20180410
COCONUTS,11400.0,93370.0,34.0,251.0,1525.0,11925.0,226.0,20180410
CORIANDER/DHANYA,100.0,1010.0,4.0,71.0,1.0,7.0,54.0,20180410
CRUSHED GINGER/GARLIC,2194.8,11223.6,10.0,49.0,42.0,226.0,39.0,20180410
CUCUMBER,5660.0,15480.0,118.0,339.0,589.0,1676.0,22.0,20180410
CURRY LEAVES,2355.0,13140.0,111.0,616.0,21.0,126.0,21.0,20180410
DATES,2700.0,12764.0,9.0,31.0,43.0,195.0,60.0,20180410
DHANYA,46670.0,241894.0,550.0,2825.0,1692.0,8756.0,299.0,20180410
DILL,976.0,2976.0,24.0,80.0,23.0,61.0,1.0,20180410
DRAGON FRUIT,3670.0,29577.0,56.0,567.0,93.0,1250.0,283.0,20180410
DRIED FRUIT,1520.0,12745.0,3.0,25.0,34.0,293.0,23.0,20180410
EDIBLE FLOWERS,20.0,40.0,1.0,2.0,0.0,0.0,0.0,20180410
EMPTY BOXES,2595.0,26167.0,346.0,3489.0,173.0,1745.0,9239.0,20180410
ENDIVE/CHICORY,2570.0,5470.0,30.0,65.0,150.0,325.0,0.0,20180410
ENGLISH CUCUMBER,532849.5,2562454.5,7969.0,35061.0,61467.0,271944.0,2917.0,20180410
FENNEL/ANISE,7070.0,19700.0,73.0,213.0,861.0,2757.0,9.0,20180410
FIGS,18670.0,65065.0,268.0,1141.0,828.0,3231.0,445.0,20180410
FLAT BEANS,100.0,100.0,5.0,5.0,25.0,25.0,45.0,20180410
GARLIC,295770.0,1167873.0,1326.0,6259.0,8213.0,38290.0,7131.0,20180410
GARLIC PROCESSED,10743.58,50882.84,60.0,263.0,273.0,1234.0,230.0,20180410
GEELORA,1520.0,8108.0,43.0,315.0,129.0,945.0,102.0,20180410
GEM SQUASHES,79650.0,1019528.0,2009.0,19650.0,15586.0,169989.0,1440.0,20180410
GHERKINS,6204.0,35568.0,131.0,760.0,723.0,4239.0,281.0,20180410
GINGER PROCESSED,120.0,120.0,1.0,1.0,0.0,0.0,24.0,20180410
GINGER ROOT,152210.0,946007.0,591.0,3698.0,3545.0,23169.0,3685.0,20180410
GOOSEBERRIES,12448.0,53046.0,36.0,150.0,126.0,538.0,2.0,20180410
GRANADILLA,78224.0,258042.0,1071.0,2823.0,2218.0,6907.0,1566.0,20180410
GRAPEFRUIT,118630.0,633920.0,2676.0,6016.0,14540.0,64500.0,4185.0,20180410
GRAPES,937871.8,5942893.81,24592.0,130176.0,83516.0,530618.0,174179.0,20180410
GREEN MEALIES,5360.0,33181.0,61.0,307.0,933.0,4573.0,531.0,20180410
GREEN PEPPERS,582440.0,3317856.0,23779.0,122576.0,118226.0,612466.0,13142.0,20180410
GUAVA,56192.0,238128.0,1567.0,5932.0,3600.0,17235.0,152.0,20180410
HUBBARD SQUASHES,126765.0,916000.0,2112.0,14834.0,67584.0,474688.0,1563.0,20180410
JUICE,53042.99,135550.0,432.0,1326.0,3014.0,7670.0,3364.0,20180410
KALE,10183.0,58371.8,410.0,4030.0,1180.0,5492.0,107.0,20180410
KARELA,3455.0,19175.0,86.0,403.0,312.0,1217.0,178.0,20180410
KIWIFRUIT,85550.0,447605.0,387.0,2392.0,3451.0,15901.0,2902.0,20180410
KUMQUAT,1010.0,8375.0,34.0,243.0,102.0,729.0,0.0,20180410
LEEKS,36489.0,130207.0,478.0,1572.0,2561.0,8430.0,87.0,20180410
LEMON GRASS,280.0,1020.0,7.0,34.0,13.0,37.0,38.0,20180410
LEMONS,299750.0,1897634.0,3603.0,22168.0,41808.0,268796.0,29723.0,20180410
