Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,440.0,440.0,6.0,6.0,48.0,48.0,54.0,20180403
APPLES,2133409.0,2133409.0,25594.0,25594.0,293545.0,293545.0,113389.0,20180403
ASPARAGUS,0.0,0.0,0.0,0.0,0.0,0.0,18.0,20180403
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,68.0,20180403
AVOCADOS,602422.92,602422.92,11450.0,11450.0,84089.0,84089.0,7802.0,20180403
BABY BRINJALS,970.0,970.0,15.0,15.0,60.0,60.0,12.0,20180403
BABY BUTTERNUT,34414.0,34414.0,250.0,250.0,1074.0,1074.0,301.0,20180403
BABY CABBAGE,43640.0,43640.0,416.0,416.0,1389.0,1389.0,110.0,20180403
BABY CARROTS,8796.0,8796.0,96.0,96.0,486.0,486.0,73.0,20180403
BABY ENGLISH CUCUMBER,4500.0,4500.0,113.0,113.0,904.0,904.0,0.0,20180403
BABY GEM SQUASH,21520.0,21520.0,117.0,117.0,601.0,601.0,8.0,20180403
BABY MARROWS,485435.0,485435.0,4419.0,4419.0,19603.0,19603.0,3577.0,20180403
BABY MIX,5792.0,5792.0,30.0,30.0,160.0,160.0,5.0,20180403
BABY SWEET CORN,16556.0,16556.0,71.0,71.0,312.0,312.0,165.0,20180403
BANANAS,4265500.3,4265500.3,33716.0,33716.0,601136.0,601136.0,40915.0,20180403
BEAN SPROUTS,4397.0,4397.0,77.0,77.0,177.0,177.0,16.0,20180403
BEANS,239525.0,239525.0,6333.0,6333.0,26597.0,26597.0,1973.0,20180403
BEANS INDIAN,675.0,675.0,21.0,21.0,56.0,56.0,137.0,20180403
BEETROOT,229036.0,229036.0,15642.0,15642.0,122430.0,122430.0,35258.0,20180403
BLACKBERRIES,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20180403
BOK CHOY PAK-CHOI,1000.0,1000.0,10.0,10.0,50.0,50.0,0.0,20180403
BRINJALS,74865.0,74865.0,1153.0,1153.0,5837.0,5837.0,106.0,20180403
BROCCOLI,392837.0,392837.0,1973.0,1973.0,9604.0,9604.0,107.0,20180403
BROCCOLI LEAVES,1505.0,1505.0,40.0,40.0,320.0,320.0,0.0,20180403
BRUSSELS SPROUTS,10800.0,10800.0,27.0,27.0,148.0,148.0,0.0,20180403
BUTTER LETTUCE,8464.0,8464.0,155.0,155.0,237.0,237.0,31.0,20180403
BUTTERNUT,461177.5,461177.5,20605.0,20605.0,183521.0,183521.0,26475.0,20180403
