Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1220.0,10975.0,11.0,155.0,148.0,1066.0,72.0,20180509
APPLES,1438478.0,12471269.0,16876.0,147706.0,204919.0,1807478.0,125233.0,20180509
ASPARAGUS,13700.0,175117.0,28.0,316.0,105.0,1336.0,44.0,20180509
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180509
AVOCADOS,499541.0,3790932.33,10046.0,77052.0,65001.0,520521.0,28445.0,20180509
BABY BRINJALS,2260.0,16818.0,63.0,448.0,239.0,1774.0,113.0,20180509
BABY BUTTERNUT,3440.0,62894.0,34.0,506.0,153.0,2254.0,121.0,20180509
BABY CABBAGE,10084.0,85652.0,106.0,919.0,419.0,3547.0,36.0,20180509
BABY CARROTS,12882.0,115816.0,63.0,581.0,310.0,2662.0,160.0,20180509
BABY ENGLISH CUCUMBER,1080.0,20924.0,22.0,383.0,128.0,2910.0,32.0,20180509
BABY GEM SQUASH,6854.0,90690.0,70.0,731.0,350.0,4082.0,174.0,20180509
BABY LEAF,3264.0,20688.0,32.0,169.0,32.0,169.0,30.0,20180509
BABY MARROWS,60779.0,841338.7,1517.0,15923.0,7194.0,74858.0,3702.0,20180509
BABY MIX,150.0,8170.0,1.0,101.0,3.0,458.0,26.0,20180509
BABY SWEET CORN,19368.0,210880.0,82.0,956.0,396.0,4435.0,114.0,20180509
BANANAS,1462928.0,12322964.8,11061.0,97519.0,193808.0,1692197.0,43326.0,20180509
BASIL,0.0,1480.0,0.0,35.0,0.0,19.0,63.0,20180509
BAY LEAVES,0.0,129.0,0.0,5.0,0.0,1.0,20.0,20180509
BEAN SPROUTS,380.0,11408.0,7.0,197.0,15.0,458.0,24.0,20180509
BEANS,184318.0,1659371.42,5335.0,35826.0,21610.0,147911.0,7279.0,20180509
BEANS INDIAN,215.0,3743.0,7.0,86.0,23.0,237.0,44.0,20180509
BEETROOT,231314.0,1749207.55,11430.0,80299.0,81266.0,644971.0,18621.0,20180509
BLACKBERRIES,1224.0,1224.0,8.0,8.0,19.0,19.0,2.0,20180509
BOK CHOY PAK-CHOI,900.0,5380.0,12.0,62.0,44.0,256.0,9.0,20180509
BRINJALS,28118.0,335468.0,645.0,8559.0,3043.0,38651.0,1455.0,20180509
BROCCOLI,167738.0,1461177.0,968.0,10176.0,2796.0,28510.0,340.0,20180509
BROCCOLI LEAVES,20.0,56.0,5.0,11.0,5.0,11.0,39.0,20180509
BRUSSELS SPROUTS,2000.0,14000.0,5.0,35.0,20.0,140.0,5.0,20180509
BUTTER LETTUCE,460.0,24803.5,7.0,364.0,35.0,1309.0,63.0,20180509
BUTTERNUT,255257.0,2420090.9,12492.0,109392.0,107856.0,947433.0,44293.0,20180509
CABBAGE,197629.0,2145796.3,6179.0,77505.0,83028.0,990206.0,6192.0,20180509
CABBAGE RED,12778.0,225207.0,104.0,1931.0,601.0,9325.0,429.0,20180509
CALABASH,1095.0,17020.0,17.0,303.0,96.0,1459.0,14.0,20180509
CARROTS,784077.0,6601898.7,22325.0,205632.0,179811.0,1595147.0,24913.0,20180509
CAULI/BROC,2712.0,85516.0,53.0,717.0,162.0,2961.0,134.0,20180509
CAULIFLOWER,50652.0,830701.64,764.0,10896.0,3059.0,43872.0,410.0,20180509
CAULIFLOWER FLORETS,0.0,3030.0,0.0,62.0,0.0,149.0,4.0,20180509
CELERY,7890.0,33339.0,102.0,365.0,864.0,3636.0,21.0,20180509
CHERRIES,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20180509
CHILLIES,82790.0,802105.0,3670.0,35005.0,12705.0,115374.0,8961.0,20180509
CHINESE  VEGETABLES,10315.0,82321.0,606.0,6849.0,1921.0,12484.0,727.0,20180509
CHIVES,220.0,1290.0,9.0,59.0,2.0,8.0,18.0,20180509
CHORIE,0.0,755.0,0.0,30.0,0.0,150.0,16.0,20180509
CLEMENTINES,57193.0,288272.0,2842.0,14102.0,6688.0,48686.0,16605.0,20180509
COCKTAIL TOMATOES,21452.0,95921.0,309.0,1044.0,1206.0,4090.0,268.0,20180509
COCONUTS,9530.0,98280.0,49.0,313.0,1800.0,14450.0,248.0,20180509
CORIANDER/DHANYA,160.0,1070.0,4.0,36.0,12.0,29.0,64.0,20180509
CROUTONS,0.0,1532.6,0.0,79.0,0.0,6.0,290.0,20180509
CRUSHED GINGER/GARLIC,403.2,11252.4,2.0,48.0,7.0,231.0,83.0,20180509
CUCUMBER,2283.0,19534.0,38.0,351.0,190.0,1755.0,313.0,20180509
CURRY LEAVES,1195.0,8644.0,40.0,367.0,23.0,90.0,161.0,20180509
DATES,43260.0,125640.0,110.0,331.0,553.0,1786.0,295.0,20180509
DHANYA,20705.0,192579.0,323.0,2851.0,1006.0,8703.0,410.0,20180509
DRIED FRUIT,3220.0,15355.0,6.0,29.0,61.0,319.0,11.0,20180509
EMPTY BOXES,1177.5,17010.24,157.0,2268.0,79.0,1134.0,12998.0,20180509
ENGLISH CUCUMBER,242710.0,3747376.0,2936.0,34780.0,22168.0,270473.0,5854.0,20180509
FENNEL/ANISE,2140.0,22462.0,26.0,237.0,63.0,1882.0,20.0,20180509
FIGS,2392.0,40958.0,61.0,679.0,150.0,1682.0,30.0,20180509
GARLIC,128515.0,1166992.0,458.0,5007.0,3236.0,31566.0,8282.0,20180509
GARLIC PROCESSED,6217.84,48009.45,32.0,262.0,164.0,1253.0,294.0,20180509
GEELORA,380.0,11735.0,12.0,397.0,36.0,1191.0,80.0,20180509
GEM SQUASHES,299553.0,1345766.0,9120.0,28810.0,66317.0,230671.0,6846.0,20180509
GHERKINS,7557.0,36155.0,198.0,810.0,990.0,4027.0,27.0,20180509
GINGER PROCESSED,120.0,120.0,1.0,1.0,0.0,0.0,23.0,20180509
GINGER ROOT,113780.0,957985.0,466.0,4618.0,3182.0,27870.0,2157.0,20180509
GOOSEBERRIES,4864.0,48814.0,26.0,207.0,83.0,793.0,27.0,20180509
GRANADILLA,5680.0,153303.0,156.0,3190.0,339.0,6877.0,880.0,20180509
GRAPEFRUIT,32112.0,456243.0,1235.0,12334.0,5351.0,75990.0,10083.0,20180509
GRAPES,473708.3,4740386.06,13917.0,108663.0,46828.0,404466.0,129032.0,20180509
GREEN MEALIES,265.0,3560.0,9.0,75.0,113.0,1053.0,43.0,20180509
GREEN PEPPERS,545889.0,3928691.0,20470.0,143486.0,102543.0,718206.0,10580.0,20180509
GUAVA,43901.0,344420.68,1377.0,11383.0,3849.0,28446.0,853.0,20180509
