Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1950.0,1950.0,29.0,29.0,148.0,148.0,168.0,20180502
APPLES,2675355.0,2675355.0,30935.0,30935.0,384316.0,384316.0,125647.0,20180502
ASPARAGUS,50125.0,50125.0,76.0,76.0,380.0,380.0,77.0,20180502
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180502
AVOCADOS,762226.5,762226.5,14475.0,14475.0,118888.0,118888.0,33801.0,20180502
BABY BRINJALS,1955.0,1955.0,42.0,42.0,168.0,168.0,104.0,20180502
BABY BUTTERNUT,22082.0,22082.0,184.0,184.0,809.0,809.0,74.0,20180502
BABY CABBAGE,26690.0,26690.0,283.0,283.0,1084.0,1084.0,70.0,20180502
BABY CARROTS,29490.0,29490.0,143.0,143.0,548.0,548.0,36.0,20180502
BABY ENGLISH CUCUMBER,4530.0,4530.0,90.0,90.0,720.0,720.0,0.0,20180502
BABY GEM SQUASH,38004.0,38004.0,247.0,247.0,1587.0,1587.0,126.0,20180502
BABY LEAF,3696.0,3696.0,29.0,29.0,29.0,29.0,21.0,20180502
BABY MARROWS,214745.0,214745.0,3568.0,3568.0,17632.0,17632.0,5249.0,20180502
BABY MIX,3008.0,3008.0,45.0,45.0,224.0,224.0,13.0,20180502
BABY SWEET CORN,36662.0,36662.0,206.0,206.0,878.0,878.0,2.0,20180502
BANANAS,2327050.0,2327050.0,19528.0,19528.0,334694.0,334694.0,38334.0,20180502
BASIL,160.0,160.0,2.0,2.0,2.0,2.0,8.0,20180502
BEAN SPROUTS,4636.0,4636.0,78.0,78.0,184.0,184.0,74.0,20180502
BEANS,378651.0,378651.0,6534.0,6534.0,28755.0,28755.0,2148.0,20180502
BEANS INDIAN,370.0,370.0,8.0,8.0,21.0,21.0,55.0,20180502
BEETROOT,327434.55,327434.55,17290.0,17290.0,144433.0,144433.0,22395.0,20180502
BLACKBERRIES,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20180502
BRINJALS,105262.0,105262.0,2446.0,2446.0,11356.0,11356.0,439.0,20180502
BROCCOLI,415049.0,415049.0,3057.0,3057.0,8652.0,8652.0,497.0,20180502
BROCCOLI LEAVES,1850.0,1850.0,45.0,45.0,360.0,360.0,0.0,20180502
BRUSSELS SPROUTS,12660.0,12660.0,33.0,33.0,165.0,165.0,1.0,20180502
BUTTER LETTUCE,690.0,690.0,17.0,17.0,85.0,85.0,3.0,20180502
BUTTERNUT,493865.0,493865.0,22275.0,22275.0,190571.0,190571.0,25115.0,20180502
