Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,7670.0,26420.0,36.0,155.0,414.0,1660.0,45.0,20180412
APPLES,1749080.42,15263725.1,19999.0,174783.0,235352.0,2111681.0,114902.0,20180412
ASPARAGUS,40475.0,82501.0,58.0,152.0,261.0,731.0,32.0,20180412
ATCHARA,512.3,1188.8,23.0,49.0,23.0,49.0,19.0,20180412
AVOCADOS,500817.0,4393615.42,6788.0,66859.0,61251.0,518560.0,18300.0,20180412
BABY BRINJALS,6750.0,43111.0,173.0,895.0,539.0,2936.0,122.0,20180412
BABY BUTTERNUT,20704.0,113533.0,282.0,1146.0,1280.0,5028.0,163.0,20180412
BABY CABBAGE,24107.0,163521.0,318.0,1808.0,1095.0,6386.0,88.0,20180412
BABY CARROTS,26650.0,208992.0,139.0,1019.0,612.0,4899.0,233.0,20180412
BABY ENGLISH CUCUMBER,3600.0,24595.0,105.0,704.0,840.0,5632.0,10.0,20180412
BABY GEM SQUASH,24691.0,156081.0,218.0,928.0,1205.0,5582.0,9.0,20180412
BABY LEAF,4542.0,15672.0,45.0,158.0,45.0,158.0,15.0,20180412
BABY MARROWS,207595.0,1937177.0,2698.0,21021.0,14461.0,99350.0,3405.0,20180412
BABY MIX,5068.0,20535.0,57.0,194.0,296.0,1015.0,5.0,20180412
BABY SWEET CORN,51492.0,370466.0,267.0,1363.0,1028.0,5718.0,175.0,20180412
BANANAS,1774824.96,18310954.8,13075.0,139693.0,229860.0,2431470.0,43184.0,20180412
BAY LEAVES,60.0,85.0,3.0,4.0,1.0,1.0,6.0,20180412
BEAN SPROUTS,3124.0,15369.0,53.0,267.0,122.0,617.0,57.0,20180412
BEANS,211003.0,1740196.9,7027.0,54028.0,29510.0,224452.0,6851.0,20180412
BEANS INDIAN,1875.0,6351.0,63.0,241.0,375.0,838.0,74.0,20180412
BEETROOT,278493.0,2267490.0,14400.0,114334.0,117387.0,926583.0,38659.0,20180412
BLACKBERRIES,0.0,12624.0,0.0,62.0,0.0,93.0,29.0,20180412
BOK CHOY PAK-CHOI,3188.0,9948.0,39.0,115.0,147.0,461.0,3.0,20180412
BRINJALS,45094.0,464987.0,996.0,8816.0,4303.0,40344.0,1590.0,20180412
BROCCOLI,97710.0,1743825.0,658.0,11140.0,2038.0,31533.0,103.0,20180412
BROCCOLI FLORETTES,25.0,15013.0,1.0,88.0,2.0,211.0,30.0,20180412
BROCCOLI LEAVES,1605.0,7995.0,42.0,207.0,336.0,1656.0,0.0,20180412
BRUSSELS SPROUTS,16000.0,44800.0,40.0,112.0,240.0,668.0,0.0,20180412
BUTTER LETTUCE,5160.0,20446.0,70.0,272.0,350.0,1360.0,3.0,20180412
BUTTERNUT,408770.0,2734890.5,23756.0,138284.0,192696.0,1154645.0,55869.0,20180412
CABBAGE,235270.0,2540574.3,13041.0,112103.0,142613.0,1227500.0,18894.0,20180412
CABBAGE  SUGAR,1712.0,2192.0,20.0,25.0,48.0,60.0,1.0,20180412
CABBAGE RED,66302.0,343827.0,704.0,3438.0,3782.0,19483.0,568.0,20180412
CALABASH,3875.0,23153.0,63.0,487.0,325.0,2075.0,35.0,20180412
CARROTS,1010251.13,9131420.92,36795.0,250159.0,277049.0,1921565.0,40259.0,20180412
CAULI/BROC,20660.0,91026.0,207.0,640.0,826.0,2381.0,7.0,20180412
CAULIFLOWER,188191.0,1503411.5,2004.0,14990.0,9931.0,79498.0,585.0,20180412
CAULIFLOWER FLORETS,0.0,13224.0,0.0,114.0,0.0,274.0,1.0,20180412
CELERY,1900.0,12365.0,29.0,183.0,348.0,2196.0,15.0,20180412
CHILLIES,116293.0,1028005.5,5035.0,44857.0,16448.0,142080.0,19716.0,20180412
CHILLIES PROCESSED,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20180412
CHINESE  VEGETABLES,29400.0,139422.5,828.0,6070.0,3364.0,15179.0,1123.0,20180412
CHIVES,684.0,2759.0,31.0,123.0,3.0,13.0,27.0,20180412
CHORIE,45.0,1645.0,1.0,52.0,5.0,260.0,0.0,20180412
CLEMENTINES,23312.0,64571.0,1215.0,3261.0,2430.0,6522.0,3299.0,20180412
COCKTAIL TOMATOES,4606.0,37409.0,102.0,422.0,357.0,1615.0,195.0,20180412
COCONUTS,19100.0,115445.0,49.0,308.0,2450.0,14750.0,288.0,20180412
CORIANDER/DHANYA,175.0,1185.0,7.0,78.0,1.0,8.0,57.0,20180412
CROUTONS,252.2,252.2,13.0,13.0,1.0,1.0,323.0,20180412
CRUSHED GINGER/GARLIC,2514.0,13939.2,11.0,61.0,50.0,279.0,67.0,20180412
CUCUMBER,0.0,15120.0,0.0,332.0,0.0,1660.0,3.0,20180412
CURRY LEAVES,2115.0,16080.0,95.0,744.0,18.0,151.0,86.0,20180412
DATES,6950.0,21914.0,23.0,61.0,122.0,365.0,79.0,20180412
DHANYA,43154.0,306347.0,529.0,3663.0,1646.0,11384.0,182.0,20180412
DILL,590.0,2090.0,10.0,35.0,20.0,70.0,0.0,20180412
DRAGON FRUIT,15900.0,45720.0,914.0,1508.0,1415.0,2705.0,633.0,20180412
DRIED FRUIT,8730.0,19015.0,18.0,39.0,180.0,398.0,1.0,20180412
EDIBLE FLOWERS,580.0,1655.0,24.0,81.0,2.0,7.0,10.0,20180412
EMPTY BOXES,3825.0,31784.5,510.0,4238.0,255.0,2119.0,8490.0,20180412
ENDIVE/CHICORY,1930.0,7400.0,22.0,87.0,110.0,435.0,0.0,20180412
ENGLISH CUCUMBER,274888.0,3083330.5,3807.0,42426.0,29628.0,329658.0,1223.0,20180412
FENNEL/ANISE,2910.0,22690.0,34.0,248.0,207.0,2966.0,44.0,20180412
FIGS,7164.0,73029.0,175.0,1330.0,499.0,3794.0,377.0,20180412
GARLIC,176400.0,1486618.0,788.0,7887.0,5275.0,49003.0,7968.0,20180412
GARLIC PROCESSED,6766.82,58669.06,33.0,302.0,145.0,1405.0,356.0,20180412
GEELORA,1735.0,10218.0,64.0,393.0,192.0,1179.0,74.0,20180412
GEM SQUASHES,190941.56,1402642.56,3902.0,26976.0,28865.0,224256.0,4811.0,20180412
GHERKINS,2828.0,44621.0,56.0,925.0,324.0,5215.0,270.0,20180412
GINGER PROCESSED,0.0,295.5,0.0,2.0,0.0,1.0,23.0,20180412
GINGER ROOT,179070.0,1238407.0,726.0,4953.0,4563.0,30993.0,4400.0,20180412
GOOSEBERRIES,22416.0,78454.0,71.0,230.0,232.0,800.0,18.0,20180412
GRANADILLA,35506.0,390688.0,533.0,4397.0,1195.0,10245.0,529.0,20180412
GRAPEFRUIT,153105.0,1015410.0,1911.0,10157.0,17255.0,106855.0,3491.0,20180412
GRAPES,898567.0,7421827.81,17101.0,158420.0,78488.0,657559.0,173171.0,20180412
GREEN MEALIES,1370.0,36621.0,19.0,346.0,361.0,5427.0,528.0,20180412
GREEN PEPPERS,511875.0,4157928.0,23177.0,160801.0,116296.0,804584.0,23603.0,20180412
GUAVA,65399.0,345650.05,1782.0,8956.0,6690.0,27825.0,794.0,20180412
HUBBARD SQUASHES,195875.0,1212790.0,4840.0,21362.0,154337.0,682981.0,2453.0,20180412
JUICE,12362.17,193480.85,130.0,1782.0,696.0,10967.0,3244.0,20180412
KALE,11548.0,72013.8,428.0,4753.0,1369.0,7206.0,256.0,20180412
KARELA,1600.0,21950.0,60.0,507.0,129.0,1465.0,145.0,20180412
KIWIFRUIT,119550.0,609300.0,748.0,3325.0,4155.0,21461.0,2662.0,20180412
KUMQUAT,3360.0,12225.0,112.0,369.0,336.0,1107.0,84.0,20180412
LEEKS,28261.0,174702.0,338.0,2070.0,2117.0,11921.0,314.0,20180412
LEMON GRASS,350.0,1430.0,9.0,47.0,13.0,51.0,20.0,20180412
LEMONS,246875.0,2362234.0,3047.0,28621.0,32467.0,333183.0,34357.0,20180412
LETTUCE,384367.72,2829818.72,9353.0,63674.0,52953.0,349913.0,7091.0,20180412
LETTUCE LIVING,2820.0,13160.0,47.0,268.0,165.0,938.0,733.0,20180412
LIMES,22670.0,150133.9,840.0,5283.0,2523.0,17019.0,4016.0,20180412
LIQUIDS,186.0,6572.0,3.0,106.0,36.0,1272.0,130.0,20180412
MAIZE MEAL,0.0,200.0,0.0,2.0,0.0,50.0,57.0,20180412
MANGO,156693.0,1888045.77,6670.0,56411.0,20226.0,182606.0,7354.0,20180412
MARJORAM,150.0,285.0,6.0,11.0,1.0,2.0,22.0,20180412
MARROWS,320.0,8760.0,6.0,117.0,24.0,638.0,53.0,20180412
MELONS,2545.0,220935.0,37.0,3795.0,259.0,26565.0,266.0,20180412
MICRO HERBS,605.0,2064.0,25.0,90.0,5.0,18.0,0.0,20180412
MINT,295.0,975.0,31.0,61.0,3.0,9.0,7.0,20180412
MITJI BUDGIE,2740.0,12678.0,64.0,261.0,192.0,783.0,19.0,20180412
MIXED,3648.0,11768.0,32.0,103.0,90.0,288.0,18.0,20180412
MIXED HERBS,60.0,100.0,1.0,3.0,0.0,0.0,10.0,20180412
MORINGA,625.0,6410.0,9.0,74.0,36.0,296.0,0.0,20180412
MUSHROOMS,48865.0,350960.0,172.0,1502.0,720.0,5288.0,449.0,20180412
MUSK MELONS,257900.0,1463448.0,3154.0,21393.0,22614.0,155446.0,2393.0,20180412
MUSTARD LEAVE,184.0,3378.0,31.0,600.0,3.0,60.0,117.0,20180412
NAARTJIES,71825.0,129118.5,3314.0,7046.0,7219.0,15173.0,1569.0,20180412
NECTARINES,18380.0,1793650.82,414.0,31996.0,2835.0,118893.0,1258.0,20180412
NOVA,16639.0,174194.0,755.0,8712.0,2920.0,25254.0,754.0,20180412
OKRA,57330.0,507701.48,3250.0,26981.0,7281.0,59725.0,7133.0,20180412
ONIONS,3524424.0,34514383.6,83753.0,799164.0,767048.0,7298260.0,224715.0,20180412
ORANGE PEPPERS,1080.0,12860.0,18.0,144.0,90.0,720.0,30.0,20180412
ORANGES,1032667.0,6736222.6,40543.0,253876.0,257925.0,1671984.0,84145.0,20180412
OREGANO,513.0,2251.0,19.0,91.0,2.0,9.0,39.0,20180412
PAMPALMOESE,5800.0,141550.0,88.0,1984.0,1100.0,22475.0,4340.0,20180412
PAPINO,171001.0,1714675.0,2123.0,16029.0,10087.0,79470.0,4554.0,20180412
PAPRI,1540.0,5930.0,24.0,95.0,72.0,285.0,0.0,20180412
PAPRIKA,12398.0,119656.0,243.0,1745.0,844.0,5437.0,216.0,20180412
PARSLEY,22301.0,145356.0,286.0,1851.0,891.0,5382.0,347.0,20180412
PARSNIP,13300.0,24600.0,67.0,125.0,476.0,890.0,3.0,20180412
PATTY PANS,102196.0,968894.0,517.0,4054.0,3035.0,23087.0,154.0,20180412
PEACHES,33376.0,664321.0,901.0,21465.0,3236.0,68504.0,7791.0,20180412
PEACHES,92855.0,1387605.0,1415.0,24144.0,6160.0,104888.0,1453.0,20180412
PEANUTS RAW / UNSHELLED,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20180412
PEARS,379710.0,3823895.47,5256.0,60711.0,55709.0,622343.0,22037.0,20180412
PEAS,37217.0,266105.0,130.0,1175.0,268.0,3180.0,46.0,20180412
PECAN NUT (SHELL),1680.0,26040.0,6.0,93.0,24.0,372.0,186.0,20180412
PICKLED,0.0,98.5,0.0,4.0,0.0,5.0,227.0,20180412
PINEAPPLES,383750.0,2277194.0,9097.0,57172.0,71056.0,441660.0,3704.0,20180412
PIQUANT MIXED CHILLIE,216.0,866.0,8.0,30.0,32.0,120.0,36.0,20180412
PIQUANT PEPPERS (PEPPER DEW),0.0,165.0,0.0,14.0,0.0,42.0,16.0,20180412
PKS BLUE QUEEN,82925.0,582606.0,2083.0,13973.0,72905.0,489055.0,9624.0,20180412
PLUMS,518122.0,3825291.84,7081.0,64212.0,45849.0,384813.0,26145.0,20180412
POMEGRANATE,15170.0,260393.0,200.0,4888.0,800.0,19552.0,3877.0,20180412
POT PLANTS,7240.0,30260.0,58.0,236.0,348.0,1416.0,22.0,20180412
POTATOES,7195666.0,64620429.2,199859.0,1448955.0,1947059.0,14210424.0,123891.0,20180412
PRICKLY PEAR,71664.0,264902.0,2027.0,8027.0,4054.0,16054.0,973.0,20180412
PRUNES,0.0,15500.0,0.0,477.0,0.0,2385.0,430.0,20180412
PUMPKINS,82681.0,367604.79,1890.0,8507.0,58605.0,267227.0,2147.0,20180412
QUINCE,2005.0,20725.0,43.0,479.0,172.0,1916.0,965.0,20180412
RADISH,2240.0,22180.0,31.0,321.0,83.0,818.0,22.0,20180412
RAINBOW PEPPERS,29467.0,429491.0,415.0,4806.0,1699.0,16422.0,579.0,20180412
RASPBERRIES,14072.0,130225.0,246.0,1368.0,180.0,1394.0,127.0,20180412
RED LETTUCE,360.0,2160.0,4.0,24.0,20.0,120.0,0.0,20180412
RED PEPPERS,251267.0,2840987.0,3560.0,30482.0,17873.0,156739.0,10387.0,20180412
RHUBARB,1160.0,12864.0,11.0,114.0,55.0,570.0,39.0,20180412
ROCKET,4086.0,17481.0,90.0,531.0,50.0,215.0,53.0,20180412
ROSEMARY,1901.0,9789.0,78.0,383.0,14.0,69.0,47.0,20180412
SAGE,135.0,1017.0,5.0,39.0,1.0,8.0,21.0,20180412
SATSUMAS,141107.0,1322195.0,6615.0,68126.0,20905.0,213607.0,49264.0,20180412
SHALLOTS,120.0,120.0,40.0,40.0,20.0,20.0,1.0,20180412
SHU-SHU,1810.0,10200.0,26.0,138.0,104.0,552.0,21.0,20180412
SNACKS,185.0,185.0,5.0,5.0,1.0,1.0,91.0,20180412
SOUP GREENS,50558.0,309946.0,532.0,2892.0,3118.0,17531.0,87.0,20180412
SPEARMINT,6777.0,30291.0,133.0,602.0,290.0,1388.0,113.0,20180412
SPINACH,115385.0,842276.5,4001.0,40573.0,20922.0,195942.0,1674.0,20180412
SPRING ONIONS,13090.0,111801.0,383.0,2255.0,958.0,7368.0,379.0,20180412
STARFRUIT(CARAMBOLA),2180.0,20879.0,11.0,117.0,22.0,234.0,139.0,20180412
STRAWBERRIES,151902.0,687489.0,503.0,2793.0,1429.0,7431.0,111.0,20180412
SWEET BASIL,4063.0,15914.0,92.0,457.0,42.0,145.0,29.0,20180412
SWEET CORN,189075.0,1252734.0,1809.0,7723.0,5777.0,27678.0,519.0,20180412
SWEET MELONS,249030.0,926641.53,2603.0,11795.0,18539.0,85156.0,1925.0,20180412
SWEET POTATO,398196.0,2681147.54,17288.0,92756.0,97677.0,618397.0,9471.0,20180412
TABLE CELERY,83285.0,443205.0,281.0,1341.0,2538.0,12510.0,71.0,20180412
TARROGAN,50.0,185.0,2.0,7.0,0.0,1.0,3.0,20180412
THYME,682.0,3945.0,26.0,159.0,5.0,30.0,116.0,20180412
TOMATOES,4093714.0,34564091.0,188013.0,1321569.0,537449.0,4276362.0,84709.0,20180412
TOMATOES DRIED,60.0,980.0,1.0,14.0,1.0,14.0,51.0,20180412
TURIA,450.0,2250.0,9.0,41.0,32.0,157.0,35.0,20180412
TURMERIC,4400.0,36750.0,8.0,70.0,40.0,350.0,18.0,20180412
TURNIP,8504.0,43912.0,202.0,1131.0,2050.0,11263.0,22.0,20180412
VIRTUAL PRODUCT,0.0,0.0,0.0,0.0,0.0,0.0,602308.0,20180412
WATERCRESS,190.0,911.0,10.0,44.0,2.0,9.0,0.0,20180412
WATERMELONS,122138.0,1206620.15,4883.0,57069.0,30031.0,344289.0,23903.0,20180412
WILD ROCKET,0.0,611.0,0.0,42.0,0.0,4.0,1.0,20180412
YELLOW PEPPERS,224745.0,2307031.0,1533.0,16190.0,7665.0,80950.0,1416.0,20180412
