Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1600.0,30856.0,26.0,481.0,106.0,2222.0,54.0,20180615
APPLES,996244.0,17224774.4,12105.0,213916.0,141822.0,2476604.0,150170.0,20180615
ASPARAGUS,45500.0,154135.0,106.0,394.0,312.0,1146.0,0.0,20180615
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180615
AVOCADOS,370599.36,5443208.76,7816.0,115401.0,45298.0,715078.0,40700.0,20180615
BABY BRINJALS,3700.0,34281.0,61.0,646.0,243.0,2303.0,60.0,20180615
BABY BUTTERNUT,1774.0,80558.0,22.0,975.0,93.0,4219.0,112.0,20180615
BABY CABBAGE,3244.0,116714.0,44.0,1255.0,161.0,4561.0,57.0,20180615
BABY CARROTS,17090.0,223580.0,118.0,1374.0,590.0,7111.0,658.0,20180615
BABY GEM SQUASH,7512.0,131556.0,69.0,1481.0,361.0,7989.0,239.0,20180615
BABY MARROWS,104647.0,1596723.0,1778.0,29403.0,7834.0,130431.0,1550.0,20180615
BABY MIX,1380.0,9619.0,16.0,90.0,54.0,332.0,0.0,20180615
BABY SWEET CORN,8800.0,271013.0,20.0,1261.0,88.0,5569.0,91.0,20180615
BANANAS,1316949.0,16607328.0,18518.0,179612.0,317431.0,3134720.0,66066.0,20180615
BASIL,670.0,670.0,16.0,16.0,3.0,3.0,0.0,20180615
BAY LEAVES,0.0,265.0,0.0,31.0,0.0,6.0,23.0,20180615
BEAN SPROUTS,480.0,11896.0,9.0,205.0,22.0,470.0,40.0,20180615
BEANS,152071.0,2541001.5,2109.0,49746.0,8361.0,199350.0,646.0,20180615
BEANS INDIAN,395.0,4340.0,11.0,129.0,44.0,558.0,69.0,20180615
BEETROOT,296438.0,3797654.0,15400.0,128321.0,108435.0,1016135.0,19438.0,20180615
BLACKBERRIES,3900.0,36444.0,13.0,156.0,20.0,234.0,1.0,20180615
BRINJALS,32115.0,512813.0,400.0,8619.0,1926.0,39689.0,308.0,20180615
BROCCOLI,76877.0,1801102.0,691.0,13063.0,1934.0,36468.0,926.0,20180615
BROCCOLI LEAVES,2455.0,19514.0,53.0,457.0,424.0,3656.0,4.0,20180615
BRUSSELS SPROUTS,2520.0,123402.0,12.0,499.0,74.0,2202.0,30.0,20180615
BUTTER LETTUCE,4100.0,34515.0,64.0,490.0,109.0,1724.0,68.0,20180615
BUTTERNUT,359744.0,5329147.0,14500.0,250652.0,128135.0,2104211.0,19713.0,20180615
CABBAGE,409453.0,4357889.5,13568.0,145132.0,177810.0,1679145.0,2412.0,20180615
CABBAGE RED,13890.0,340787.0,144.0,3357.0,1164.0,19843.0,18.0,20180615
CALABASH,1245.0,50794.0,33.0,964.0,151.0,5079.0,278.0,20180615
CARROTS,869565.0,10087448.0,38476.0,347076.0,294151.0,2758127.0,45351.0,20180615
CARROTS PROCESSED,1650.0,6450.0,11.0,43.0,33.0,129.0,7.0,20180615
CAULI/BROC,600.0,57060.0,4.0,386.0,12.0,1158.0,0.0,20180615
CAULIFLOWER,87483.0,1426138.0,1488.0,15274.0,5424.0,69038.0,1057.0,20180615
CELERY,3480.0,81605.0,32.0,703.0,294.0,6612.0,107.0,20180615
CELERY OFFCUTS,890.0,1800.0,25.0,51.0,25.0,51.0,71.0,20180615
CHERRIES,88350.0,604129.0,174.0,1167.0,739.0,4958.0,431.0,20180615
CHILLIES,78524.0,1336230.61,3351.0,53983.0,11786.0,181961.0,12067.0,20180615
CHINESE  VEGETABLES,6357.0,91002.8,440.0,6752.0,2226.0,23648.0,505.0,20180615
CHIVES,218.0,1567.0,14.0,126.0,1.0,5.0,0.0,20180615
CHORIE,240.0,3350.0,8.0,94.0,40.0,470.0,36.0,20180615
CLEMENTINES,48080.0,555416.0,2196.0,24698.0,7509.0,110296.0,12507.0,20180615
COCKTAIL AVOCADO PEAR,2245.0,4450.0,87.0,176.0,174.0,352.0,31.0,20180615
COCKTAIL TOMATOES,3914.0,96264.0,67.0,1510.0,315.0,5742.0,795.0,20180615
COCONUTS,2050.0,60550.0,7.0,260.0,350.0,12025.0,363.0,20180615
CORIANDER/DHANYA,1330.0,2924.0,610.0,815.0,24.0,35.0,260.0,20180615
CROUTONS,0.0,58.2,0.0,3.0,0.0,0.0,280.0,20180615
CRUSHED GINGER/GARLIC,1008.0,18178.8,5.0,79.0,18.0,371.0,64.0,20180615
CUCUMBER,2845.0,47550.0,37.0,734.0,179.0,3462.0,191.0,20180615
CURRY LEAVES,1332.0,16958.0,61.0,765.0,12.0,136.0,63.0,20180615
DATES,2676.0,68315.0,23.0,316.0,38.0,1619.0,1556.0,20180615
DHANYA,18862.0,232029.0,320.0,4104.0,1125.0,13445.0,210.0,20180615
DILL,413.0,4733.0,14.0,122.0,15.0,185.0,22.0,20180615
DRIED BEANS,7085.0,8405.0,31.0,41.0,520.0,610.0,459.0,20180615
DRIED FRUIT,1020.0,22920.0,2.0,44.0,20.0,452.0,2.0,20180615
EDIBLE FLOWERS,30.0,2560.0,1.0,116.0,0.0,3.0,0.0,20180615
EMPTY BOXES,3735.0,32466.65,498.0,4329.0,249.0,2165.0,4219.0,20180615
ENDIVE/CHICORY,530.0,11435.0,9.0,153.0,45.0,765.0,2.0,20180615
ENGLISH CUCUMBER,369236.0,4262724.36,3761.0,46576.0,28627.0,360745.0,2796.0,20180615
FENNEL/ANISE,1920.0,26673.0,18.0,315.0,274.0,2782.0,6.0,20180615
FIGS,8960.0,64210.0,22.0,196.0,42.0,702.0,11.0,20180615
FIREWOOD,3400.0,38577.0,300.0,3402.0,2100.0,25739.0,2090.0,20180615
GARLIC,240674.0,1941337.0,1216.0,8411.0,6309.0,52188.0,9727.0,20180615
GARLIC PROCESSED,3958.09,66843.56,23.0,360.0,100.0,1710.0,356.0,20180615
GEELORA,1105.0,13615.0,37.0,470.0,111.0,1410.0,14.0,20180615
