Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,2040.0,33210.0,31.0,227.0,134.0,2218.0,91.0,20180418
APPLES,1252227.0,22490161.1,13417.0,264493.0,178300.0,3444069.0,129821.0,20180418
ASPARAGUS,20575.0,213601.0,34.0,399.0,157.0,1568.0,106.0,20180418
ATCHARA,0.0,1267.1,0.0,52.0,0.0,52.0,16.0,20180418
AVOCADOS,371174.2,6714047.1,7139.0,103687.0,44776.0,792078.0,17877.0,20180418
BABY BRINJALS,2285.0,60704.0,71.0,1293.0,277.0,4366.0,66.0,20180418
BABY BUTTERNUT,1228.0,130096.0,12.0,1334.0,54.0,5727.0,23.0,20180418
BABY CABBAGE,5452.0,187209.0,52.0,2058.0,214.0,7234.0,65.0,20180418
BABY CARROTS,8226.0,279030.0,38.0,1371.0,196.0,6480.0,149.0,20180418
BABY CORN & SUGAR SNAP PEAS,0.0,900.0,0.0,3.0,0.0,6.0,2.0,20180418
BABY ENGLISH CUCUMBER,0.0,33860.0,0.0,1046.0,0.0,8368.0,17.0,20180418
BABY GEM SQUASH,2404.0,191606.0,26.0,1242.0,134.0,7302.0,111.0,20180418
BABY LEAF,2346.0,24498.0,23.0,245.0,23.0,245.0,27.0,20180418
BABY MARROWS,66411.0,2423580.0,1133.0,28642.0,6224.0,133442.0,3648.0,20180418
BABY MIX,1188.0,25445.0,9.0,238.0,43.0,1247.0,13.0,20180418
BABY SWEET CORN,12097.0,505105.0,66.0,2137.0,307.0,9272.0,560.0,20180418
BANANAS,1261015.0,26319595.8,9797.0,202496.0,174823.0,3524387.0,45246.0,20180418
BASIL,580.0,1010.0,6.0,11.0,6.0,11.0,0.0,20180418
BAY LEAVES,104.0,339.0,4.0,14.0,1.0,3.0,16.0,20180418
BEAN SPROUTS,648.0,20841.0,11.0,362.0,26.0,840.0,36.0,20180418
BEANS,155676.0,2349412.9,4755.0,75391.0,21283.0,315294.0,3630.0,20180418
BEANS INDIAN,60.0,5741.0,3.0,221.0,15.0,565.0,40.0,20180418
BEETROOT,142615.0,3072832.0,8926.0,161638.0,79606.0,1315039.0,30516.0,20180418
BLACKBERRIES,3492.0,23064.0,15.0,107.0,23.0,161.0,46.0,20180418
BOK CHOY PAK-CHOI,160.0,6640.0,2.0,73.0,10.0,365.0,4.0,20180418
BRINJALS,29390.0,637655.0,652.0,13335.0,3163.0,59654.0,646.0,20180418
BROCCOLI,195120.0,2530287.0,1720.0,16989.0,3990.0,46843.0,381.0,20180418
BROCCOLI FLORETTES,0.0,20297.0,0.0,132.0,0.0,317.0,7.0,20180418
BUTTER LETTUCE,2540.0,27086.0,41.0,368.0,205.0,1840.0,4.0,20180418
BUTTERNUT,509377.0,4339948.5,29981.0,229959.0,236650.0,1931906.0,36306.0,20180418
CABBAGE,157369.0,3501404.9,8360.0,171211.0,97610.0,1930335.0,14461.0,20180418
CABBAGE RED,11906.0,460958.0,144.0,4744.0,603.0,27503.0,52.0,20180418
CALABASH,40.0,19443.0,1.0,410.0,4.0,1640.0,5.0,20180418
CARROTS,600295.0,12249989.7,23485.0,374863.0,197741.0,2918125.0,47280.0,20180418
CAULI/BROC,120.0,106774.0,3.0,679.0,9.0,2452.0,95.0,20180418
CAULIFLOWER,95824.0,2127295.5,1313.0,21616.0,4792.0,104422.0,1555.0,20180418
CAULIFLOWER FLORETS,2040.0,15264.0,34.0,148.0,82.0,355.0,78.0,20180418
CELERY,5550.0,45950.0,36.0,403.0,234.0,4251.0,21.0,20180418
CHILLIES,76542.0,1437072.84,3876.0,64122.0,12719.0,204659.0,17186.0,20180418
CHINESE  VEGETABLES,6885.0,207037.5,329.0,9266.0,766.0,23097.0,792.0,20180418
CHIVES,200.0,3529.0,10.0,158.0,2.0,20.0,40.0,20180418
CHORIE,0.0,2830.0,0.0,86.0,0.0,430.0,1.0,20180418
CLEMENTINES,57874.0,414452.0,3383.0,22967.0,6766.0,45934.0,17168.0,20180418
COCKTAIL TOMATOES,1448.0,52872.0,29.0,632.0,188.0,2540.0,325.0,20180418
COCONUTS,14400.0,165135.0,40.0,442.0,1975.0,21400.0,453.0,20180418
CORIANDER/DHANYA,425.0,1520.0,17.0,62.0,3.0,12.0,14.0,20180418
CROUTONS,1649.0,2386.2,85.0,123.0,7.0,10.0,501.0,20180418
CRUSHED GINGER/GARLIC,459.6,16940.4,2.0,75.0,10.0,335.0,53.0,20180418
CUCUMBER,265.0,21965.0,11.0,490.0,55.0,2450.0,27.0,20180418
CURRY LEAVES,1865.0,16730.0,58.0,725.0,11.0,124.0,94.0,20180418
DATES,4600.0,37168.0,13.0,103.0,88.0,615.0,329.0,20180418
DHANYA,21592.0,421112.0,265.0,5155.0,802.0,15967.0,64.0,20180418
DILL,202.0,4627.0,7.0,120.0,3.0,103.0,1.0,20180418
DRAGON FRUIT,5480.0,68300.0,50.0,2441.0,75.0,3662.0,87.0,20180418
EDIBLE FLOWERS,0.0,1280.0,0.0,59.0,0.0,2.0,20.0,20180418
EMPTY BOXES,2520.0,43455.5,336.0,5789.0,168.0,2895.0,6939.0,20180418
ENDIVE/CHICORY,180.0,10160.0,2.0,119.0,10.0,595.0,0.0,20180418
ENGLISH CUCUMBER,206354.0,4476053.5,2588.0,60372.0,19885.0,469143.0,2907.0,20180418
FENNEL/ANISE,994.0,9074.0,12.0,109.0,22.0,157.0,10.0,20180418
FIGS,410.0,100910.0,9.0,1827.0,30.0,5403.0,80.0,20180418
GARLIC,107000.0,2012800.0,466.0,10658.0,2968.0,65660.0,8071.0,20180418
GARLIC PROCESSED,8471.25,78306.11,40.0,417.0,205.0,1909.0,241.0,20180418
GEELORA,315.0,16273.0,21.0,633.0,63.0,1899.0,72.0,20180418
GEM SQUASHES,94685.0,1926515.56,2590.0,38232.0,23778.0,322639.0,2210.0,20180418
GHERKINS,7827.0,67112.0,139.0,1446.0,681.0,7929.0,186.0,20180418
GINGER PROCESSED,351.0,646.5,2.0,4.0,1.0,1.0,21.0,20180418
GINGER ROOT,55190.0,1638887.06,271.0,6697.0,1590.0,40295.0,3088.0,20180418
GOOSEBERRIES,13184.0,146298.0,31.0,417.0,142.0,1511.0,67.0,20180418
GRANADILLA,15632.0,502250.0,366.0,6546.0,741.0,14625.0,1938.0,20180418
GRAPEFRUIT,32665.0,1153895.0,288.0,8533.0,4230.0,120125.0,5186.0,20180418
GRAPES,468119.0,9687535.31,10350.0,209245.0,43899.0,873006.0,190276.0,20180418
GREEN MEALIES,10480.0,36551.0,101.0,368.0,2175.0,6589.0,140.0,20180418
GREEN PEPPERS,298661.0,5528082.0,14481.0,221198.0,72817.0,1107167.0,18666.0,20180418
GUAVA,21625.0,482978.13,768.0,14029.0,2025.0,41107.0,2515.0,20180418
HORSERADISH ROOT,0.0,860.0,0.0,81.0,0.0,486.0,86.0,20180418
HUBBARD SQUASHES,81555.0,1562880.0,2483.0,30367.0,79348.0,970352.0,3488.0,20180418
JUICE,9262.92,255044.67,103.0,2429.0,531.0,14470.0,3125.0,20180418
KALE,4947.0,118169.8,344.0,7181.0,152.0,11509.0,215.0,20180418
KARELA,1090.0,27588.0,33.0,707.0,108.0,2026.0,124.0,20180418
KIWIFRUIT,31110.0,845740.0,287.0,4641.0,1283.0,30289.0,4239.0,20180418
KUMQUAT,1380.0,19755.0,46.0,620.0,138.0,1860.0,139.0,20180418
LEEKS,6988.0,246350.0,109.0,2984.0,663.0,17957.0,418.0,20180418
LEMON GRASS,280.0,2070.0,24.0,104.0,5.0,62.0,11.0,20180418
LEMONS,157746.0,3243945.0,2614.0,42448.0,29402.0,491653.0,49306.0,20180418
LETTUCE,170949.0,3735179.72,5137.0,91459.0,27110.0,501111.0,5046.0,20180418
LETTUCE LIVING,0.0,17570.0,0.0,361.0,0.0,1264.0,720.0,20180418
