Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1560.0,61290.0,15.0,478.0,174.0,4052.0,36.0,20180430
APPLES,1404819.0,35285649.2,17081.0,406004.0,214545.0,5276436.0,139338.0,20180430
ASPARAGUS,7450.0,375838.0,12.0,694.0,32.0,2696.0,33.0,20180430
ATCHARA,0.0,1267.1,0.0,52.0,0.0,52.0,16.0,20180430
AVOCADOS,548561.0,11328605.7,11618.0,187361.0,68467.0,1399109.0,34235.0,20180430
BABY BRINJALS,410.0,38982.0,12.0,827.0,48.0,3308.0,23.0,20180430
BABY BUTTERNUT,1660.0,215641.0,15.0,2082.0,66.0,9020.0,21.0,20180430
BABY CABBAGE,4808.0,265601.0,51.0,2960.0,182.0,10497.0,63.0,20180430
BABY CARROTS,14040.0,390952.0,65.0,1979.0,365.0,11437.0,94.0,20180430
BABY ENGLISH CUCUMBER,10070.0,56550.0,201.0,1558.0,1608.0,12464.0,0.0,20180430
BABY GEM SQUASH,560.0,296840.0,4.0,1998.0,16.0,11507.0,9.0,20180430
BABY MARROWS,50516.0,3445953.0,955.0,47069.0,4028.0,219278.0,3119.0,20180430
BABY MIX,48.0,25278.0,1.0,182.0,5.0,969.0,6.0,20180430
BABY SWEET CORN,13156.0,726069.0,110.0,3761.0,459.0,16479.0,22.0,20180430
BANANAS,2069615.99,41022536.7,18365.0,337335.0,329406.0,5917133.0,44982.0,20180430
BEAN SPROUTS,670.0,32697.0,13.0,570.0,30.0,1334.0,25.0,20180430
BEANS,108702.0,3340795.23,2079.0,106452.0,8259.0,436651.0,531.0,20180430
BEANS INDIAN,1285.0,9195.0,40.0,310.0,80.0,718.0,8.0,20180430
BEETROOT,105498.0,4600027.9,6144.0,253842.0,49852.0,2069613.0,17574.0,20180430
BLACKBERRIES,3360.0,60624.0,14.0,281.0,32.0,432.0,29.0,20180430
BRINJALS,11170.0,889765.0,283.0,20921.0,1344.0,89639.0,483.0,20180430
BROCCOLI,63562.0,4093038.0,579.0,27681.0,1651.0,80086.0,131.0,20180430
BRUSSELS SPROUTS,32400.0,95200.0,86.0,243.0,370.0,998.0,34.0,20180430
BUTTERNUT,545194.0,7359320.0,29775.0,397971.0,225028.0,3283980.0,19975.0,20180430
CABBAGE,160567.0,5376575.4,3740.0,270287.0,55765.0,3163711.0,3128.0,20180430
CABBAGE RED,6466.0,693914.0,106.0,6946.0,293.0,42048.0,9.0,20180430
CALABASH,3800.0,42323.0,81.0,818.0,311.0,3567.0,32.0,20180430
CARROTS,469878.25,18447533.7,17754.0,630765.0,142385.0,4998209.0,7183.0,20180430
CAULI/BROC,2650.0,212168.0,66.0,1531.0,254.0,5453.0,46.0,20180430
CAULIFLOWER,73536.0,2059838.5,1159.0,25865.0,6011.0,122511.0,578.0,20180430
CAULIFLOWER/BROCCOLI/CABBAGE,100.0,100.0,2.0,2.0,4.0,4.0,0.0,20180430
CELERY,5890.0,84939.0,71.0,834.0,468.0,7878.0,39.0,20180430
CELERY OFFCUTS,30.0,300.0,1.0,8.0,1.0,8.0,2.0,20180430
CHERRIES,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20180430
CHILLIES,86843.0,2232504.24,3495.0,99182.0,13417.0,323535.0,16589.0,20180430
CHINESE  VEGETABLES,13073.0,309237.81,1563.0,15149.0,580.0,35216.0,409.0,20180430
CHIVES,120.0,2894.0,5.0,124.0,1.0,25.0,0.0,20180430
CHORIE,885.0,4945.0,24.0,148.0,120.0,740.0,42.0,20180430
CLEMENTINES,1660.0,685542.0,197.0,35503.0,490.0,87011.0,22343.0,20180430
COCKTAIL TOMATOES,8432.0,86397.5,79.0,1187.0,262.0,4486.0,8.0,20180430
COCONUTS,9700.0,262885.0,32.0,720.0,1575.0,34950.0,307.0,20180430
CORIANDER/DHANYA,0.0,2705.0,0.0,114.0,0.0,23.0,20.0,20180430
CROUTONS,0.0,4947.0,0.0,255.0,0.0,21.0,369.0,20180430
CRUSHED GINGER/GARLIC,403.2,29688.0,2.0,130.0,7.0,596.0,62.0,20180430
CURRY LEAVES,151.0,25106.0,18.0,1109.0,4.0,192.0,22.0,20180430
DATES,0.0,67543.0,0.0,183.0,0.0,1117.0,451.0,20180430
DHANYA,9902.0,628025.0,134.0,8095.0,321.0,24861.0,144.0,20180430
DRAGON FRUIT,455.0,56710.0,10.0,831.0,30.0,2493.0,23.0,20180430
DRIED FRUIT,0.0,26340.0,0.0,54.0,0.0,552.0,10.0,20180430
EMPTY BOXES,3225.08,71003.28,430.0,9462.0,215.0,4731.0,3266.0,20180430
ENGLISH CUCUMBER,124465.0,7250322.5,1005.0,91180.0,7389.0,706178.0,469.0,20180430
FIGS,7970.0,157648.0,169.0,2679.0,520.0,7139.0,109.0,20180430
GARLIC,66948.0,3292302.0,202.0,17031.0,1399.0,103139.0,6731.0,20180430
GARLIC PROCESSED,783.85,109687.44,5.0,398.0,20.0,1358.0,318.0,20180430
GEELORA,3449.0,28887.0,140.0,1117.0,420.0,3351.0,118.0,20180430
GEM SQUASHES,27855.0,2716969.56,491.0,55037.0,4721.0,467144.0,1019.0,20180430
