Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
GINGER ROOT,82140.00,3871533.00,258,11037,1425,60044,3166.0
GOOSEBERRIES,3440.00,154390.00,14,607,45,2496,77.0
GOOVAAR,0.00,950.00,0,26,0,78,9.0
GRANADILLA,5508.00,222275.00,28,1512,76,3228,5.0
GRAPEFRUIT,38800.00,315370.00,300,2462,3804,35439,56.0
GRAPES,758204.00,15723416.20,16296,301457,73283,1152205,219678.0
GREEN MEALIES,490.00,84130.00,24,1137,370,18865,33.0
GREEN PEPPERS,215009.00,6878061.13,6457,260016,33516,1305390,1524.0
GUAVA,1540.00,422322.49,30,8878,103,36364,312.0
HUBBARD SQUASHES,72750.00,2740082.00,1981,42188,63392,1350016,2781.0
JUICE,9866.38,303514.48,161,12699,555,17007,9771.0
KALE,4943.00,61446.25,491,6386,277,5767,220.0
KARELA,2070.00,49904.89,46,1074,113,3008,157.0
KIWIFRUIT,18550.00,1023340.35,99,4038,696,34086,3045.0
LEEKS,3014.00,230779.00,69,3468,361,17915,0.0
LEMON GRASS,105.00,2312.00,5,156,1,31,31.0
LEMONS,197930.00,4588060.82,3344,54465,37920,613197,27492.0
LETTUCE,112540.00,6821970.00,2422,127265,9967,694186,1777.0
LETTUCE LIVING,0.00,29920.00,0,666,0,2331,623.0
LIMES,7510.00,276405.56,233,11345,842,35169,7230.0
LIQUIDS,0.00,3658.00,0,59,0,708,249.0
MAIZE MEAL,0.00,1290.00,0,13,0,325,61.0
MANGO,301377.00,7640634.60,5130,205646,17850,658842,51642.0
MARJORAM,250.00,354.00,10,14,2,3,0.0
MELONS,36840.00,738078.00,844,11235,5908,78645,1420.0
MICRO HERBS,0.00,4280.00,0,219,0,44,10.0
MINT,754.00,8221.00,48,373,11,442,45.0
MITJI BUDGIE,1670.00,32382.00,18,725,82,2224,18.0
MUSHROOMS,26818.00,779096.00,176,2983,406,11499,461.0
MUSK MELONS,31580.00,2430545.00,1176,41657,8441,310899,6388.0
MUSTARD LEAVE,0.00,105.00,0,27,0,3,3.0
NAARTJIES,40.00,6775.00,2,371,4,742,829.0
NECTARINES,491798.00,8990057.00,7490,152362,31856,621777,31386.0
NOVA,200.00,7030.00,2,90,20,900,921.0
OKRA,50235.00,1038974.84,3170,52799,6681,112108,7581.0
ONIONS,4957915.00,74508177.00,123469,1792290,1117253,16164976,252483.0
ORANGE PEPPERS,0.00,26150.00,0,272,0,1360,1.0
ORANGES,412122.00,5851286.50,11133,116877,76339,855692,67811.0
OREGANO,25.00,873.00,1,33,0,7,39.0
PAMPALMOESE,5100.00,274749.00,183,6837,1163,47520,3067.0
PAPINO,28274.00,1656505.00,352,23875,1872,113386,5.0
PAPRIKA,7880.00,312128.00,143,4551,364,13463,143.0
PARSLEY,566.00,113593.42,37,2347,6,5883,13.0
PARSNIP,0.00,33890.00,0,179,0,3222,36.0
PATTY PANS,12338.00,1310329.00,91,9181,475,43656,332.0
PEACHES,30029.00,2600095.90,809,53229,2567,187601,18266.0
PEACHES,388561.00,4983909.00,8064,107005,31150,363413,20753.0
PEANUTS RAW / UNSHELLED,0.00,240.00,0,2,0,4,15.0
PEARS,595462.00,7889973.11,11031,132124,107144,1372943,43589.0
PEAS,1392.00,377877.00,6,2352,17,6328,9.0
PECAN NUT (SHELL),1400.00,46620.00,5,164,20,653,172.0
PICKLED,0.00,388.00,0,6,0,9,569.0
PINEAPPLES,131142.00,4901135.00,5028,103579,35748,797692,12392.0
PIQUANT MIXED CHILLIE,0.00,650.00,0,19,0,76,29.0
PIQUANT PEPPERS (PEPPER DEW),0.00,220.00,0,18,0,54,4.0
PKS BLUE QUEEN,73490.00,1405916.00,2014,34734,70490,1215690,5172.0
PLUMS,516494.00,10604573.70,9943,247218,71253,1554379,51456.0
POMEGRANATE,7030.00,580678.40,132,9201,500,35490,6041.0
POT PLANTS,260.00,60745.00,2,456,12,2735,27.0
POTATOES,4009806.00,101624334.00,111480,3054291,1074432,29828283,24848.0
PRICKLY PEAR,2080.00,505685.00,65,17022,130,34044,30.0
PRUNES,2600.00,279321.00,165,3267,825,15040,1922.0
PUMPKINS,23375.00,795010.00,674,20348,22916,691803,1687.0
PUMPKINS GOURMET GLOBE,0.00,810.00,0,135,0,675,205.0
QUINCE,450.00,12565.00,10,306,40,1224,706.0
RADISH,1140.00,68943.00,8,893,30,2829,8.0
RAINBOW PEPPERS,4898.00,824758.00,160,7970,767,23642,73.0
RASPBERRIES,15800.00,343282.00,196,2827,133,3493,340.0
RED PEPPERS,38975.00,4005090.03,1265,54817,6669,278041,2019.0
RHUBARB,0.00,27180.00,0,246,0,1230,11.0
ROCKET,1365.00,31618.00,50,1115,12,425,29.0
ROSEMARY,310.00,14747.00,14,594,2,121,30.0
SAGE,0.00,2253.00,0,86,0,17,38.0
SATSUMAS,157927.00,2770587.00,4016,103011,18636,308352,38489.0
SHU-SHU,0.00,8985.00,0,112,0,448,16.0
SOUP GREENS,420.00,880.00,3,6,30,60,14.0
SPEARMINT,80.00,52916.50,2,1134,4,2795,207.0
SPINACH,53677.50,1823987.01,4616,87093,19431,429123,2529.0
SPRING ONIONS,3030.00,178026.00,80,3814,249,12484,338.0
STARFRUIT(CARAMBOLA),450.00,62280.00,2,250,4,500,217.0
STRAWBERRIES,30460.00,1170828.50,146,4689,370,14280,539.0
SWEET BASIL,472.00,25034.00,15,689,4,300,0.0
SWEET CORN,23698.00,2279036.00,181,23993,739,77693,198.0
SWEET MELONS,19205.00,1491280.12,452,30366,4321,230206,4465.0
SWEET POTATO,129840.00,3847947.79,5342,170024,62791,1208536,5537.0
TABLE CELERY,112860.00,610188.00,372,2718,3392,24514,10.0
THYME,304.00,7766.00,12,292,2,58,21.0
TOMATOES,2223639.00,61193766.30,118191,2785451,398504,8660050,15142.0
TOMATOES DRIED,0.00,7980.00,0,111,0,111,73.0
TURIA,220.00,7240.00,2,95,8,380,7.0
TURMERIC,0.00,1250.00,0,4,0,20,13.0
TURNIP,0.00,59542.50,0,1422,0,7110,2.0
VIRTUAL PRODUCT,0.00,0.00,0,0,0,0,602308.0
WATERMELONS,131882.00,3557966.60,6951,154344,41804,928354,13236.0
WILD ROCKET,0.00,2125.00,0,94,0,9,6.0
YELLOW PEPPERS,9110.00,3116627.06,131,35802,658,181269,202.0
