Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
AMADUMBE,0.00,87950.00,0,775,0,4754,232.0
APPLES,2064496.00,30741972.00,27115,349606,285064,4611746,134840.0
APRICOTS,0.00,540.00,0,16,0,80,15.0
ASPARAGUS,10310.00,264971.00,41,674,205,3226,31.0
ATCHARA,26.20,655.68,1,24,1,24,78.0
AVOCADOS,465612.00,8891926.90,9032,136087,70020,1053888,28454.0
BABY BRINJALS,0.00,37877.00,0,915,0,3660,10.0
BABY BUTTERNUT,752.00,187812.00,15,1805,64,7798,300.0
BABY CABBAGE,6480.00,89403.00,45,993,201,2551,53.0
BABY CARROTS,4410.00,407452.00,77,2759,458,14199,15.0
BABY GEM SQUASH,450.00,190499.00,24,2176,115,11636,15.0
BABY MARROWS,44080.00,2803316.40,511,42389,2353,194005,3419.0
BABY MIX,0.00,21193.00,0,202,0,981,1.0
BABY SWEET CORN,4902.00,449064.00,33,3168,135,14362,74.0
BANANAS,2382033.50,39136326.50,22591,328721,401425,5778466,42927.0
BASIL,80.00,3876.00,1,80,1,80,4.0
BEAN SPROUTS,600.00,35054.00,10,610,24,1420,2.0
BEANS,44527.00,3087498.37,1671,111097,6647,458199,1542.0
BEANS INDIAN,1535.00,24562.00,64,938,194,2552,218.0
BEETROOT,470868.00,5534035.73,29386,330805,190749,2508040,29717.0
BLACKBERRIES,2880.00,28716.00,12,176,18,264,29.0
BOK CHOY PAK-CHOI,240.00,11250.00,3,125,9,375,0.0
BRINJALS,10250.00,491645.44,191,14797,1548,74842,171.0
BROCCOLI,46538.00,4387599.00,400,33223,1207,97433,778.0
BROCCOLI LEAVES,0.00,19970.00,0,483,0,3864,4.0
BRUSSELS SPROUTS,17300.00,17300.00,44,44,206,206,0.0
BUTTER LETTUCE,112.00,44122.00,2,728,3,1092,61.0
BUTTERNUT,161190.00,5366350.00,8521,269124,73850,2338228,10079.0
CABBAGE,175164.00,5456197.85,8615,290627,77759,2845392,5165.0
CABBAGE RED,26806.00,427586.00,375,5108,1278,15361,331.0
CALABASH,1020.00,29488.00,19,623,76,2456,41.0
CARROTS,1083508.80,19070706.80,36162,582070,229326,4535274,22961.0
CAULI/BROC,20180.00,181100.00,141,1137,423,3411,19.0
CAULIFLOWER,32907.00,3218741.00,318,25951,1583,135803,693.0
CAULIFLOWER FLORETS,432.00,30696.00,6,245,14,588,1.0
CELERY,16200.00,18912.00,54,79,324,474,30.0
CHESTNUTS,0.00,0.00,0,0,0,0,4.0
CHESTNUTS RAW,560.00,64441.00,7,453,70,4530,36.0
CHILLIES,77540.00,2130360.21,4654,88500,13975,277195,10734.0
CHILLIES PROCESSED,27.00,27.00,1,1,0,0,7.0
CHINESE  VEGETABLES,11509.00,199827.60,1263,18797,574,16245,308.0
CHIVES,75.00,3875.00,2,148,2,46,22.0
CHUTNEY,30.00,30.00,1,1,1,1,0.0
COCKTAIL AVOCADO PEAR,0.00,6335.00,0,121,0,242,90.0
COCKTAIL TOMATOES,3210.00,52772.50,79,1537,307,5762,356.0
COCONUTS,19520.00,236730.00,50,614,2500,29400,272.0
CORIANDER/DHANYA,210.00,6239.00,4,576,8,48,117.0
CRUSHED GINGER/GARLIC,919.20,17013.20,4,76,19,346,56.0
CUCUMBER,2345.00,72284.00,91,1661,480,8370,0.0
CURRY LEAVES,417.00,37069.62,23,1736,3,320,20.0
DATES,0.00,18980.00,0,61,0,662,26.0
DHANYA,13846.00,685305.00,148,6175,439,19150,187.0
DILL,82.00,8043.00,5,217,2,265,10.0
DRAGON FRUIT,3550.00,239714.00,231,6209,393,10811,3591.0
DRIED FRUIT,0.00,11255.00,0,23,0,238,20.0
EMPTY BOXES,2182.50,54826.86,291,6863,146,3432,106.0
ENGLISH CUCUMBER,230878.00,8868933.40,4045,90942,31832,705474,1655.0
FENNEL/ANISE,80.00,8950.00,1,106,2,154,0.0
FIGS,1850.00,142901.00,15,1636,93,5934,1071.0
GARLIC,149364.00,2536082.75,671,15009,4646,90930,8226.0
GARLIC PROCESSED,2567.37,101855.19,14,558,65,2591,456.0
GEELORA,1675.00,33958.02,71,1318,213,3954,453.0
GEM SQUASHES,68655.00,1944734.00,3492,60941,28962,462391,4571.0
GHERKINS,6610.00,97024.00,147,2164,827,11500,235.0
GINGER PROCESSED,0.00,1636.62,0,8,0,14,25.0
