Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,2600.0,8440.0,44.0,144.0,160.0,576.0,120.0,20180605
APPLES,1766149.0,5457346.0,21977.0,72405.0,252838.0,790811.0,141409.0,20180605
ASPARAGUS,12525.0,12525.0,62.0,62.0,151.0,151.0,60.0,20180605
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180605
AVOCADOS,612654.0,1682418.0,11097.0,36470.0,85671.0,252735.0,44140.0,20180605
BABY BRINJALS,3948.0,13223.0,84.0,246.0,308.0,828.0,357.0,20180605
BABY BUTTERNUT,14244.0,25518.0,145.0,347.0,648.0,1522.0,335.0,20180605
BABY CABBAGE,32852.0,40430.0,368.0,421.0,1355.0,1546.0,41.0,20180605
BABY CARROTS,28956.0,52438.0,148.0,261.0,659.0,1215.0,427.0,20180605
BABY ENGLISH CUCUMBER,1110.0,1830.0,18.0,27.0,123.0,168.0,0.0,20180605
BABY GEM SQUASH,23170.0,41890.0,260.0,471.0,1465.0,2641.0,476.0,20180605
BABY LEAF,1626.0,2274.0,16.0,23.0,16.0,23.0,30.0,20180605
BABY MARROWS,262335.0,459375.0,4966.0,8608.0,22351.0,38988.0,5206.0,20180605
BABY MIX,1250.0,3056.0,15.0,36.0,68.0,168.0,24.0,20180605
BABY SWEET CORN,39490.0,73576.0,196.0,454.0,900.0,1879.0,249.0,20180605
BANANAS,1714221.0,5505820.31,15733.0,53385.0,275909.0,940889.0,59959.0,20180605
BASIL,80.0,820.0,1.0,10.0,1.0,10.0,5.0,20180605
BAY LEAVES,100.0,100.0,4.0,4.0,1.0,1.0,16.0,20180605
BEAN SPROUTS,3436.0,4980.0,61.0,87.0,136.0,194.0,70.0,20180605
BEANS,260069.0,529716.5,5788.0,15118.0,23640.0,61849.0,2851.0,20180605
BEANS INDIAN,780.0,2865.0,22.0,82.0,69.0,338.0,32.0,20180605
BEETROOT,621310.0,1315374.0,17703.0,38020.0,139908.0,299029.0,9947.0,20180605
BLACKBERRIES,720.0,16224.0,3.0,72.0,5.0,108.0,0.0,20180605
BOK CHOY PAK-CHOI,4320.0,5720.0,45.0,61.0,195.0,255.0,9.0,20180605
BRINJALS,81142.0,128712.0,1567.0,2764.0,6957.0,12383.0,146.0,20180605
BROCCOLI,437454.0,715103.0,2449.0,4438.0,11369.0,17062.0,340.0,20180605
BROCCOLI FLORETTES,2140.0,3520.0,31.0,46.0,68.0,101.0,0.0,20180605
BROCCOLI LEAVES,3120.0,6220.0,66.0,142.0,528.0,1136.0,0.0,20180605
BRUSSELS SPROUTS,36270.0,51528.0,134.0,187.0,630.0,919.0,35.0,20180605
BUTTER LETTUCE,5600.0,6482.0,70.0,86.0,350.0,430.0,16.0,20180605
BUTTERNUT,556459.0,1754245.0,25760.0,79205.0,225457.0,669413.0,45517.0,20180605
CABBAGE,507019.0,1526680.0,16545.0,48397.0,179340.0,542823.0,9009.0,20180605
CABBAGE RED,56298.0,103901.0,585.0,1177.0,4238.0,6452.0,688.0,20180605
CALABASH,11230.0,17120.0,198.0,319.0,1076.0,1712.0,205.0,20180605
CARROTS,1156678.0,3293974.0,32534.0,102697.0,272757.0,820969.0,28370.0,20180605
CARROTS PROCESSED,1050.0,2550.0,7.0,17.0,21.0,51.0,21.0,20180605
CAULI/BROC,8100.0,15120.0,55.0,117.0,201.0,387.0,12.0,20180605
CAULIFLOWER,193914.0,407891.0,2060.0,4206.0,15176.0,27359.0,677.0,20180605
CAULIFLOWER FLORETS,0.0,460.0,0.0,7.0,0.0,17.0,2.0,20180605
CELERY,14020.0,24185.0,92.0,206.0,816.0,1920.0,213.0,20180605
CELERY OFFCUTS,0.0,430.0,0.0,13.0,0.0,13.0,40.0,20180605
CHERRIES,33825.0,52475.0,76.0,117.0,228.0,331.0,23.0,20180605
CHILLIES,169743.66,355781.66,6243.0,13985.0,21876.0,46992.0,13686.0,20180605
CHINESE  VEGETABLES,14563.0,32055.0,1083.0,3106.0,3909.0,6973.0,1183.0,20180605
CHIVES,523.0,1063.0,23.0,62.0,3.0,6.0,134.0,20180605
CHORIE,0.0,710.0,0.0,18.0,0.0,90.0,3.0,20180605
CLEMENTINES,86638.0,208616.0,3631.0,9149.0,15716.0,40290.0,12214.0,20180605
COCKTAIL AVOCADO PEAR,0.0,325.0,0.0,13.0,0.0,26.0,27.0,20180605
COCKTAIL TOMATOES,18940.0,48670.0,292.0,735.0,1102.0,2897.0,431.0,20180605
COCONUTS,6160.0,12360.0,22.0,43.0,975.0,2025.0,486.0,20180605
CORIANDER/DHANYA,488.0,608.0,24.0,30.0,14.0,19.0,61.0,20180605
CROUTONS,0.0,58.2,0.0,3.0,0.0,0.0,280.0,20180605
CRUSHED GINGER/GARLIC,6022.8,7866.0,25.0,33.0,128.0,166.0,31.0,20180605
CUCUMBER,1260.0,4810.0,21.0,86.0,102.0,411.0,172.0,20180605
CURRY LEAVES,2944.0,4609.0,140.0,218.0,26.0,51.0,171.0,20180605
DATES,5090.0,11769.0,26.0,55.0,95.0,203.0,1770.0,20180605
DHANYA,29725.0,67858.0,453.0,1136.0,1434.0,3676.0,593.0,20180605
DILL,991.0,1646.0,23.0,42.0,41.0,70.0,32.0,20180605
DRAGON FRUIT,480.0,480.0,2.0,2.0,3.0,3.0,0.0,20180605
DRIED FRUIT,3390.0,12240.0,6.0,22.0,61.0,218.0,44.0,20180605
EDIBLE FLOWERS,400.0,400.0,20.0,20.0,1.0,1.0,0.0,20180605
EMPTY BOXES,2272.25,12794.27,303.0,1706.0,152.0,853.0,6842.0,20180605
ENDIVE/CHICORY,1950.0,2550.0,24.0,33.0,120.0,165.0,18.0,20180605
ENGLISH CUCUMBER,565106.0,1233163.48,6233.0,14755.0,48575.0,114901.0,2364.0,20180605
FENNEL/ANISE,5800.0,8080.0,62.0,101.0,770.0,1044.0,33.0,20180605
FIGS,17760.0,29740.0,54.0,88.0,256.0,417.0,76.0,20180605
FIREWOOD,598.0,13192.0,54.0,1173.0,378.0,8211.0,1827.0,20180605
FRUIT ROLLS,590.0,590.0,1.0,1.0,11.0,11.0,0.0,20180605
GARLIC,193530.0,491519.0,895.0,2336.0,5257.0,13244.0,7902.0,20180605
GARLIC PROCESSED,10221.25,21703.2,55.0,118.0,256.0,558.0,352.0,20180605
GEELORA,1490.0,4400.0,49.0,150.0,147.0,450.0,116.0,20180605
GEM SQUASHES,53466.0,206783.0,1968.0,8840.0,16952.0,77899.0,3023.0,20180605
GHERKINS,8836.0,15684.0,82.0,157.0,453.0,875.0,7.0,20180605
GINGER PROCESSED,576.24,576.24,2.0,2.0,12.0,12.0,16.0,20180605
GINGER ROOT,243400.0,490410.0,1498.0,2881.0,8179.0,16177.0,2016.0,20180605
GOOSEBERRIES,8436.0,23512.0,34.0,95.0,134.0,385.0,130.0,20180605
GRANADILLA,40536.0,100428.0,505.0,1334.0,1285.0,3344.0,1305.0,20180605
GRAPEFRUIT,29990.0,89451.0,426.0,2676.0,5410.0,17902.0,16152.0,20180605
GRAPES,553755.0,1048175.0,5747.0,13964.0,24975.0,64091.0,90787.0,20180605
GREEN MEALIES,38820.0,38820.0,844.0,844.0,21100.0,21100.0,0.0,20180605
