Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,5120.0,36956.0,19.0,514.0,236.0,2504.0,127.0,20180620
APPLES,1234714.0,22014722.9,13754.0,273368.0,169614.0,3156627.0,145196.0,20180620
ASPARAGUS,300.0,200855.0,3.0,464.0,6.0,1400.0,66.0,20180620
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180620
AVOCADOS,416167.0,6759677.22,7918.0,139473.0,55071.0,893008.0,44221.0,20180620
BABY BRINJALS,3692.0,47275.0,65.0,858.0,250.0,3061.0,137.0,20180620
BABY BUTTERNUT,3232.0,105914.0,43.0,1278.0,188.0,5571.0,7.0,20180620
BABY CABBAGE,8818.0,149736.0,134.0,1668.0,391.0,5816.0,121.0,20180620
BABY CARROTS,9314.0,202790.0,80.0,1275.0,281.0,5033.0,523.0,20180620
BABY GEM SQUASH,7124.0,167480.0,66.0,1769.0,310.0,9580.0,121.0,20180620
BABY LEAF,480.0,11220.0,5.0,116.0,5.0,116.0,14.0,20180620
BABY LEEKS,0.0,360.0,0.0,4.0,0.0,7.0,4.0,20180620
BABY MARROWS,109433.0,2147152.0,1619.0,36898.0,7153.0,164445.0,1085.0,20180620
BABY MIX,84.0,2869.0,1.0,30.0,6.0,158.0,4.0,20180620
BABY SWEET CORN,28065.0,380191.0,82.0,1569.0,388.0,7065.0,27.0,20180620
BANANAS,1154201.0,20509635.9,15348.0,230213.0,268507.0,4017715.0,79208.0,20180620
BASIL,640.0,1940.0,8.0,24.0,8.0,24.0,0.0,20180620
BAY LEAVES,27.0,490.0,1.0,57.0,0.0,11.0,47.0,20180620
BEAN SPROUTS,856.0,15632.0,16.0,272.0,35.0,624.0,88.0,20180620
BEANS,324202.0,3407342.5,3679.0,60062.0,14693.0,240362.0,1110.0,20180620
BEANS INDIAN,200.0,7960.0,5.0,267.0,8.0,1156.0,58.0,20180620
BEETROOT,205982.0,4431858.0,10016.0,155796.0,72644.0,1228390.0,12257.0,20180620
BLACKBERRIES,7200.0,48144.0,30.0,201.0,68.0,324.0,1.0,20180620
BLUEBERRIES,0.0,27200.0,0.0,56.0,0.0,112.0,10.0,20180620
BRINJALS,68331.0,724060.0,872.0,11269.0,3842.0,51365.0,64.0,20180620
BROCCOLI,99861.0,2316616.0,683.0,16525.0,1887.0,46078.0,1258.0,20180620
BROCCOLI LEAVES,140.0,140.0,28.0,28.0,28.0,28.0,0.0,20180620
BRUSSELS SPROUTS,1840.0,144262.0,9.0,594.0,50.0,2690.0,46.0,20180620
BUTTER LETTUCE,1418.0,40204.0,24.0,597.0,82.0,2047.0,66.0,20180620
BUTTERNUT,499357.0,6600589.0,20990.0,305942.0,170593.0,2526319.0,20275.0,20180620
CABBAGE,181822.0,5228064.83,6171.0,174497.0,69622.0,1989140.0,1941.0,20180620
CABBAGE RED,40154.0,447431.0,393.0,4233.0,1492.0,25302.0,371.0,20180620
CALABASH,2025.0,71843.0,47.0,1428.0,222.0,7443.0,300.0,20180620
CARROTS,559964.0,11830645.0,22854.0,423013.0,187764.0,3344009.0,62085.0,20180620
CARROTS PROCESSED,450.0,7800.0,3.0,52.0,9.0,156.0,8.0,20180620
CAULI/BROC,4010.0,125790.0,30.0,820.0,108.0,2628.0,20.0,20180620
CAULIFLOWER,108412.0,1823610.0,1467.0,20160.0,6002.0,89106.0,2535.0,20180620
CAULIFLOWER FLORETS,0.0,500.0,0.0,9.0,0.0,22.0,22.0,20180620
CELERY,8400.0,95515.0,74.0,806.0,741.0,7524.0,104.0,20180620
CELERY OFFCUTS,0.0,1800.0,0.0,51.0,0.0,51.0,51.0,20180620
CHERRIES,26930.0,693259.0,50.0,1345.0,216.0,5708.0,300.0,20180620
CHILLIES,104239.0,1618085.61,4411.0,64518.0,14779.0,218540.0,10639.0,20180620
CHINESE  VEGETABLES,1453.0,105869.8,59.0,7664.0,203.0,27132.0,477.0,20180620
CHIVES,0.0,785.0,0.0,33.0,0.0,3.0,1.0,20180620
CHORIE,0.0,3760.0,0.0,109.0,0.0,545.0,24.0,20180620
CLEMENTINES,22521.0,664987.0,1424.0,28640.0,3435.0,125817.0,15130.0,20180620
COCKTAIL AVOCADO PEAR,250.0,5075.0,10.0,201.0,20.0,402.0,6.0,20180620
COCKTAIL TOMATOES,6784.0,121384.0,138.0,1955.0,542.0,7636.0,775.0,20180620
COCONUTS,7120.0,77600.0,26.0,330.0,1300.0,15525.0,413.0,20180620
CORIANDER/DHANYA,0.0,3926.0,0.0,883.0,0.0,72.0,44.0,20180620
CROUTONS,0.0,75.2,0.0,4.0,0.0,0.0,118.0,20180620
CRUSHED GINGER/GARLIC,1257.0,20908.2,5.0,91.0,30.0,428.0,52.0,20180620
CUCUMBER,740.0,52065.0,17.0,840.0,71.0,3961.0,200.0,20180620
