Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,650.0,59130.0,3.0,459.0,42.0,3798.0,55.0,20180426
APPLES,2060790.0,32698256.2,24376.0,370446.0,297807.0,4875468.0,136590.0,20180426
ASPARAGUS,44450.0,362388.0,74.0,671.0,235.0,2627.0,68.0,20180426
ATCHARA,0.0,1267.1,0.0,52.0,0.0,52.0,16.0,20180426
AVOCADOS,602055.6,10398547.7,10239.0,168350.0,97841.0,1262857.0,47929.0,20180426
BABY BRINJALS,5130.0,57477.61,129.0,1506.0,404.0,4960.0,40.0,20180426
BABY BUTTERNUT,18674.0,209277.0,162.0,2057.0,857.0,9196.0,29.0,20180426
BABY CABBAGE,13776.0,281891.0,188.0,3205.0,692.0,11269.0,46.0,20180426
BABY CARROTS,19384.0,107565.0,95.0,717.0,789.0,3043.0,50.0,20180426
BABY ENGLISH CUCUMBER,8370.0,46430.0,165.0,1356.0,1320.0,10848.0,6.0,20180426
BABY GEM SQUASH,25172.0,282744.0,196.0,1881.0,1009.0,10922.0,14.0,20180426
BABY LEAF,4896.0,37458.0,48.0,372.0,48.0,372.0,0.0,20180426
BABY MARROWS,211281.0,3326385.0,3924.0,45026.0,18065.0,210977.0,3648.0,20180426
BABY MIX,2814.0,38281.0,34.0,377.0,154.0,1927.0,1.0,20180426
BABY SWEET CORN,40374.0,695069.0,356.0,3523.0,1526.0,15454.0,269.0,20180426
BANANAS,2349238.0,36773981.9,23268.0,297695.0,404131.0,5208664.0,59012.0,20180426
BAY LEAVES,125.0,639.0,5.0,26.0,1.0,5.0,5.0,20180426
BEAN SPROUTS,3120.0,31987.0,52.0,555.0,125.0,1302.0,50.0,20180426
BEANS,260432.75,3197963.23,6354.0,103863.0,25168.0,424907.0,1037.0,20180426
BEANS INDIAN,1785.0,9675.0,45.0,323.0,132.0,924.0,28.0,20180426
BEETROOT,290247.0,4319356.0,17195.0,238127.0,137713.0,1934543.0,28529.0,20180426
BLACKBERRIES,4488.0,52464.0,23.0,247.0,35.0,371.0,29.0,20180426
BOK CHOY PAK-CHOI,2770.0,19938.0,33.0,230.0,125.0,912.0,7.0,20180426
