Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
AMADUMBE,990.00,101736.00,21,923,78,5644,84.0
APPLES,1823566.00,34562051.00,21916,392953,245741,5119443,120766.0
ASPARAGUS,23250.00,292071.00,93,782,465,3766,23.0
ATCHARA,158.10,946.40,6,33,6,33,69.0
AVOCADOS,455744.00,9893082.90,8158,155519,56329,1188147,23605.0
BABY BRINJALS,7420.00,88526.00,196,1940,543,6978,12.0
BABY BUTTERNUT,3166.00,236890.00,33,2258,152,9766,26.0
BABY CABBAGE,7296.00,281629.00,61,3106,275,10089,7.0
BABY CARROTS,22288.00,416979.00,108,2108,447,9779,54.0
BABY ENGLISH CUCUMBER,4780.00,49770.00,97,1194,776,9552,7.0
BABY GEM SQUASH,128.00,201270.00,1,2250,6,12099,4.0
BABY LEAF,2292.00,22952.00,23,209,23,209,41.0
BABY MARROWS,181707.70,3375864.10,2099,48875,8595,222442,2591.0
BABY MIX,140.00,24917.00,1,227,6,1122,0.0
BABY SWEET CORN,23444.00,544496.00,129,3677,555,16575,70.0
BANANAS,1952360.00,43006852.50,15953,358664,273993,6311959,48086.0
BEAN SPROUTS,840.00,39874.00,15,691,36,1611,5.0
BEANS,281513.40,3705348.11,7134,126791,29756,520174,3631.0
BEANS INDIAN,290.00,24551.00,14,951,37,2535,156.0
BEETROOT,338082.00,6311582.73,16140,368213,128410,2803367,42815.0
BLACKBERRIES,2640.00,32076.00,11,190,17,285,29.0
BOK CHOY PAK-CHOI,1900.00,18090.00,19,192,61,670,0.0
BRINJALS,53254.00,608969.44,920,17095,4191,84874,73.0
BROCCOLI,46915.00,4714532.00,376,35425,1051,103501,248.0
BROCCOLI LEAVES,1705.00,23570.00,51,588,408,4704,3.0
BUTTER LETTUCE,3744.00,91942.00,59,1388,107,3964,103.0
BUTTERNUT,433111.00,6303865.00,20510,310625,168865,2693297,23874.0
CABBAGE,359372.00,6296338.35,15084,325804,150793,3203710,14018.0
CABBAGE RED,66590.00,564976.00,737,6344,5258,30543,91.0
CALABASH,430.00,28748.00,85,879,155,2891,65.0
CARROTS,1621062.99,22600565.80,41876,670612,325603,5227385,22962.0
CAULI/BROC,1400.00,218956.00,7,1282,35,5961,9.0
CAULIFLOWER,184590.00,3621476.00,1642,29536,10714,158291,1070.0
CELERY,2740.00,25320.00,36,314,387,3687,13.0
CHESTNUTS,0.00,0.00,0,0,0,0,4.0
CHESTNUTS RAW,0.00,64491.00,0,454,0,4540,35.0
CHILLIES,136139.00,2466960.21,5795,101899,19305,321445,12272.0
CHILLIES PROCESSED,0.00,27.00,0,1,0,0,7.0
CHINESE  VEGETABLES,12287.00,233263.16,1320,21423,1090,18544,1405.0
CHIVES,235.00,8022.00,10,340,2,50,10.0
CHORIE,475.00,5425.00,19,164,95,820,0.0
