Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
COCKTAIL AVOCADO PEAR,425.00,7710.00,9,149,18,298,62.0
COCKTAIL TOMATOES,3686.00,71027.50,39,1834,138,5921,284.0
COCONUTS,9400.00,263660.00,33,691,1125,32700,207.0
CORIANDER/DHANYA,175.00,6864.00,7,594,1,66,109.0
CRUSHED GINGER/GARLIC,2983.20,27635.40,12,118,67,571,47.0
CUCUMBER,6350.00,81304.00,122,1828,610,9140,52.0
CURRY LEAVES,1905.00,42995.62,78,1989,15,366,35.0
DATES,0.00,23556.00,0,69,0,710,18.0
DHANYA,34324.00,721856.00,396,6638,1172,20973,297.0
DILL,1068.00,16461.00,25,486,37,394,23.0
DRAGON FRUIT,14690.00,273769.00,654,8030,1049,13733,4043.0
DRIED FRUIT,0.00,13195.00,0,27,0,278,16.0
EDIBLE FLOWERS,0.00,1270.00,0,69,0,14,10.0
EMPTY BOXES,3285.00,60624.36,438,7636,219,3818,13333.0
ENDIVE/CHICORY,730.00,18371.54,10,223,50,1115,0.0
ENGLISH CUCUMBER,405209.00,9850151.40,4652,103064,36389,800117,1095.0
FENNEL/ANISE,6060.00,52220.00,59,480,930,6096,15.0
FIGS,17196.00,307747.00,433,5453,1427,14376,857.0
GARLIC,152945.00,2940902.75,877,17223,5174,104839,8018.0
GARLIC PROCESSED,10414.67,125384.32,45,672,226,3125,473.0
GEELORA,1120.00,36702.02,58,1452,174,4356,261.0
GEM SQUASHES,151861.00,2160496.00,5806,69409,43120,526196,2018.0
GHERKINS,10370.00,116534.00,159,2484,866,13268,77.0
GINGER PROCESSED,0.00,1636.62,0,8,0,14,25.0
GINGER ROOT,268108.00,4576231.00,965,13463,5444,73007,3590.0
GOOSEBERRIES,0.00,164370.00,0,638,0,2604,77.0
GOOVAAR,0.00,950.00,0,26,0,78,9.0
GRANADILLA,5730.00,299042.00,46,2051,243,4557,93.0
GRAPEFRUIT,0.00,0.00,0,0,0,0,36.0
GRAPES,933663.50,17742700.70,14595,340377,71843,1309259,193792.0
GREEN MEALIES,450.00,107094.00,9,1452,135,23845,75.0
GREEN PEPPERS,564988.00,8290384.43,20221,301061,101464,1520682,12799.0
GUAVA,22440.00,503853.49,575,11591,1409,42626,71.0
HORSERADISH ROOT,2500.00,45698.00,7,264,35,1256,4.0
HUBBARD SQUASHES,191885.00,3082862.00,4134,49829,132288,1594528,2633.0
JUICE,19366.37,354121.31,1011,15517,1098,19860,7143.0
KALE,8275.00,78722.25,363,7356,947,7616,1343.0
KARELA,4050.00,55864.89,86,1206,229,3344,70.0
KIWIFRUIT,77380.00,1218586.35,339,4814,3028,41030,2464.0
KUMQUAT,4170.00,20690.00,100,482,300,1446,246.0
LEEKS,18591.00,245287.00,277,4021,1468,22531,3.0
LEMON GRASS,299.00,2941.00,16,202,3,40,61.0
LEMONS,229884.00,5302868.82,4425,63276,41111,716123,28635.0
LETTUCE,557435.00,8192360.50,10202,150018,53464,817468,6355.0
LETTUCE LIVING,0.00,35490.00,0,769,0,2692,625.0
LIMES,19635.00,318610.56,668,13274,3048,42052,5443.0
LIQUIDS,124.00,3782.00,2,61,24,732,247.0
MAIZE MEAL,100.00,1490.00,1,15,25,375,59.0
MANGO,665341.00,8700306.60,16259,230417,53810,743490,43822.0
MARROWS,5200.00,69873.00,51,1584,288,7886,2.0
MELONS,55695.00,918604.00,1081,14663,7567,102641,1018.0
MICRO HERBS,0.00,4960.00,0,253,0,51,10.0
MINT,1355.00,12741.00,40,496,46,657,19.0
MITJI BUDGIE,1260.00,35972.00,21,782,70,2402,15.0
MUSHROOMS,56788.00,904974.00,221,3550,865,13410,407.0
MUSK MELONS,94481.68,2552706.68,3018,45967,21882,334893,2581.0
MUSTARD LEAVE,0.00,105.00,0,27,0,3,3.0
NAARTJIES,1180.00,9220.00,68,462,146,1049,838.0
NECTARINES,519702.00,10052796.00,8787,169250,33153,688793,24158.0
NOVA,120.00,7610.00,4,108,40,1080,903.0
OKRA,34248.00,1154376.84,2003,59666,3747,125043,6991.0
ONIONS,4475222.00,82892508.00,115122,2004884,1026717,18054416,198176.0
ORANGE PEPPERS,180.00,30760.00,2,330,10,1650,3.0
ORANGES,515582.00,6883789.50,13670,149780,95382,1074150,85152.0
OREGANO,270.00,1530.00,10,58,2,12,14.0
PAMPALMOESE,13580.00,308349.00,162,7256,2003,52593,2963.0
PAPINO,170950.00,2711991.00,1294,39062,5701,180028,964.0
PAPRIKA,13784.00,379392.00,281,5556,929,16706,255.0
PARSLEY,20220.00,223243.42,214,3722,728,11571,137.0
PARSNIP,2130.00,81708.00,31,465,458,5575,14.0
PATTY PANS,65338.00,1565209.00,271,10333,1854,50707,191.0
PEACHES,79186.00,2856360.90,2643,59787,8682,209556,15383.0
PEACHES,238145.00,5480466.00,5974,119302,19849,402125,9141.0
PEANUTS RAW / UNSHELLED,0.00,240.00,0,2,0,4,15.0
PEARS,442853.00,8788119.11,7660,147585,80678,1535551,37370.0
PEAS,0.00,415945.00,0,2537,0,6833,2.0
PECAN NUT (SHELL),10360.00,62530.00,37,221,148,881,365.0
PICKLED,135.00,523.00,6,12,6,15,563.0
PINEAPPLES,204832.00,5505556.00,7299,121157,56124,930876,2741.0
PIQUANT PEPPERS (PEPPER DEW),10.00,275.00,1,22,3,66,0.0
PKS BLUE QUEEN,181160.00,1731566.00,4511,43033,157885,1506155,4655.0
PLUMS,559930.00,11661666.70,10393,269705,72271,1688270,42053.0
POMEGRANATE,15885.00,622953.40,403,10007,1496,38494,4275.0
POT PLANTS,3510.00,70885.00,27,534,162,3203,59.0
POTATOES,9079051.00,118503160.00,193685,3435252,1882735,33457528,31261.0
PRICKLY PEAR,13970.00,591248.00,469,19790,938,39580,562.0
PRUNES,1050.00,282871.00,96,3535,480,16380,1333.0
PUMPKINS,44250.00,871653.00,865,22117,29410,751978,1332.0
PUMPKINS GOURMET GLOBE,0.00,810.00,0,135,0,675,205.0
QUINCE,1290.00,20180.00,28,476,112,1904,536.0
RADISH,5140.00,80243.00,71,1059,153,3224,7.0
RAINBOW PEPPERS,30860.00,953395.00,306,9331,834,32153,175.0
RASPBERRIES,8316.00,369578.00,175,3200,89,3527,170.0
RED PEPPERS,272720.00,4956155.03,3583,65836,18259,333985,4259.0
RHUBARB,920.00,32580.00,8,293,40,1465,37.0
ROCKET,1767.00,36410.00,53,1267,39,523,10.0
ROSEMARY,429.00,17180.00,14,688,4,140,6.0
SAGE,214.00,2854.00,8,109,2,22,47.0
SATSUMAS,307895.00,3289166.00,11908,122444,34709,368263,34873.0
SHU-SHU,2390.00,14995.00,31,188,124,752,40.0
SOUP GREENS,16406.00,201974.00,98,1378,648,8651,69.0
SPEARMINT,3890.00,73035.50,68,1729,170,3239,269.0
SPINACH,108584.50,2150769.91,5809,100181,27722,493402,7896.0
SPRING ONIONS,17644.50,235385.50,480,5085,1131,16567,188.0
STARFRUIT(CARAMBOLA),1500.00,67580.00,7,275,14,550,192.0
STRAWBERRIES,124544.00,1404190.50,624,5938,1661,17734,328.0
SWEET BASIL,378.00,14827.00,14,552,3,110,0.0
SWEET CORN,152297.00,2538551.00,938,25678,3656,83922,115.0
SWEET MELONS,22395.00,1487380.12,500,31091,3634,224370,3244.0
SWEET POTATO,253997.95,4469292.74,9066,191974,67345,1388325,4571.0
TABLE CELERY,22800.00,589870.00,57,2463,456,20830,1.0
THYME,416.00,9807.00,16,369,3,74,12.0
TOMATOES,3641519.00,69819457.30,135231,3122839,458504,9917751,27853.0
TOMATOES DRIED,360.00,8340.00,6,117,6,117,67.0
TURIA,650.00,8630.00,13,120,88,516,2.0
TURMERIC,1100.00,2350.00,2,6,10,30,91.0
TURNIP,5031.00,101119.83,115,2364,831,16871,237.0
VIRTUAL PRODUCT,0.00,0.00,0,0,0,0,602308.0
WATERCRESS,0.00,1665.00,0,91,0,18,7.0
WATERMELONS,157093.00,4013312.60,8371,173883,50276,1045834,23295.0
WILD ROCKET,85.00,2410.00,3,105,0,11,35.0
YELLOW PEPPERS,186760.00,3774575.06,1458,41068,7302,207611,394.0
