Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,5980.0,7540.0,19.0,28.0,380.0,560.0,58.0,20180405
APPLES,2166500.64,6312549.64,23375.0,72369.0,295792.0,870338.0,102050.0,20180405
ARTICHOKES,30.0,310.0,1.0,8.0,5.0,40.0,5.0,20180405
ASPARAGUS,500.0,12826.0,2.0,43.0,10.0,215.0,0.0,20180405
ATCHARA,130.1,182.3,5.0,7.0,5.0,7.0,61.0,20180405
AVOCADOS,506975.0,1629019.92,7444.0,27255.0,55408.0,193560.0,8321.0,20180405
BABY BRINJALS,9000.0,19843.0,131.0,410.0,449.0,1369.0,156.0,20180405
BABY BUTTERNUT,11452.0,54141.0,101.0,454.0,447.0,1948.0,399.0,20180405
BABY CABBAGE,23742.0,87492.0,268.0,857.0,879.0,3018.0,174.0,20180405
BABY CARROTS,77422.0,87198.0,363.0,419.0,1870.0,2013.0,122.0,20180405
BABY ENGLISH CUCUMBER,170.0,6780.0,3.0,166.0,24.0,1328.0,0.0,20180405
BABY GEM SQUASH,27244.0,78812.0,130.0,394.0,883.0,2453.0,17.0,20180405
BABY LEAF,3768.0,6114.0,38.0,61.0,38.0,61.0,39.0,20180405
BABY MARROWS,333427.0,1002245.0,3423.0,9677.0,15612.0,43964.0,2186.0,20180405
BABY MIX,4509.0,12235.0,51.0,111.0,262.0,573.0,4.0,20180405
BABY SWEET CORN,23424.0,89778.0,65.0,312.0,278.0,1337.0,2.0,20180405
BANANAS,2137102.5,8418507.8,17054.0,66834.0,290061.0,1173593.0,34836.0,20180405
BASIL,120.0,120.0,2.0,2.0,2.0,2.0,0.0,20180405
BEAN SPROUTS,3736.0,8313.0,63.0,143.0,144.0,328.0,40.0,20180405
BEANS,280778.0,769140.9,8390.0,21739.0,35073.0,90379.0,3708.0,20180405
BEANS INDIAN,25.0,270.0,1.0,10.0,4.0,40.0,29.0,20180405
BEETROOT,331399.0,831394.0,16215.0,51190.0,127218.0,383039.0,20655.0,20180405
BLACKBERRIES,0.0,0.0,0.0,0.0,0.0,0.0,29.0,20180405
BOK CHOY PAK-CHOI,3300.0,4300.0,40.0,50.0,160.0,210.0,0.0,20180405
BRINJALS,82216.0,226781.0,1559.0,3726.0,6643.0,17804.0,978.0,20180405
BROCCOLI,310828.0,909922.0,1747.0,5395.0,5004.0,14857.0,346.0,20180405
BROCCOLI FLORETTES,8160.0,8160.0,43.0,43.0,103.0,103.0,7.0,20180405
BROCCOLI LEAVES,1585.0,3090.0,41.0,81.0,328.0,648.0,0.0,20180405
BRUSSELS SPROUTS,14000.0,24800.0,35.0,62.0,200.0,348.0,0.0,20180405
BUTTER LETTUCE,10420.0,24774.0,145.0,393.0,438.0,895.0,47.0,20180405
BUTTERNUT,340180.0,1103344.5,16996.0,53372.0,150655.0,472134.0,19962.0,20180405
CABBAGE,348862.0,1082814.0,17151.0,46722.0,163858.0,465283.0,10319.0,20180405
CABBAGE  SUGAR,480.0,480.0,5.0,5.0,12.0,12.0,0.0,20180405
CABBAGE RED,70366.0,171049.0,637.0,1562.0,3205.0,7679.0,397.0,20180405
CALABASH,1850.0,7850.0,68.0,215.0,216.0,786.0,28.0,20180405
CARROTS,1559616.0,3969503.14,34877.0,95066.0,278820.0,728659.0,18830.0,20180405
CAULI/BROC,31042.0,54872.0,143.0,252.0,707.0,1189.0,14.0,20180405
CAULIFLOWER,235274.0,573457.5,1980.0,5072.0,11723.0,30162.0,1405.0,20180405
CAULIFLOWER FLORETS,6960.0,7800.0,50.0,57.0,120.0,137.0,0.0,20180405
CELERY,1935.0,5785.0,28.0,78.0,336.0,936.0,12.0,20180405
CHESTNUTS RAW,0.0,600.0,0.0,20.0,0.0,200.0,11.0,20180405
CHILLIES,154564.0,445262.0,7364.0,19618.0,22787.0,60962.0,9428.0,20180405
CHILLIES PROCESSED,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20180405
CHINESE  VEGETABLES,18726.0,51416.5,609.0,1689.0,2273.0,6410.0,451.0,20180405
CHIVES,535.0,535.0,22.0,22.0,1.0,1.0,18.0,20180405
CLEMENTINES,2040.0,2370.0,102.0,117.0,204.0,234.0,243.0,20180405
COCKTAIL AVOCADO PEAR,570.0,1735.0,18.0,46.0,36.0,92.0,67.0,20180405
COCKTAIL TOMATOES,2114.0,6944.0,21.0,59.0,91.0,261.0,10.0,20180405
COCONUTS,34850.0,53510.0,81.0,132.0,3950.0,6375.0,223.0,20180405
CORIANDER/DHANYA,440.0,665.0,47.0,56.0,2.0,4.0,39.0,20180405
CRUSHED GINGER/GARLIC,2138.4,8362.8,10.0,36.0,40.0,171.0,52.0,20180405
CUCUMBER,624.0,6470.0,17.0,154.0,82.0,752.0,35.0,20180405
CURRY LEAVES,2055.0,5910.0,95.0,266.0,16.0,48.0,43.0,20180405
DATES,8920.0,10064.0,20.0,22.0,140.0,152.0,4.0,20180405
DHANYA,50345.0,141399.0,517.0,1490.0,1603.0,4683.0,285.0,20180405
DILL,1089.0,1649.0,22.0,43.0,31.0,36.0,13.0,20180405
DRAGON FRUIT,6131.0,11757.0,125.0,314.0,348.0,777.0,86.0,20180405
DRIED FRUIT,7235.0,7235.0,13.0,13.0,154.0,154.0,39.0,20180405
EDIBLE FLOWERS,170.0,570.0,8.0,28.0,0.0,1.0,12.0,20180405
EMPTY BOXES,2842.5,9105.0,379.0,1214.0,190.0,607.0,11514.0,20180405
ENDIVE/CHICORY,2840.0,2840.0,34.0,34.0,170.0,170.0,1.0,20180405
ENGLISH CUCUMBER,460119.0,1443545.0,6331.0,18461.0,50038.0,143191.0,3365.0,20180405
FENNEL/ANISE,4660.0,8910.0,48.0,89.0,620.0,1276.0,31.0,20180405
FIGS,18395.0,31175.0,423.0,678.0,1026.0,1767.0,547.0,20180405
FRUIT ROLLS,560.0,560.0,1.0,1.0,0.0,0.0,0.0,20180405
GARLIC,190920.0,592903.0,1182.0,3451.0,7244.0,21175.0,6367.0,20180405
GARLIC PROCESSED,16995.59,32362.75,83.0,158.0,371.0,751.0,468.0,20180405
GEELORA,605.0,2711.0,30.0,120.0,90.0,360.0,109.0,20180405
GEM SQUASHES,244630.0,309795.0,4353.0,6543.0,37116.0,57052.0,778.0,20180405
GHERKINS,8076.0,15744.0,139.0,304.0,783.0,1655.0,276.0,20180405
GINGER PROCESSED,0.0,0.0,0.0,0.0,0.0,0.0,25.0,20180405
GINGER ROOT,179549.0,540679.0,776.0,2005.0,4665.0,12735.0,2999.0,20180405
GOOSEBERRIES,9080.0,19110.0,26.0,56.0,91.0,192.0,0.0,20180405
GRANADILLA,18705.0,102281.0,271.0,1132.0,538.0,2315.0,123.0,20180405
GRAPEFRUIT,86690.0,397120.0,542.0,2496.0,8130.0,37440.0,1556.0,20180405
GRAPES,1276483.0,3308575.01,26573.0,71538.0,114314.0,285475.0,176334.0,20180405
GREEN MEALIES,17975.0,18755.0,171.0,197.0,2179.0,2647.0,512.0,20180405
GREEN PEPPERS,565296.0,1816845.0,21500.0,63378.0,106792.0,316940.0,16784.0,20180405
GUAVA,75541.0,112167.0,1636.0,2317.0,5942.0,8066.0,258.0,20180405
HORSERADISH ROOT,480.0,480.0,3.0,3.0,9.0,9.0,1.0,20180405
HUBBARD SQUASHES,210120.0,421615.0,3407.0,6828.0,109024.0,218496.0,1787.0,20180405
JUICE,28540.84,80074.06,1275.0,2846.0,1608.0,4509.0,4508.0,20180405
KALE,13578.0,27505.8,748.0,2025.0,1289.0,2566.0,148.0,20180405
KARELA,5190.0,13570.0,95.0,245.0,271.0,651.0,267.0,20180405
KIWI BERRIES,352.0,352.0,352.0,352.0,1408.0,1408.0,0.0,20180405
KIWIFRUIT,63760.0,216960.0,259.0,861.0,1835.0,7051.0,2414.0,20180405
KOHLRABI,2400.0,2400.0,20.0,20.0,240.0,240.0,0.0,20180405
KUMQUAT,1110.0,5740.0,32.0,160.0,96.0,480.0,23.0,20180405
LEEKS,36050.0,71148.0,404.0,796.0,2107.0,4207.0,110.0,20180405
LEMON GRASS,500.0,720.0,9.0,26.0,20.0,24.0,12.0,20180405
LEMONS,332057.0,1073929.0,3602.0,12271.0,42170.0,151510.0,25289.0,20180405
LETTUCE,449256.0,1296780.0,9335.0,25593.0,52301.0,138157.0,4847.0,20180405
LETTUCE LIVING,3630.0,6150.0,79.0,121.0,277.0,424.0,735.0,20180405
LIMES,31084.5,52294.5,936.0,2036.0,3033.0,6645.0,3581.0,20180405
LIQUIDS,4960.0,5022.0,80.0,81.0,960.0,972.0,155.0,20180405
MAIZE MEAL,100.0,100.0,1.0,1.0,25.0,25.0,58.0,20180405
MANGO,265265.0,782876.77,6992.0,23373.0,23608.0,77782.0,23124.0,20180405
MARROWS,320.0,4870.0,8.0,70.0,48.0,368.0,13.0,20180405
MELONS,19240.0,148045.0,284.0,2633.0,1988.0,18431.0,699.0,20180405
MICRO HERBS,610.0,1024.0,25.0,45.0,5.0,9.0,0.0,20180405
MINT,1540.0,4375.0,34.0,105.0,64.0,176.0,5.0,20180405
MITJI BUDGIE,1380.0,4980.0,23.0,94.0,69.0,282.0,18.0,20180405
MIXED,4560.0,4560.0,40.0,40.0,112.0,112.0,2.0,20180405
MORINGA,1530.0,1530.0,17.0,17.0,68.0,68.0,0.0,20180405
MUSHROOMS,48578.0,141277.0,231.0,621.0,712.0,2144.0,500.0,20180405
MUSK MELONS,195915.0,588740.0,2863.0,9719.0,20678.0,69927.0,2393.0,20180405
MUSTARD LEAVE,0.0,2914.0,0.0,513.0,0.0,51.0,2.0,20180405
NAARTJIES,26100.0,42078.5,290.0,1423.0,1728.0,3994.0,1928.0,20180405
NECTARINES,391132.0,1223665.82,5712.0,20359.0,22254.0,79054.0,7697.0,20180405
NOVA,25552.0,45451.0,1161.0,1978.0,2322.0,8404.0,2116.0,20180405
NUTS,380.0,380.0,1.0,1.0,0.0,0.0,1.0,20180405
OKRA,49612.0,190086.0,2787.0,9879.0,5666.0,21745.0,3620.0,20180405
ONIONS,4692309.81,13932997.8,105832.0,324337.0,966600.0,2963003.0,109983.0,20180405
ORANGE PEPPERS,470.0,9860.0,5.0,102.0,25.0,510.0,31.0,20180405
ORANGES,799008.0,2148811.04,25608.0,77099.0,177560.0,511912.0,99349.0,20180405
OREGANO,640.0,1153.0,30.0,49.0,3.0,5.0,41.0,20180405
PAMPALMOESE,5345.0,54150.0,86.0,789.0,760.0,7943.0,4204.0,20180405
PANTRA LEAVES,850.0,5050.0,11.0,71.0,22.0,142.0,0.0,20180405
PAPINO,276068.0,648023.0,2264.0,5241.0,11718.0,25491.0,2279.0,20180405
PAPRI,800.0,2190.0,10.0,32.0,30.0,96.0,3.0,20180405
PAPRIKA,21760.0,52760.0,306.0,750.0,767.0,2151.0,259.0,20180405
PARSLEY,33540.0,61453.0,399.0,799.0,1143.0,2204.0,205.0,20180405
PATTY PANS,188374.0,460982.0,800.0,2010.0,4293.0,10493.0,57.0,20180405
PEACHES,97795.0,311606.0,4851.0,10322.0,13871.0,32699.0,9313.0,20180405
PEACHES,218345.0,621167.0,3340.0,9245.0,16484.0,46807.0,3511.0,20180405
PEANUTS RAW / UNSHELLED,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20180405
PEARS,737291.0,1577874.47,11139.0,25666.0,111528.0,260800.0,22805.0,20180405
PEAS,45785.0,122049.0,133.0,438.0,348.0,1299.0,122.0,20180405
PECAN NUT (SHELL),1120.0,5880.0,4.0,21.0,16.0,84.0,343.0,20180405
PICKLED,0.0,0.0,0.0,0.0,0.0,0.0,563.0,20180405
PINEAPPLES,375975.0,941147.0,9372.0,23698.0,73856.0,184236.0,2335.0,20180405
PIQUANT MIXED CHILLIE,0.0,0.0,0.0,0.0,0.0,0.0,42.0,20180405
PIQUANT PEPPERS (PEPPER DEW),15.0,55.0,1.0,3.0,3.0,9.0,27.0,20180405
PKS BLUE QUEEN,121080.0,263496.0,2954.0,6526.0,103390.0,228410.0,6003.0,20180405
PLUMS,663556.84,1456469.84,9760.0,27102.0,58431.0,153873.0,20849.0,20180405
POMEGRANATE,15270.0,51270.0,275.0,1048.0,1019.0,3919.0,5659.0,20180405
POT PLANTS,4290.0,9750.0,33.0,75.0,198.0,450.0,10.0,20180405
POTATOES,8908750.0,25545068.9,176199.0,514742.0,1709248.0,5010225.0,40038.0,20180405
PRICKLY PEAR,14193.0,102521.0,437.0,3300.0,874.0,6600.0,0.0,20180405
PRUNES,1700.0,15500.0,122.0,477.0,610.0,2385.0,430.0,20180405
PUMPKINS,41450.0,98133.0,831.0,2027.0,28254.0,68918.0,2186.0,20180405
QUINCE,5735.0,15795.0,127.0,371.0,508.0,1484.0,473.0,20180405
RADICCHIO,150.0,600.0,10.0,40.0,2.0,8.0,40.0,20180405
RADISH,4768.0,11584.0,74.0,175.0,195.0,433.0,24.0,20180405
RAINBOW PEPPERS,77058.0,141255.0,854.0,1691.0,3146.0,6322.0,512.0,20180405
RAISIN,460.0,460.0,1.0,1.0,12.0,12.0,0.0,20180405
RAMANESCO,1056.0,1056.0,11.0,11.0,26.0,26.0,3.0,20180405
RASPBERRIES,33411.0,37663.0,310.0,476.0,345.0,400.0,117.0,20180405
RED LETTUCE,900.0,900.0,10.0,10.0,50.0,50.0,0.0,20180405
RED PEPPERS,292915.0,1225484.0,3334.0,11892.0,17790.0,62250.0,4517.0,20180405
RHUBARB,3624.0,6604.0,32.0,57.0,160.0,285.0,35.0,20180405
ROCKET,2691.0,6701.0,76.0,241.0,69.0,94.0,4.0,20180405
ROSEMARY,2125.0,3877.0,73.0,138.0,16.0,29.0,127.0,20180405
SAGE,639.0,693.0,25.0,27.0,5.0,5.0,3.0,20180405
SALAD,540.0,1128.0,6.0,13.0,1.0,3.0,4.0,20180405
SATSUMAS,166317.0,512503.0,8291.0,22765.0,24516.0,75608.0,35212.0,20180405
SHU-SHU,1670.0,5540.0,28.0,72.0,112.0,288.0,21.0,20180405
SOUP GREENS,34502.0,137198.0,263.0,1160.0,1593.0,7146.0,193.0,20180405
SPEARMINT,5221.0,11029.0,86.0,208.0,228.0,566.0,22.0,20180405
SPINACH,130608.0,296139.0,2939.0,13121.0,17835.0,65256.0,2580.0,20180405
SPRING ONIONS,19540.0,47501.0,373.0,898.0,1294.0,3074.0,170.0,20180405
STARFRUIT(CARAMBOLA),560.0,5040.0,3.0,28.0,6.0,56.0,149.0,20180405
STRAWBERRIES,95174.0,265703.0,397.0,1103.0,1024.0,2842.0,306.0,20180405
SWEET BASIL,3034.0,6258.0,76.0,196.0,33.0,57.0,49.0,20180405
SWEET CORN,225194.0,450119.0,1028.0,2234.0,4195.0,9079.0,88.0,20180405
SWEET MELONS,272920.0,326570.0,3807.0,4876.0,29785.0,37920.0,2174.0,20180405
SWEET POTATO,400464.0,721710.54,11720.0,22764.0,78951.0,194561.0,2069.0,20180405
TABLE CELERY,76130.0,192600.0,215.0,567.0,2056.0,5544.0,4.0,20180405
THYME,1257.0,2061.0,47.0,77.0,9.0,15.0,3.0,20180405
TOMATOES,3856803.99,12765449.0,158950.0,479206.0,454970.0,1524925.0,23623.0,20180405
TOMATOES DRIED,0.0,260.0,0.0,2.0,0.0,2.0,63.0,20180405
TURIA,720.0,1120.0,8.0,18.0,29.0,69.0,7.0,20180405
TURMERIC,1100.0,23150.0,2.0,44.0,10.0,220.0,44.0,20180405
TURNIP,11602.0,14902.0,230.0,374.0,1825.0,4027.0,119.0,20180405
VIRTUAL PRODUCT,0.0,0.0,0.0,0.0,0.0,0.0,602308.0,20180405
WATERCRESS,426.0,626.0,19.0,29.0,4.0,6.0,1.0,20180405
WATERMELONS,214231.0,549391.65,10095.0,27804.0,60656.0,167256.0,6861.0,20180405
WILD ROCKET,225.0,361.0,9.0,32.0,1.0,3.0,1.0,20180405
YELLOW PEPPERS,207735.0,888635.0,1524.0,6246.0,7578.0,31185.0,223.0,20180405
