Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,19180.0,96095.0,58.0,732.0,908.0,5982.0,189.0,20180531
APPLES,1573428.0,38017495.4,19802.0,450153.0,231047.0,5447709.0,154047.0,20180531
ASPARAGUS,9000.0,338847.0,9.0,730.0,45.0,2641.0,0.0,20180531
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180531
AVOCADOS,529013.43,12489459.8,11494.0,249686.0,76804.0,1760894.0,43125.0,20180531
BABY BRINJALS,3860.0,56343.0,90.0,1342.0,360.0,5147.0,25.0,20180531
BABY BUTTERNUT,16948.0,235711.0,182.0,2168.0,783.0,9519.0,262.0,20180531
BABY CABBAGE,27518.0,281406.0,307.0,2837.0,1102.0,10569.0,9.0,20180531
BABY CARROTS,25236.0,361202.0,144.0,1845.0,591.0,8032.0,196.0,20180531
BABY CORN & SUGAR SNAP PEAS,520.0,880.0,5.0,8.0,20.0,32.0,0.0,20180531
BABY ENGLISH CUCUMBER,1516.0,7372.0,20.0,111.0,90.0,578.0,0.0,20180531
BABY GEM SQUASH,16336.0,286749.0,179.0,2918.0,973.0,15370.0,377.0,20180531
BABY LEAF,390.0,25554.0,4.0,216.0,4.0,216.0,26.0,20180531
BABY MARROWS,196742.0,2953599.7,3665.0,58030.0,16194.0,263169.0,3675.0,20180531
BABY MIX,4642.0,40095.0,47.0,440.0,239.0,2145.0,23.0,20180531
BABY SWEET CORN,19992.0,673225.0,134.0,3657.0,616.0,16711.0,340.0,20180531
BANANAS,1492803.0,38339383.0,14042.0,349490.0,242005.0,6047062.0,62548.0,20180531
BASIL,80.0,4740.0,1.0,61.0,1.0,61.0,2.0,20180531
BEAN SPROUTS,1956.0,32091.0,32.0,566.0,74.0,1299.0,86.0,20180531
BEANS,221660.0,4640572.23,7787.0,136706.0,31696.0,567087.0,6437.0,20180531
BEANS INDIAN,857.0,7570.0,13.0,173.0,48.0,551.0,8.0,20180531
BEETROOT,392842.0,6112806.55,13748.0,273182.0,116952.0,2221131.0,4904.0,20180531
BOK CHOY PAK-CHOI,2640.0,26455.0,26.0,272.0,106.0,1144.0,27.0,20180531
BRINJALS,72188.0,1105370.0,1529.0,26077.0,7383.0,122800.0,1003.0,20180531
BROCCOLI,433061.0,5754141.78,2965.0,40704.0,11437.0,140482.0,107.0,20180531
BROCCOLI FLORETTES,0.0,3960.0,0.0,33.0,0.0,79.0,1.0,20180531
BROCCOLI LEAVES,2710.0,28315.0,65.0,696.0,520.0,5568.0,6.0,20180531
BRUSSELS SPROUTS,58111.0,218525.0,181.0,647.0,972.0,3481.0,19.0,20180531
BUTTER LETTUCE,3730.0,49847.5,45.0,679.0,225.0,3395.0,18.0,20180531
BUTTERNUT,702346.0,9140578.2,30537.0,443728.0,247948.0,3758217.0,27042.0,20180531
