Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,5160.0,16135.0,84.0,239.0,312.0,1378.0,59.0,20180510
APPLES,1797168.0,14294491.0,21172.0,168926.0,265366.0,2078207.0,123791.0,20180510
ASPARAGUS,3750.0,178867.0,6.0,322.0,26.0,1362.0,78.0,20180510
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180510
AVOCADOS,590808.21,4386298.54,11313.0,88418.0,73923.0,594497.0,39817.0,20180510
BABY BRINJALS,2615.0,19433.0,68.0,516.0,272.0,2046.0,151.0,20180510
BABY BUTTERNUT,21848.0,84742.0,195.0,701.0,868.0,3121.0,69.0,20180510
BABY CABBAGE,15044.0,100696.0,173.0,1092.0,632.0,4179.0,98.0,20180510
BABY CARROTS,18722.0,134538.0,96.0,677.0,430.0,3092.0,343.0,20180510
BABY ENGLISH CUCUMBER,805.0,21729.0,15.0,398.0,114.0,3024.0,17.0,20180510
BABY GEM SQUASH,17818.0,108828.0,178.0,911.0,842.0,4931.0,363.0,20180510
BABY LEAF,1938.0,22626.0,19.0,188.0,19.0,188.0,11.0,20180510
BABY MARROWS,130931.0,970939.7,2806.0,18712.0,12781.0,87592.0,4036.0,20180510
BABY MIX,4888.0,13058.0,45.0,146.0,241.0,699.0,16.0,20180510
BABY SWEET CORN,29682.0,240562.0,119.0,1075.0,572.0,5007.0,93.0,20180510
BANANAS,1542487.0,13865451.8,11940.0,109459.0,207132.0,1899329.0,50212.0,20180510
BASIL,0.0,1480.0,0.0,35.0,0.0,19.0,63.0,20180510
BAY LEAVES,75.0,204.0,3.0,8.0,1.0,2.0,17.0,20180510
BEAN SPROUTS,1286.0,12694.0,20.0,217.0,48.0,506.0,23.0,20180510
BEANS,279555.0,1937716.42,7077.0,42853.0,31803.0,179094.0,7351.0,20180510
BEANS INDIAN,510.0,4253.0,13.0,99.0,47.0,284.0,43.0,20180510
BEETROOT,385373.0,2134580.55,15217.0,95516.0,123558.0,768529.0,22473.0,20180510
BLACKBERRIES,160.0,1384.0,2.0,10.0,5.0,24.0,0.0,20180510
BOK CHOY PAK-CHOI,1080.0,6460.0,12.0,74.0,60.0,316.0,7.0,20180510
BRINJALS,65766.0,401234.0,1867.0,10426.0,8718.0,47369.0,1702.0,20180510
BROCCOLI,335818.0,1796995.0,1868.0,12044.0,5474.0,33985.0,440.0,20180510
BROCCOLI LEAVES,2890.0,11376.0,67.0,284.0,536.0,2195.0,39.0,20180510
BRUSSELS SPROUTS,14400.0,41820.0,44.0,119.0,256.0,716.0,1.0,20180510
BUTTER LETTUCE,3020.0,27823.5,67.0,431.0,335.0,1644.0,26.0,20180510
BUTTERNUT,253583.5,2673674.4,12836.0,122228.0,115687.0,1063120.0,49345.0,20180510
CABBAGE,329730.0,2475526.3,12934.0,90439.0,148851.0,1139057.0,9707.0,20180510
CABBAGE  SUGAR,96.0,288.0,1.0,3.0,2.0,7.0,0.0,20180510
CABBAGE RED,53124.0,278331.0,437.0,2368.0,2399.0,11724.0,345.0,20180510
CALABASH,3110.0,20130.0,88.0,391.0,561.0,2020.0,14.0,20180510
CARROTS,1095462.0,7697360.7,29721.0,235353.0,233402.0,1828549.0,25281.0,20180510
CAULI/BROC,41670.0,127186.0,262.0,979.0,831.0,3792.0,177.0,20180510
CAULIFLOWER,105023.0,935724.64,1465.0,12361.0,6411.0,50282.0,785.0,20180510
CAULIFLOWER FLORETS,120.0,3150.0,4.0,66.0,10.0,158.0,0.0,20180510
CELERY,4220.0,38339.0,55.0,430.0,546.0,4212.0,77.0,20180510
CHERRIES,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20180510
CHILLIES,137455.0,950258.5,5000.0,40561.0,16043.0,133316.0,10224.0,20180510
CHINESE  VEGETABLES,16861.5,99182.5,902.0,7751.0,2071.0,14555.0,623.0,20180510
CHIVES,415.0,1705.0,20.0,79.0,2.0,9.0,38.0,20180510
CHORIE,160.0,915.0,4.0,34.0,20.0,170.0,21.0,20180510
CLEMENTINES,90609.0,378881.0,2837.0,16939.0,12274.0,60961.0,15673.0,20180510
COCKTAIL TOMATOES,8138.0,104059.0,123.0,1167.0,423.0,4512.0,514.0,20180510
COCONUTS,6828.0,105108.0,22.0,335.0,950.0,15400.0,259.0,20180510
