Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
AMADUMBE,7280.00,87270.00,20,771,400,4692,236.0
APPLES,1267169.00,27838747.00,12960,312295,162925,4203617,126990.0
APRICOTS,0.00,540.00,0,16,0,80,15.0
ASPARAGUS,120.00,254661.00,1,633,5,3021,2.0
ATCHARA,26.32,550.52,1,20,1,20,82.0
AVOCADOS,428262.00,8157879.90,7343,122368,57941,944773,35198.0
BABY BRINJALS,9718.00,66574.00,207,1525,780,5595,84.0
BABY BUTTERNUT,6510.00,176324.00,74,1666,326,7201,506.0
BABY CABBAGE,4780.00,228567.00,68,2574,218,8132,8.0
BABY CARROTS,6850.00,397297.00,75,2599,355,13277,25.0
BABY ENGLISH CUCUMBER,0.00,42660.00,0,1041,0,8328,1.0
BABY GEM SQUASH,2702.00,177787.00,30,2023,147,10894,55.0
BABY LEAF,2382.00,16538.00,23,150,23,150,0.0
BABY MARROWS,80892.00,2693863.40,1190,41167,6128,191104,3702.0
BABY MIX,380.00,20957.00,3,200,12,970,1.0
BABY SWEET CORN,25328.00,426648.00,161,2966,710,13566,138.0
BANANAS,1407151.00,35238966.00,11495,291075,196725,5103741,59167.0
BEAN SPROUTS,3558.00,34274.00,62,597,148,1389,16.0
BEANS,137982.00,2994614.37,5335,107739,21868,441841,4128.0
BEANS INDIAN,640.00,22402.00,37,848,83,2289,281.0
BEETROOT,193479.00,4917136.73,13860,294634,108302,2243754,38119.0
BLACKBERRIES,0.00,25836.00,0,164,0,246,29.0
BOK CHOY PAK-CHOI,240.00,3320.00,3,32,15,160,9.0
BRINJALS,15784.00,479185.44,317,14667,1395,73312,237.0
BROCCOLI,307416.00,4280485.00,2679,32638,8278,96409,838.0
BROCCOLI FLORETTES,120.00,34800.00,1,283,2,679,29.0
BROCCOLI LEAVES,1430.00,19580.00,39,469,312,3752,32.0
BUTTER LETTUCE,1612.00,77995.00,26,1187,57,3357,52.0
BUTTERNUT,335824.00,5107066.00,18520,254961,153325,2222023,23475.0
CABBAGE,269748.00,5042548.05,11605,271692,126976,2656795,6860.0
CABBAGE RED,35928.00,456352.00,384,5209,4024,22592,235.0
CALABASH,605.00,39423.00,14,950,48,3921,26.0
CARROTS,1060988.00,17451254.00,30667,529957,242023,4180558,28080.0
CAULI/BROC,7760.00,367018.00,64,2190,296,8558,48.0
CAULIFLOWER,135510.00,3129942.00,1892,24673,11164,125512,1493.0
CAULIFLOWER FLORETS,4200.00,30264.00,50,239,120,574,20.0
CELERY,4490.00,16900.00,43,227,516,2724,0.0
CHESTNUTS RAW,920.00,62491.00,7,431,70,4310,58.0
CHILLIES,69420.00,1992648.21,3185,81108,9872,255099,16825.0
CHILLIES PROCESSED,0.00,0.00,0,0,0,0,8.0
CHINESE  VEGETABLES,10050.00,205831.07,890,18198,1154,17276,650.0
CHIVES,365.00,6555.00,15,278,3,41,21.0
CHORIE,0.00,3720.00,0,108,0,540,12.0
CHUTNEY,0.00,0.00,0,0,0,0,1.0
COCKTAIL AVOCADO PEAR,180.00,6335.00,4,121,8,242,90.0
COCKTAIL TOMATOES,3871.00,59543.50,183,1633,671,5424,437.0
COCONUTS,21820.00,211900.00,53,546,2525,26200,300.0
CORIANDER/DHANYA,970.00,7029.00,18,583,37,84,206.0
CRUSHED GINGER/GARLIC,1838.40,15892.40,8,71,38,323,61.0
CUCUMBER,6350.00,69939.00,164,1570,820,7890,5.0
CURRY LEAVES,125.00,35872.62,6,1674,1,311,107.0
DATES,5400.00,17030.00,18,58,216,644,4.0
DHANYA,31462.00,596294.00,278,5387,890,17075,122.0
DILL,425.00,6353.00,16,294,3,46,16.0
DRAGON FRUIT,6030.00,226304.00,423,5146,705,9146,4654.0
DRIED FRUIT,0.00,11255.00,0,23,0,238,20.0
EMPTY BOXES,2707.50,49276.86,361,6123,181,3062,846.0
ENGLISH CUCUMBER,355841.50,8466146.40,5963,84264,45697,653136,3891.0
FENNEL/ANISE,680.00,40930.00,7,373,70,4454,8.0
FIGS,6701.00,268985.00,106,4648,329,11853,1041.0
FIREWOOD,1800.00,2250.00,120,150,1500,1875,0.0
GARLIC,120795.00,2317478.75,619,13870,3875,83734,9165.0
GARLIC PROCESSED,5067.84,97802.73,27,536,130,2488,478.0
GEELORA,596.00,31513.02,30,1210,90,3630,336.0
GEM SQUASHES,147705.00,1856864.00,6342,56509,46827,426607,8327.0
GHERKINS,3858.00,89846.00,90,2005,463,10604,306.0
GINGER PROCESSED,0.00,1636.62,0,8,0,14,25.0
GINGER ROOT,138888.00,3589003.00,432,10136,2346,54704,2384.0
GOOSEBERRIES,3330.00,150470.00,10,591,36,2445,77.0
GOOVAAR,0.00,950.00,0,26,0,78,1.0
GRANADILLA,27142.00,221395.00,159,1522,516,3476,37.0
GRAPEFRUIT,34520.00,173820.00,380,1795,4950,26120,104.0
GRAPES,499583.00,14585541.20,9190,278764,34003,1051546,184214.0
GREEN MEALIES,3020.00,82520.00,85,1088,1875,18090,82.0
GREEN PEPPERS,346793.00,6359079.13,12983,242464,64844,1217074,7465.0
GUAVA,35356.00,436171.49,1228,10155,3843,37764,284.0
HUBBARD SQUASHES,128440.00,2581904.00,3691,37684,118112,1205888,7328.0
JUICE,8825.69,287784.70,88,12297,496,16122,10173.0
KALE,1502.00,53117.25,115,5829,210,4850,494.0
KARELA,2060.00,46294.89,40,995,106,2781,101.0
KIWIFRUIT,45720.00,965800.35,245,3772,1653,31808,2841.0
KOHLRABI,0.00,9630.00,0,81,0,972,7.0
LEEKS,22584.00,227127.00,308,3407,1786,18817,56.0
LEMON GRASS,0.00,2092.00,0,141,0,28,36.0
LEMONS,188000.00,4273315.82,2300,49510,24828,560704,27923.0
LETTUCE,282600.00,6464578.00,6141,119235,25823,657942,4649.0
LETTUCE LIVING,0.00,29920.00,0,666,0,2331,623.0
LIMES,20940.00,263890.56,686,10924,2235,33763,6640.0
LIQUIDS,0.00,3658.00,0,59,0,708,249.0
MAIZE MEAL,0.00,1290.00,0,13,0,325,61.0
MANGO,379250.00,7102092.60,9107,193778,31750,610880,46553.0
MARJORAM,0.00,104.00,0,4,0,1,10.0
MARROWS,440.00,43699.00,10,1265,51,5672,22.0
MELONS,10770.00,674843.00,271,9867,1897,69069,1244.0
MELS GALIA,0.00,66280.00,0,743,0,5944,58.0
MICRO HERBS,80.00,4280.00,5,219,1,44,16.0
MINT,100.00,5710.00,5,158,15,419,17.0
MITJI BUDGIE,650.00,29462.00,25,668,75,2004,53.0
MIXED,228.00,30082.00,2,265,6,742,4.0
MIXED HERBS,0.00,390.00,0,15,0,2,8.0
MOROGO,0.00,725.00,0,16,0,48,6.0
MUSHROOMS,36805.00,726045.00,118,2375,525,10721,395.0
MUSK MELONS,53091.00,2267194.00,1434,35254,10394,263676,11423.0
MUSTARD LEAVE,60.00,60.00,12,12,1,1,18.0
NAARTJIES,965.00,6655.00,55,365,110,730,835.0
NECTARINES,312715.00,8275108.00,3692,141651,19992,572993,18519.0
NOVA,0.00,5980.00,0,77,0,770,934.0
OKRA,28312.00,960264.84,1793,48403,3667,101858,9886.0
ONIONS,3241822.00,66986518.80,80424,1605785,697678,14446386,288945.0
ORANGE PEPPERS,10900.00,26110.00,92,271,460,1355,27.0
ORANGES,395050.00,5292911.50,9416,100498,66713,747884,51100.0
OREGANO,0.00,4108.00,0,155,0,19,100.0
PAMPALMOESE,2920.00,267404.00,165,6574,848,45890,3330.0
PAPINO,146420.00,2469397.00,1840,36351,8275,176014,153.0
PAPRIKA,12730.00,301868.00,247,4360,664,12949,57.0
PARSLEY,15202.00,178583.42,274,3362,606,9545,72.0
PARSNIP,4260.00,32760.00,22,171,396,3078,44.0
PATTY PANS,39338.00,1249889.00,374,8731,1607,41603,356.0
PEACHES,81495.00,2281962.00,2445,48040,6833,148551,15710.0
PEACHES,359054.00,4494278.00,6917,96465,26529,324518,14156.0
PEANUTS RAW / UNSHELLED,0.00,240.00,0,2,0,4,15.0
PEARS,237274.00,7122020.11,3367,118013,37136,1235158,46517.0
PEAS,2483.00,343613.00,18,2170,54,5878,0.0
PECAN NUT (SHELL),1120.00,42420.00,4,149,16,593,187.0
PICKLED,0.00,388.00,0,6,0,9,569.0
PINEAPPLES,110106.00,4593562.00,2516,93953,20120,725268,15168.0
PIQUANT MIXED CHILLIE,45.00,650.00,1,19,4,76,29.0
PIQUANT PEPPERS (PEPPER DEW),0.00,220.00,0,18,0,54,4.0
PKS BLUE QUEEN,54875.00,1300041.00,1358,31915,47530,1117025,5910.0
PLUMS,324485.00,9869960.28,7725,232884,43072,1451839,46766.0
POMEGRANATE,10830.00,563208.40,185,8867,740,34192,5133.0
POT PLANTS,2470.00,60095.00,19,451,114,2705,64.0
POTATOES,5003739.00,92352178.30,126203,2804964,1228432,27327686,152024.0
PRICKLY PEAR,26604.00,481535.00,903,16318,1806,32636,155.0
