Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible
PRUNES,200.00,276581.00,2,3099,10,14200,2090.0
PUMPKINS,39765.00,745289.00,1349,18804,45866,639336,3037.0
PUMPKINS GOURMET GLOBE,0.00,750.00,0,125,0,625,215.0
QUINCE,100.00,11365.00,2,281,8,1124,531.0
RADICCHIO,300.00,3500.00,30,250,6,50,20.0
RADISH,5028.00,76691.00,63,1010,165,3458,29.0
RAINBOW PEPPERS,28948.00,844351.00,361,8271,1236,25232,358.0
RASPBERRIES,5952.00,306444.00,32,2410,48,3111,221.0
RED LETTUCE,0.00,3665.00,0,44,0,220,2.0
RED PEPPERS,235440.00,3926450.03,3532,52517,19224,265654,3658.0
RHUBARB,1520.00,27060.00,15,245,75,1225,20.0
ROCKET,324.00,25495.00,12,952,2,190,24.0
ROSEMARY,498.00,13425.00,34,560,4,105,41.0
SAGE,202.00,2158.00,8,82,2,16,51.0
SATSUMAS,208792.00,2601503.00,8519,98499,23055,288533,29746.0
SHU-SHU,0.00,8905.00,0,110,0,440,18.0
SOUP GREENS,39912.00,134484.00,241,956,1554,5980,29.0
SPEARMINT,3756.00,62160.50,86,1521,145,2819,235.0
SPINACH,114272.00,1710648.51,4114,79623,21176,395957,611.0
SPRING ONIONS,8287.00,170398.00,192,3632,617,11905,225.0
STARFRUIT(CARAMBOLA),700.00,61580.00,3,247,6,494,220.0
STRAWBERRIES,77405.00,1093898.50,285,4300,877,13223,312.0
SWEET BASIL,1433.00,24573.00,50,656,11,302,113.0
SWEET CORN,139609.00,2212818.00,1911,23418,5389,75372,283.0
SWEET MELONS,36260.00,1444947.12,1162,29316,8910,221205,5450.0
SWEET POTATO,150093.00,3650996.79,4620,162740,36812,1142528,11908.0
TABLE CELERY,3730.00,476893.00,23,2299,222,20671,9.0
TARROGAN,0.00,482.00,0,18,0,4,4.0
THYME,345.00,7783.00,26,312,3,59,42.0
TOMATOES,2466461.00,57537025.30,179508,2581574,483171,7991532,96620.0
TOMATOES DRIED,720.00,6940.00,2,103,2,103,81.0
TURIA,160.00,7020.00,2,93,8,372,2.0
TURMERIC,0.00,1250.00,0,4,0,20,13.0
TURNIP,10020.00,60807.50,212,1474,1235,8205,8.0
VIRTUAL PRODUCT,0.00,0.00,0,0,0,0,602308.0
WATERMELONS,46972.00,3264001.60,3042,140561,18254,845546,17021.0
WILD ROCKET,250.00,2125.00,10,94,1,9,32.0
YELLOW PEPPERS,180120.00,2966130.35,1694,34582,9991,175345,528.0
