Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1910.0,68685.0,18.0,611.0,270.0,4660.0,51.0,20180528
APPLES,1716516.0,33469286.4,21179.0,397085.0,248622.0,4785045.0,158670.0,20180528
ASPARAGUS,750.0,141850.0,1.0,191.0,5.0,955.0,2.0,20180528
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180528
AVOCADOS,559420.29,10845136.4,12500.0,215124.0,92968.0,1528212.0,54180.0,20180528
BABY BRINJALS,1190.0,63041.0,74.0,1372.0,286.0,5049.0,42.0,20180528
BABY BUTTERNUT,232.0,195898.0,2.0,1760.0,8.0,7802.0,132.0,20180528
BABY CABBAGE,8984.0,92668.0,50.0,742.0,226.0,3060.0,16.0,20180528
BABY CARROTS,1490.0,362269.8,19.0,2030.0,94.0,10465.0,78.0,20180528
BABY ENGLISH CUCUMBER,6080.0,35784.0,152.0,734.0,1216.0,5872.0,0.0,20180528
BABY GEM SQUASH,130.0,237380.0,2.0,2327.0,11.0,12208.0,392.0,20180528
BABY MARROWS,36453.0,2401851.7,836.0,48211.0,3938.0,218893.0,3068.0,20180528
BABY MIX,190.0,24738.0,2.0,240.0,9.0,1155.0,6.0,20180528
BABY SWEET CORN,7088.0,600179.0,44.0,3117.0,182.0,14251.0,501.0,20180528
BANANAS,1862681.0,33728531.0,20662.0,305192.0,362704.0,5283672.0,61044.0,20180528
BASIL,0.0,3920.0,0.0,51.0,0.0,51.0,7.0,20180528
BAY LEAVES,0.0,424.0,0.0,17.0,0.0,3.0,20.0,20180528
BEAN SPROUTS,308.0,25859.0,9.0,459.0,17.0,1053.0,60.0,20180528
BEANS,72742.0,3693184.23,4054.0,114331.0,16398.0,458458.0,6839.0,20180528
BEANS INDIAN,955.0,5968.0,13.0,130.0,50.0,434.0,54.0,20180528
BEETROOT,110094.0,5110101.55,6673.0,234461.0,53479.0,1899763.0,12633.0,20180528
BOK CHOY PAK-CHOI,80.0,9035.0,1.0,94.0,3.0,282.0,2.0,20180528
BRINJALS,12271.0,907331.0,480.0,21958.0,2166.0,104208.0,215.0,20180528
BROCCOLI,20550.0,4149074.78,213.0,31075.0,633.0,87591.0,55.0,20180528
BROCCOLI FLORETTES,120.0,3960.0,1.0,33.0,2.0,79.0,0.0,20180528
BRUSSELS SPROUTS,51700.0,106660.0,138.0,292.0,622.0,1272.0,2.0,20180528
BUTTER LETTUCE,0.0,63659.5,0.0,855.0,0.0,3386.0,48.0,20180528
BUTTERNUT,414473.0,7308421.2,19243.0,369886.0,157388.0,3099630.0,14633.0,20180528
CABBAGE,122558.0,6368763.45,4795.0,234161.0,45577.0,2935482.0,2120.0,20180528
CABBAGE RED,12500.0,644234.0,104.0,5546.0,275.0,25014.0,89.0,20180528
CALABASH,1509.0,60954.0,40.0,1032.0,172.0,6020.0,94.0,20180528
CARROTS,635605.2,18715180.2,18535.0,562123.0,148982.0,4455139.0,16631.0,20180528
CARROTS PROCESSED,150.0,3900.0,1.0,26.0,3.0,78.0,14.0,20180528
CAULI/BROC,24620.0,296127.0,232.0,2445.0,698.0,8464.0,30.0,20180528
CAULIFLOWER,112955.0,2255381.64,1351.0,31474.0,4204.0,138188.0,434.0,20180528
CELERY,940.0,123556.0,21.0,1286.0,207.0,13035.0,99.0,20180528
CELERY OFFCUTS,0.0,3015.0,0.0,45.0,0.0,45.0,30.0,20180528
CHILLIES,68579.55,2477932.84,3153.0,96439.0,10225.0,319389.0,10272.0,20180528
CHINESE  VEGETABLES,6822.0,233438.19,1121.0,22950.0,174.0,37005.0,1721.0,20180528
CHIVES,-143.0,7085.0,6.0,310.0,1.0,43.0,74.0,20180528
CHORIE,0.0,6500.0,0.0,222.0,0.0,1110.0,1.0,20180528
CLEMENTINES,147584.0,1279788.0,3475.0,56677.0,19071.0,217818.0,18468.0,20180528
COCKTAIL TOMATOES,3874.0,193523.08,59.0,2308.0,252.0,8710.0,336.0,20180528
COCONUTS,2600.0,164898.0,10.0,513.0,475.0,23900.0,490.0,20180528
CORIANDER/DHANYA,210.0,9615.0,12.0,220.0,9.0,405.0,70.0,20180528
COUNTRY MIX,0.0,650.0,0.0,77.0,0.0,39.0,68.0,20180528
CROUTONS,0.0,1668.4,0.0,86.0,0.0,7.0,283.0,20180528
CRUSHED GINGER/GARLIC,258.0,27546.0,1.0,119.0,6.0,559.0,42.0,20180528
CUCUMBER,315.0,90266.33,8.0,1552.0,32.0,7646.0,51.0,20180528
DATES,3380.0,211153.0,8.0,553.0,48.0,3053.0,651.0,20180528
DHANYA,5968.0,539859.0,107.0,7711.0,364.0,23664.0,284.0,20180528
