Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,300.0,8740.0,4.0,148.0,26.0,602.0,64.0,20180606
APPLES,1568659.0,7026005.0,16611.0,89016.0,216452.0,1007263.0,142418.0,20180606
ASPARAGUS,15200.0,27725.0,22.0,84.0,86.0,237.0,29.0,20180606
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180606
AVOCADOS,559337.0,2241755.0,12122.0,48592.0,72299.0,325034.0,38872.0,20180606
BABY BRINJALS,8510.0,13973.0,162.0,279.0,474.0,915.0,287.0,20180606
BABY BUTTERNUT,5596.0,31114.0,71.0,418.0,295.0,1817.0,264.0,20180606
BABY CABBAGE,2166.0,42596.0,32.0,453.0,112.0,1658.0,44.0,20180606
BABY CARROTS,13608.0,54216.0,63.0,251.0,430.0,1499.0,364.0,20180606
BABY ENGLISH CUCUMBER,950.0,1500.0,19.0,30.0,152.0,240.0,0.0,20180606
BABY GEM SQUASH,5222.0,47112.0,75.0,546.0,360.0,3001.0,353.0,20180606
BABY LEAF,180.0,2454.0,2.0,25.0,2.0,25.0,28.0,20180606
BABY MARROWS,99551.0,558001.0,2408.0,10979.0,10929.0,49769.0,4545.0,20180606
BABY MIX,1120.0,4176.0,11.0,47.0,35.0,203.0,7.0,20180606
BABY SWEET CORN,20936.0,94512.0,170.0,624.0,524.0,2403.0,245.0,20180606
BANANAS,1372743.89,6878564.2,14174.0,67559.0,250199.0,1191088.0,67874.0,20180606
BASIL,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20180606
BEAN SPROUTS,552.0,5532.0,7.0,94.0,17.0,211.0,63.0,20180606
BEANS,193502.0,715534.5,4050.0,19019.0,16498.0,77614.0,2149.0,20180606
BEANS INDIAN,40.0,2060.0,2.0,50.0,8.0,176.0,30.0,20180606
BEETROOT,198617.0,1513991.0,6153.0,44173.0,47597.0,346626.0,15036.0,20180606
BOK CHOY PAK-CHOI,400.0,2500.0,5.0,30.0,15.0,90.0,4.0,20180606
BRINJALS,34767.0,163409.0,582.0,3342.0,2575.0,14946.0,395.0,20180606
BROCCOLI,75612.0,648555.0,613.0,4594.0,1849.0,13021.0,375.0,20180606
BROCCOLI FLORETTES,0.0,3520.0,0.0,46.0,0.0,101.0,6.0,20180606
BRUSSELS SPROUTS,1125.0,34253.0,4.0,131.0,15.0,454.0,31.0,20180606
BUTTER LETTUCE,140.0,6622.0,11.0,97.0,40.0,470.0,5.0,20180606
BUTTERNUT,397317.0,2153112.0,18309.0,97533.0,159582.0,829470.0,41430.0,20180606
CABBAGE,217588.0,1744268.0,10836.0,59233.0,94432.0,637255.0,7933.0,20180606
CABBAGE RED,16318.0,120883.0,216.0,1351.0,760.0,7206.0,526.0,20180606
CALABASH,1460.0,18580.0,27.0,346.0,164.0,1876.0,178.0,20180606
CARROTS,628297.0,3922271.0,19857.0,122554.0,164520.0,985489.0,27954.0,20180606
CARROTS PROCESSED,600.0,3150.0,4.0,21.0,12.0,63.0,10.0,20180606
CAULI/BROC,1410.0,16530.0,9.0,126.0,35.0,422.0,3.0,20180606
CAULIFLOWER,80187.0,470078.0,946.0,4952.0,3505.0,25264.0,235.0,20180606
CAULIFLOWER FLORETS,40.0,500.0,2.0,9.0,5.0,22.0,0.0,20180606
CELERY,6220.0,29835.0,54.0,250.0,564.0,2454.0,164.0,20180606
CELERY OFFCUTS,0.0,430.0,0.0,13.0,0.0,13.0,40.0,20180606
CHERRIES,13230.0,65705.0,37.0,154.0,111.0,442.0,65.0,20180606
CHILLIES,106455.0,461456.66,4629.0,18604.0,14487.0,61299.0,13948.0,20180606
CHINESE  VEGETABLES,5938.0,37865.0,887.0,3963.0,1375.0,8336.0,1424.0,20180606
CHIVES,250.0,1313.0,10.0,72.0,2.0,8.0,125.0,20180606
CHORIE,50.0,760.0,2.0,20.0,10.0,100.0,1.0,20180606
