Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,0.0,29130.0,0.0,177.0,0.0,1920.0,38.0,20180416
APPLES,1460896.0,19024764.1,18458.0,222878.0,308367.0,2954671.0,137348.0,20180416
ASPARAGUS,12700.0,167551.0,34.0,306.0,112.0,1224.0,79.0,20180416
ATCHARA,0.0,1267.1,0.0,52.0,0.0,52.0,16.0,20180416
AVOCADOS,269705.88,5654122.9,3732.0,86316.0,33659.0,659236.0,13969.0,20180416
BABY BRINJALS,180.0,47118.0,4.0,986.0,15.0,3288.0,79.0,20180416
BABY BUTTERNUT,3286.0,121567.0,70.0,1279.0,320.0,5671.0,61.0,20180416
BABY CABBAGE,1103.0,152021.0,7.0,1651.0,34.0,5841.0,52.0,20180416
BABY CARROTS,6264.0,191842.0,29.0,909.0,157.0,4873.0,343.0,20180416
BABY ENGLISH CUCUMBER,2010.0,29420.0,97.0,898.0,776.0,7184.0,11.0,20180416
BABY GEM SQUASH,612.0,160595.0,6.0,969.0,29.0,5802.0,105.0,20180416
BABY MARROWS,35299.0,2108913.0,670.0,23547.0,3158.0,108539.0,3047.0,20180416
BABY MIX,0.0,14516.0,0.0,95.0,0.0,522.0,2.0,20180416
BABY SWEET CORN,17960.0,431920.0,164.0,1746.0,800.0,7415.0,380.0,20180416
BANANAS,1774626.0,22544230.8,14169.0,173460.0,250024.0,3038960.0,39886.0,20180416
BASIL,80.0,280.0,1.0,3.0,1.0,3.0,2.0,20180416
BAY LEAVES,0.0,185.0,0.0,8.0,0.0,2.0,12.0,20180416
BEAN SPROUTS,276.0,17029.0,5.0,295.0,12.0,683.0,10.0,20180416
BEANS,31773.0,1987231.9,1363.0,63764.0,5942.0,265484.0,3099.0,20180416
BEANS INDIAN,130.0,6461.0,5.0,240.0,10.0,638.0,42.0,20180416
BEETROOT,97976.0,2689690.0,6656.0,140283.0,44985.0,1129209.0,32651.0,20180416
BLACKBERRIES,6948.0,19572.0,30.0,92.0,45.0,138.0,29.0,20180416
BRINJALS,5151.0,494571.0,290.0,10496.0,1186.0,45147.0,549.0,20180416
