Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1000.0,8665.0,18.0,129.0,90.0,762.0,68.0,20180507
APPLES,1954934.0,9088521.0,23937.0,108078.0,284214.0,1325390.0,134628.0,20180507
ASPARAGUS,5600.0,119297.0,8.0,186.0,36.0,859.0,44.0,20180507
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180507
AVOCADOS,259016.0,2635137.33,5611.0,55088.0,26497.0,372044.0,26656.0,20180507
BABY BRINJALS,2106.0,12490.0,63.0,322.0,252.0,1288.0,205.0,20180507
BABY BUTTERNUT,40.0,43346.0,2.0,349.0,10.0,1563.0,5.0,20180507
BABY CABBAGE,1540.0,24258.0,29.0,245.0,104.0,1046.0,46.0,20180507
BABY CARROTS,12030.0,81654.0,56.0,423.0,320.0,2648.0,161.0,20180507
BABY ENGLISH CUCUMBER,10424.0,15314.0,184.0,280.0,1378.0,2134.0,4.0,20180507
BABY GEM SQUASH,920.0,59576.0,9.0,431.0,46.0,2559.0,142.0,20180507
BABY LEAF,1428.0,14976.0,14.0,113.0,14.0,113.0,36.0,20180507
BABY MARROWS,35852.0,565558.7,601.0,10444.0,2870.0,48532.0,4464.0,20180507
BABY MIX,0.0,2422.0,0.0,17.0,0.0,69.0,4.0,20180507
BABY SWEET CORN,10608.0,129994.0,56.0,630.0,276.0,2907.0,52.0,20180507
BANANAS,1940135.0,8840102.82,14108.0,68514.0,253944.0,1233252.0,44143.0,20180507
BASIL,320.0,1020.0,4.0,13.0,4.0,13.0,65.0,20180507
BEAN SPROUTS,96.0,8248.0,2.0,141.0,5.0,330.0,3.0,20180507
BEANS,52114.0,1070736.42,1824.0,23218.0,7325.0,92385.0,3670.0,20180507
BEANS INDIAN,1035.0,3675.0,17.0,86.0,35.0,213.0,31.0,20180507
BEETROOT,90960.0,1186209.55,4618.0,55619.0,33856.0,458871.0,16890.0,20180507
BLACKBERRIES,1200.0,6386.0,5.0,53.0,8.0,80.0,1.0,20180507
BRINJALS,4198.0,228893.0,152.0,6005.0,645.0,27267.0,740.0,20180507
BROCCOLI,4550.0,956216.0,41.0,7160.0,125.0,19904.0,21.0,20180507
BRUSSELS SPROUTS,5160.0,5160.0,13.0,13.0,68.0,68.0,67.0,20180507
BUTTER LETTUCE,240.0,16266.0,6.0,250.0,30.0,739.0,59.0,20180507
BUTTERNUT,341272.0,1776571.9,12788.0,79588.0,126957.0,692140.0,31562.0,20180507
CABBAGE,202796.0,1534646.3,7958.0,57692.0,92319.0,723583.0,2232.0,20180507
CABBAGE RED,7393.0,154859.0,110.0,1284.0,250.0,3620.0,82.0,20180507
CALABASH,3505.0,9965.0,71.0,179.0,278.0,847.0,85.0,20180507
CARROTS,388752.0,4710508.7,14659.0,156244.0,108454.0,1191501.0,5421.0,20180507
CAULI/BROC,930.0,67788.0,31.0,559.0,124.0,2435.0,5.0,20180507
CAULIFLOWER,64424.0,625644.64,1484.0,7952.0,4589.0,31475.0,962.0,20180507
CAULIFLOWER FLORETS,1800.0,3000.0,40.0,61.0,96.0,146.0,6.0,20180507
CELERY,440.0,16794.0,8.0,166.0,72.0,1662.0,95.0,20180507
CHERRIES,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20180507
CHILLIES,133615.0,576504.5,5211.0,25563.0,17419.0,84340.0,10727.0,20180507
CHINESE  VEGETABLES,9888.5,64135.0,1402.0,5546.0,3552.0,11945.0,1710.0,20180507
CHORIE,175.0,755.0,5.0,30.0,25.0,150.0,16.0,20180507
CLEMENTINES,44529.0,194409.0,2183.0,10060.0,8363.0,36570.0,16447.0,20180507
COCKTAIL TOMATOES,12612.0,50823.0,106.0,543.0,479.0,2131.0,71.0,20180507
COCONUTS,13100.0,60600.0,37.0,173.0,1663.0,8238.0,324.0,20180507
