Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,450.0,31306.0,1.0,482.0,20.0,2242.0,51.0,20180618
APPLES,1861597.0,19124819.4,21522.0,235705.0,263390.0,2744355.0,161536.0,20180618
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180618
AVOCADOS,292573.0,5735781.76,6322.0,121723.0,40894.0,755972.0,42180.0,20180618
BABY BRINJALS,1420.0,25403.0,24.0,477.0,96.0,1908.0,58.0,20180618
BABY BUTTERNUT,5904.0,86382.0,101.0,1074.0,462.0,4671.0,38.0,20180618
BABY CABBAGE,6954.0,123668.0,86.0,1341.0,244.0,4805.0,62.0,20180618
BABY CARROTS,5002.0,228582.0,28.0,1402.0,134.0,7245.0,680.0,20180618
BABY GEM SQUASH,480.0,132036.0,5.0,1486.0,24.0,8013.0,213.0,20180618
BABY MARROWS,58480.0,1650066.0,1093.0,30370.0,4892.0,134714.0,769.0,20180618
BABY SWEET CORN,15145.0,286158.0,43.0,1304.0,228.0,5797.0,28.0,20180618
BANANAS,1319864.5,17843972.5,17621.0,196762.0,312223.0,3440349.0,69427.0,20180618
BAY LEAVES,0.0,265.0,0.0,31.0,0.0,6.0,23.0,20180618
BEAN SPROUTS,292.0,12188.0,5.0,210.0,12.0,482.0,153.0,20180618
BEANS,54340.0,2629342.5,592.0,51247.0,2432.0,205783.0,726.0,20180618
BEANS INDIAN,3530.0,9045.0,138.0,296.0,594.0,1225.0,49.0,20180618
BEETROOT,131910.0,3929564.0,5896.0,134217.0,41877.0,1058012.0,15821.0,20180618
BLACKBERRIES,4500.0,40944.0,15.0,171.0,23.0,257.0,1.0,20180618
BRINJALS,25914.0,537517.0,282.0,8842.0,1196.0,40708.0,134.0,20180618
BROCCOLI,110915.0,1910637.0,868.0,13913.0,2415.0,38703.0,1318.0,20180618
BROCCOLI LEAVES,100.0,19614.0,4.0,461.0,32.0,3688.0,0.0,20180618
BRUSSELS SPROUTS,3300.0,126702.0,11.0,510.0,76.0,2278.0,67.0,20180618
BUTTER LETTUCE,1260.0,35775.0,20.0,510.0,30.0,1754.0,43.0,20180618
BUTTERNUT,320691.0,5579098.0,14498.0,264025.0,117257.0,2187718.0,15599.0,20180618
CABBAGE,257308.48,4655245.98,12642.0,163780.0,102936.0,1812111.0,3385.0,20180618
CABBAGE RED,2730.0,46700.0,24.0,411.0,432.0,7398.0,19.0,20180618
CALABASH,6044.0,56838.0,177.0,1141.0,712.0,5791.0,419.0,20180618
CARROTS,360890.0,10429918.0,16868.0,363637.0,126634.0,2881384.0,46427.0,20180618
CARROTS PROCESSED,0.0,6450.0,0.0,43.0,0.0,129.0,7.0,20180618
CAULI/BROC,21610.0,78670.0,139.0,525.0,417.0,1575.0,94.0,20180618
CAULIFLOWER,117314.0,1319919.0,1712.0,14648.0,5181.0,46163.0,1570.0,20180618
CAULIFLOWER FLORETS,0.0,500.0,0.0,9.0,0.0,22.0,17.0,20180618
CELERY,0.0,985.0,0.0,28.0,0.0,84.0,61.0,20180618
CELERY OFFCUTS,0.0,1800.0,0.0,51.0,0.0,51.0,51.0,20180618
CHERRIES,19200.0,623329.0,33.0,1200.0,157.0,5115.0,398.0,20180618
CHILLIES,61764.0,1397740.61,2813.0,56778.0,10640.0,192556.0,10237.0,20180618
CHINESE  VEGETABLES,3725.0,92531.8,422.0,7083.0,408.0,23316.0,426.0,20180618
CHORIE,0.0,3350.0,0.0,94.0,0.0,470.0,36.0,20180618
CLEMENTINES,58099.0,606760.0,1560.0,26138.0,7813.0,117510.0,17646.0,20180618
COCKTAIL AVOCADO PEAR,50.0,4500.0,2.0,178.0,4.0,356.0,29.0,20180618
COCKTAIL TOMATOES,2037.0,94285.0,30.0,1491.0,138.0,5704.0,979.0,20180618
COCONUTS,4750.0,65300.0,23.0,283.0,1150.0,13175.0,340.0,20180618
CORIANDER/DHANYA,40.0,3214.0,1.0,821.0,4.0,59.0,264.0,20180618
CROUTONS,17.0,75.2,1.0,4.0,0.0,0.0,118.0,20180618
CRUSHED GINGER/GARLIC,0.0,18178.8,0.0,79.0,0.0,371.0,64.0,20180618
CUCUMBER,65.0,47615.0,2.0,736.0,8.0,3470.0,196.0,20180618
CURRY LEAVES,625.0,17583.0,32.0,797.0,4.0,140.0,21.0,20180618
DATES,350.0,68665.0,1.0,317.0,13.0,1631.0,1555.0,20180618
DHANYA,3624.0,234685.0,123.0,4191.0,371.0,13812.0,103.0,20180618
DILL,0.0,3842.0,0.0,89.0,0.0,178.0,3.0,20180618
DRIED BEANS,140.0,8545.0,2.0,43.0,10.0,620.0,457.0,20180618
DRIED FRUIT,0.0,22920.0,0.0,44.0,0.0,452.0,2.0,20180618
EMPTY BOXES,2505.0,34971.65,334.0,4663.0,167.0,2332.0,3885.0,20180618
ENGLISH CUCUMBER,222148.0,4484872.36,2183.0,48759.0,17088.0,377833.0,1437.0,20180618
FENNEL/ANISE,0.0,16970.0,0.0,166.0,0.0,2582.0,5.0,20180618
FIGS,0.0,64210.0,0.0,196.0,0.0,702.0,11.0,20180618
FIREWOOD,4496.0,43073.0,408.0,3810.0,2856.0,28595.0,2922.0,20180618
GARLIC,98775.0,2040112.0,423.0,8834.0,2986.0,55174.0,10014.0,20180618
GARLIC PROCESSED,3455.0,70298.56,23.0,383.0,109.0,1818.0,360.0,20180618
GEELORA,420.0,14035.0,15.0,485.0,45.0,1455.0,19.0,20180618
GEM SQUASHES,168700.0,1816297.0,3246.0,36602.0,24048.0,316586.0,10477.0,20180618
GHERKINS,5976.0,33350.0,56.0,348.0,302.0,1698.0,9.0,20180618
GINGER PROCESSED,0.0,1587.72,0.0,6.0,0.0,25.0,22.0,20180618
GINGER ROOT,68315.0,1511981.0,382.0,8810.0,2408.0,48478.0,1725.0,20180618
GOOSEBERRIES,4256.0,93658.0,26.0,468.0,102.0,1870.0,24.0,20180618
GRANADILLA,17026.0,325582.22,313.0,5405.0,653.0,11670.0,2392.0,20180618
GRAPEFRUIT,15028.66,408778.66,442.0,11210.0,3314.0,79074.0,32837.0,20180618
GRAPES,457250.0,4709308.0,4292.0,50719.0,21687.0,244056.0,65740.0,20180618
GREEN PEPPERS,174855.0,6576178.08,8387.0,227620.0,41965.0,1139929.0,15691.0,20180618
GUAVA,25523.0,720643.69,1061.0,27063.0,2934.0,71714.0,1315.0,20180618
HUBBARD SQUASHES,86960.0,2036387.16,1335.0,23275.0,30723.0,701714.0,2770.0,20180618
JUICE,3284.76,150110.03,35.0,1605.0,185.0,8443.0,4522.0,20180618
KALE,15893.0,223980.8,1734.0,18225.0,1064.0,21846.0,2048.0,20180618
KARELA,360.0,11450.0,9.0,299.0,45.0,898.0,66.0,20180618
KIWIFRUIT,46670.0,832475.0,236.0,4316.0,836.0,20132.0,6063.0,20180618
KUMATO,0.0,0.0,0.0,0.0,0.0,0.0,8.0,20180618
KUMQUAT,2365.0,58959.0,88.0,2016.0,176.0,4726.0,976.0,20180618
LEEKS,4579.0,221747.0,112.0,3988.0,800.0,27869.0,332.0,20180618
LEMON GRASS,15.0,183.0,1.0,27.0,0.0,1.0,41.0,20180618
LEMONS,198995.0,1745489.61,3440.0,29933.0,43130.0,369760.0,82147.0,20180618
LETTUCE,120217.0,2622974.0,3999.0,73275.0,18730.0,358400.0,3991.0,20180618
LETTUCE LIVING,0.0,28099.0,0.0,974.0,0.0,3409.0,255.0,20180618
LIMES,17448.02,142601.02,441.0,4711.0,1323.0,14217.0,4024.0,20180618
LIQUIDS,0.0,0.0,0.0,0.0,0.0,0.0,84.0,20180618
MAIZE MEAL,0.0,190.0,0.0,3.0,0.0,75.0,21.0,20180618
MANGO,9335.0,75170.0,77.0,752.0,279.0,2788.0,171.0,20180618
MARJORAM,0.0,1998.0,0.0,94.0,0.0,15.0,57.0,20180618
MARROWS,810.0,6732.0,24.0,189.0,94.0,730.0,0.0,20180618
MELONS,0.0,38242.0,0.0,738.0,0.0,5166.0,62.0,20180618
MICRO HERBS,0.0,4122.0,0.0,195.0,0.0,39.0,7.0,20180618
MILK,711.0,16943.0,11.0,280.0,66.0,1680.0,1889.0,20180618
MINNEOLA,63190.0,722590.0,696.0,7064.0,8493.0,86525.0,8437.0,20180618
MINT,0.0,12913.0,0.0,328.0,0.0,591.0,63.0,20180618
MITJI BUDGIE,750.0,14960.0,29.0,409.0,122.0,1850.0,68.0,20180618
MIXED HERBS,567.0,1747.0,21.0,30.0,2.0,3.0,21.0,20180618
MORINGA,0.0,100.0,0.0,10.0,0.0,40.0,6.0,20180618
MUSHROOMS,12582.0,431219.0,49.0,1567.0,244.0,7098.0,294.0,20180618
MUSK MELONS,13930.0,1054750.11,181.0,14754.0,1288.0,103389.0,3529.0,20180618
MUSTARD LEAVE,405.0,8379.0,69.0,1772.0,7.0,266.0,256.0,20180618
NAARTJIES,459550.0,5141998.0,10685.0,104071.0,48735.0,530733.0,52842.0,20180618
NOVA,73024.81,1429779.3,4493.0,70791.0,13040.0,283921.0,24739.0,20180618
NUTS,0.0,800.0,0.0,2.0,0.0,0.0,1.0,20180618
OKRA,41537.0,707963.29,1917.0,35136.0,4874.0,78718.0,3490.0,20180618
OLIVES,0.0,40777.0,0.0,267.0,0.0,1068.0,255.0,20180618
ONIONS,1870723.5,38663920.3,61414.0,1116311.0,508938.0,10073703.0,213898.0,20180618
ORANGES,1106466.24,13777201.5,57051.0,627393.0,368874.0,4155405.0,263218.0,20180618
PAMPALMOESE,0.0,98180.0,0.0,1021.0,0.0,15010.0,5178.0,20180618
PAPINO,49985.0,1738891.69,1258.0,45309.0,7491.0,226296.0,11427.0,20180618
PAPRI,860.0,18629.47,25.0,483.0,75.0,1362.0,122.0,20180618
PAPRIKA,1440.0,20085.0,18.0,287.0,47.0,941.0,121.0,20180618
