Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,1920.0,28340.0,14.0,169.0,190.0,1850.0,46.0,20180413
APPLES,1525331.0,16789056.1,16428.0,191211.0,208588.0,2320268.0,121438.0,20180413
ASPARAGUS,11225.0,93726.0,17.0,169.0,77.0,808.0,35.0,20180413
ATCHARA,52.2,1241.0,2.0,51.0,2.0,51.0,17.0,20180413
AVOCADOS,731545.6,5104587.02,11910.0,78592.0,76479.0,594358.0,15175.0,20180413
BABY BRINJALS,1845.0,44956.0,47.0,942.0,188.0,3124.0,62.0,20180413
BABY BUTTERNUT,2522.0,116055.0,37.0,1183.0,201.0,5229.0,118.0,20180413
BABY CABBAGE,4525.0,148166.0,61.0,1611.0,196.0,5719.0,69.0,20180413
BABY CARROTS,7206.0,216198.0,41.0,1060.0,141.0,5040.0,192.0,20180413
BABY ENGLISH CUCUMBER,1990.0,26585.0,65.0,769.0,520.0,6152.0,46.0,20180413
BABY GEM SQUASH,660.0,156741.0,8.0,936.0,42.0,5624.0,1.0,20180413
BABY LEAF,612.0,16284.0,6.0,164.0,6.0,164.0,9.0,20180413
BABY MARROWS,94108.0,2028698.0,1562.0,22598.0,7846.0,107030.0,2769.0,20180413
BABY MIX,130.0,20665.0,3.0,197.0,15.0,1030.0,2.0,20180413
BABY SWEET CORN,30324.0,401886.0,150.0,1525.0,616.0,6370.0,354.0,20180413
BANANAS,1559025.0,19869979.8,11836.0,151529.0,206282.0,2637751.0,49519.0,20180413
BAY LEAVES,50.0,135.0,2.0,6.0,0.0,1.0,8.0,20180413
BEAN SPROUTS,564.0,15933.0,9.0,276.0,22.0,638.0,48.0,20180413
BEANS,136963.0,1875011.9,5530.0,59225.0,23100.0,246839.0,6014.0,20180413
BEANS INDIAN,0.0,6131.0,0.0,230.0,0.0,618.0,74.0,20180413
BEETROOT,241384.0,2508874.0,14490.0,128824.0,116804.0,1043387.0,36206.0,20180413
BLACKBERRIES,0.0,12624.0,0.0,62.0,0.0,93.0,29.0,20180413
BOK CHOY PAK-CHOI,160.0,4948.0,2.0,59.0,6.0,177.0,0.0,20180413
BRINJALS,36103.0,468980.0,1151.0,9686.0,4656.0,41628.0,1132.0,20180413
BROCCOLI,221520.0,1931307.0,1256.0,12103.0,3686.0,34282.0,429.0,20180413
BROCCOLI FLORETTES,400.0,15413.0,15.0,103.0,36.0,247.0,15.0,20180413
BROCCOLI LEAVES,1640.0,9635.0,42.0,249.0,336.0,1992.0,0.0,20180413
BUTTER LETTUCE,990.0,21436.0,16.0,288.0,80.0,1440.0,2.0,20180413
BUTTERNUT,342978.0,3077868.5,19084.0,157368.0,149048.0,1303693.0,60543.0,20180413
CABBAGE,264372.0,2803606.3,16134.0,128209.0,200832.0,1427884.0,16466.0,20180413
CABBAGE  SUGAR,0.0,2192.0,0.0,25.0,0.0,60.0,1.0,20180413
CABBAGE RED,31974.0,370856.0,386.0,3787.0,2722.0,21983.0,317.0,20180413
CALABASH,735.0,16968.0,47.0,440.0,115.0,1553.0,31.0,20180413
CARROTS,716660.78,9817855.7,27914.0,277572.0,234722.0,2150275.0,39235.0,20180413
CAULI/BROC,-16030.0,74996.0,-178.0,462.0,-714.0,1667.0,411.0,20180413
CAULIFLOWER,202570.0,1705981.5,1607.0,16597.0,6230.0,85728.0,1579.0,20180413
