Name,Value Sold (ZAR),Value Sold (ZAR MTD),Volume Sold,Volume sold (MTD),KG Sold,KG Sold (MTD),Volume Avalible,Date
AMADUMBE,880.0,19890.0,20.0,319.0,148.0,1376.0,88.0,20180611
APPLES,1392400.0,11875711.0,18572.0,151704.0,212563.0,1721476.0,154615.0,20180611
ATCHARA,0.0,0.0,0.0,0.0,0.0,0.0,16.0,20180611
AVOCADOS,291199.0,3679981.0,6926.0,78649.0,39944.0,514268.0,35239.0,20180611
BABY BRINJALS,1937.0,40238.0,62.0,856.0,165.0,2563.0,230.0,20180611
BABY BUTTERNUT,1744.0,51006.0,26.0,669.0,102.0,2890.0,258.0,20180611
BABY CABBAGE,7428.0,70138.0,62.0,705.0,262.0,2633.0,113.0,20180611
BABY CARROTS,12710.0,123976.0,69.0,643.0,528.0,3343.0,665.0,20180611
BABY GEM SQUASH,1992.0,74258.0,24.0,934.0,118.0,5110.0,244.0,20180611
BABY LEAF,384.0,7956.0,4.0,82.0,4.0,82.0,23.0,20180611
BABY MARROWS,33265.0,916003.0,989.0,18357.0,4006.0,82030.0,3241.0,20180611
BABY MIX,123.0,6805.0,2.0,69.0,10.0,281.0,3.0,20180611
BABY SWEET CORN,560.0,147044.0,4.0,929.0,20.0,3876.0,155.0,20180611
BANANAS,1368539.0,11657300.2,15730.0,119824.0,274826.0,2105123.0,62668.0,20180611
BASIL,0.0,160.0,0.0,4.0,0.0,0.0,5.0,20180611
BEAN SPROUTS,60.0,7260.0,1.0,122.0,2.0,280.0,139.0,20180611
BEANS,59276.0,1487794.5,1281.0,34532.0,5200.0,138751.0,967.0,20180611
BEANS INDIAN,570.0,3425.0,19.0,102.0,92.0,458.0,24.0,20180611
BEETROOT,132608.0,2602515.0,5207.0,79831.0,38863.0,634795.0,18839.0,20180611
BLACKBERRIES,1200.0,27408.0,5.0,121.0,8.0,182.0,1.0,20180611
BRINJALS,2435.0,269189.0,46.0,5248.0,227.0,23767.0,50.0,20180611
BROCCOLI,84407.0,1177353.0,647.0,8443.0,1931.0,24078.0,373.0,20180611
BROCCOLI LEAVES,0.0,10775.0,0.0,248.0,0.0,1984.0,27.0,20180611
BRUSSELS SPROUTS,14730.0,68574.0,56.0,271.0,272.0,1011.0,71.0,20180611
BUTTER LETTUCE,60.0,15153.0,1.0,202.0,5.0,790.0,38.0,20180611
BUTTERNUT,309728.0,3501777.0,13004.0,163778.0,125732.0,1373188.0,44374.0,20180611
CABBAGE,234253.0,2927511.0,10566.0,98697.0,100296.0,1120760.0,2980.0,20180611
CABBAGE RED,14948.0,182826.0,172.0,2089.0,452.0,9905.0,133.0,20180611
CALABASH,1135.0,27903.0,31.0,587.0,127.0,2922.0,322.0,20180611
CARROTS,549798.0,6810893.0,18291.0,221141.0,154927.0,1767440.0,20035.0,20180611
CARROTS PROCESSED,150.0,3750.0,1.0,25.0,3.0,75.0,6.0,20180611
CAULI/BROC,13960.0,41050.0,97.0,289.0,296.0,982.0,15.0,20180611
CAULIFLOWER,15366.0,828427.0,285.0,8632.0,780.0,41331.0,186.0,20180611
CELERY,160.0,49135.0,4.0,451.0,48.0,4317.0,56.0,20180611
CELERY OFFCUTS,0.0,530.0,0.0,15.0,0.0,15.0,73.0,20180611
CHERRIES,77700.0,358175.0,130.0,655.0,645.0,2852.0,212.0,20180611
CHILLIES,66351.95,844757.61,3001.0,34045.0,10502.0,113799.0,13843.0,20180611
CHINESE  VEGETABLES,4959.8,59586.8,500.0,5312.0,900.0,14144.0,929.0,20180611
CHORIE,570.0,2430.0,17.0,69.0,85.0,345.0,24.0,20180611
CLEMENTINES,24748.0,351190.0,1588.0,15672.0,11326.0,77034.0,9333.0,20180611
COCKTAIL AVOCADO PEAR,155.0,1360.0,6.0,54.0,12.0,108.0,53.0,20180611
